distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
350,2002,1,1,James,Fahey,362,1,1,1,0,1,1,1,
350,2002,1,2,Pam,Scott,395,1,0,0,0,1,1,1,
350,2002,1,NA,Scatter,,11,0,0,0,1,1,1,1,
350,2003,1,3,Elizabeth,Lowery,651,1,1,1,0,2,2,1,
350,2003,1,4,Janice,Hindson,621,1,1,1,0,2,2,1,
350,2003,1,NA,Scatter,,15,0,0,0,1,2,2,1,
350,2004,1,5,D,Fahey,413,1,1,1,0,3,3,1,
350,2004,1,6,Roger,Hillebrand,384,1,1,1,0,3,3,1,
350,2004,1,7,Gary,Francios,415,1,0,0,0,3,3,1,
350,2004,1,8,Maxine,Ward,247,0,0,0,0,3,3,1,
350,2005,1,9,Heidi,Fritz,373,0,0,0,0,4,4,1,
350,2005,1,2,Pam,Scott,606,1,1,1,0,4,4,1,
350,2005,1,1,James,Fahey,497,1,1,1,0,4,4,1,
350,2006,1,4,Janice,Hindson,442,1,1,1,0,5,5,1,
350,2006,1,10,Trish,Jelle,316,0,0,0,0,5,5,1,
350,2006,1,3,Elizabeth,Lowery,428,1,1,1,0,5,5,1,
350,2007,1,6,Roger,Hillebrand,607,1,1,1,0,6,6,1,
350,2007,1,7,Gary,Francios,703,1,1,1,0,6,6,1,
350,2007,1,11,Joni,Shahrani,483,0,0,0,0,6,6,1,
350,2007,1,12,Elizabeth,Kernan,627,1,0,0,0,6,6,1,
350,2008,1,1,James,Fahey,495,1,1,1,0,7,7,1,
350,2008,1,2,Pam,Scott,484,1,1,1,0,7,7,1,
350,2008,1,NA,Scatter,,15,0,0,0,1,7,7,1,
350,2009,1,4,Janice,Hindson,586,1,1,1,0,8,8,1,
350,2009,1,3,Elizabeth,Lowery,631,1,1,1,0,8,8,1,
350,2009,1,NA,Scatter,,19,0,0,0,1,8,8,1,
350,2010,1,13,Paul,O' Connor,324,1,0,0,0,9,9,1,
350,2010,1,6,Roger,Hillebrand,309,1,1,1,0,9,9,1,
350,2010,1,7,Gary,Francios,327,1,1,1,0,9,9,1,
350,2010,1,NA,Scatter,,11,0,0,0,1,9,9,1,
350,2011,1,2,Pam,Scott,896,1,1,1,0,10,10,1,
350,2011,1,14,Troy,Pankratz,1057,1,0,0,0,10,10,1,
350,2011,1,15,Garth,Langhammer,402,0,0,0,0,10,10,1,
350,2011,1,NA,Scatter,,12,0,0,0,1,10,10,1,
350,2012,1,16,Joyce,Ziehli,605,1,0,0,0,11,11,1,
350,2012,1,3,Elizabeth,Lowery,529,1,1,1,0,11,11,1,
350,2012,1,15,Garth,Langhammer,571,1,0,1,0,11,11,1,
350,2012,1,NA,Scatter,,12,0,0,0,1,11,11,1,
