distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
2240,2002,1,1,Kevin,Lowe,182,1,0,0,0,1a,1,0,
2240,2002,1,2,Shirley,Eells,101,0,1,1,0,1a,1,0,
2240,2002,1,3,Gary,Gilbertson,235,1,1,1,0,1f,2,0,
2240,2002,1,4,Jeff,Moore,237,1,1,1,0,1h,3,0,
2240,2002,1,NA,Scatter,,1,0,0,0,1,1f,2,0,
2240,2003,1,5,Mike,Flanagan,419,1,0,0,0,2b,4,0,
2240,2003,1,6,Anita,Rygh,241,0,1,1,0,2b,4,0,
2240,2003,1,7,Jason,Figi,577,1,0,0,0,2d,5,0,
2240,2003,1,8,Gerald,Heimann,374,1,0,0,0,2g,6,0,
2240,2003,1,9,Daniel,Stoudt,276,0,1,1,0,2g,6,0,
2240,2004,1,10,Jason,Rupnow,346,1,1,1,0,3a,7,0,
2240,2004,1,11,Don,O'Connor,35,0,0,0,0,3c,8,0,
2240,2004,1,12,Alan,Norton,43,1,0,0,0,3c,8,0,
2240,2004,1,13,Lynn,Schultz,360,1,1,1,0,3e,9,0,
2240,2004,1,NA,Scatter,,4,0,0,0,1,3a,7,0,
2240,2004,1,NA,Scatter,,8,0,0,0,1,3c,8,0,
2240,2005,1,1,Kevin,Lowe,593,1,1,1,0,4a,10,0,
2240,2005,1,14,Brian,Sigafus,248,0,0,0,0,4f,11,0,
2240,2005,1,15,Steven,Holland,449,1,0,0,0,4f,11,0,
2240,2005,1,16,Michelle,McDonald,371,1,0,0,0,4h,12,0,
2240,2005,1,4,Jeff,Moore,323,0,1,1,0,4h,12,0,
2240,2005,1,NA,Scatter,,1,0,0,0,1,4a,10,0,
2240,2006,1,5,Mike,Flanagan,208,1,1,1,0,5b,13,0,
2240,2006,1,NA,Scatter,,2,0,0,0,1,5b,13,0,
2240,2006,1,7,Jason,Figi,204,1,1,1,0,5d,14,0,
2240,2006,1,8,Gerald,Heimann,104,0,1,1,0,5g,15,0,
2240,2006,1,18,Kerry,Holland,145,1,0,0,0,5g,15,0,
2240,2006,1,NA,Scatter,,3,0,0,0,1,5d,14,0,
2240,2007,1,10,Jason,Rupnow,853,1,1,1,0,6a,16,0,
2240,2007,1,NA,Scatter,,2,0,0,0,1,6a,16,0,
2240,2007,1,19,Donielle,Wellnitz,673,1,0,0,0,6c,17,0,
2240,2007,1,12,Alan,Norton,262,0,1,1,0,6c,17,0,
2240,2007,1,13,Lynn,Schultz,844,1,1,1,0,6e,18,0,
2240,2007,1,NA,Scatter,,4,0,0,0,1,6e,18,0,
2240,2008,1,1,Kevin,Lowe,247,1,1,1,0,7a,19,0,
2240,2008,1,15,Steven,Holland,255,1,1,1,0,7f,20,0,
2240,2008,1,16,Michelle,McDonald,243,1,1,1,0,7h,21,0,
2240,2008,1,NA,Scatter,,6,0,0,0,1,7h,21,0,
2240,2009,1,20,Steve,Monson,390,1,1,0,0,8b,22,0,
2240,2009,1,NA,Scatter,,2,0,0,0,1,8b,22,0,
2240,2009,1,7,Jason,Figi,383,1,1,1,0,8d,23,0,
2240,2009,1,18,Kerry,Holland,368,1,1,1,0,8g,24,0,
2240,2009,1,NA,Scatter,,1,0,0,0,1,8g,24,0,
2240,2010,1,10,Jason,Rupnow,721,1,1,1,0,9a,25,0,
2240,2010,1,NA,Scatter,,1,0,0,0,1,9a,25,0,
2240,2010,1,19,Donielle,Wellnitz,731,1,1,1,0,9c,26,0,
2240,2010,1,NA,Scatter,,2,0,0,0,1,9c,26,0,
2240,2010,1,21,Gary,Meier,11,0,0,0,1,9e,27,0,
2240,2010,1,13,Lynn,Schultz,20,1,1,1,1,9e,27,0,
2240,2010,1,NA,Scatter,,10,0,0,0,1,9e,27,0,
2240,2011,1,1,Kevin,Lowe,270,1,1,1,0,10,28,1,
2240,2011,1,15,Steven,Holland,415,1,1,1,0,10,28,1,
2240,2011,1,22,Lowell,Dalsoren,195,0,0,0,0,10,28,1,
2240,2011,1,23,Dustin,Williams,309,1,0,0,0,10,28,1,
2240,2012,1,7,Jason,Figi,305,1,1,1,0,11,29,1,
2240,2012,1,18,Kerry,Holland,262,1,1,1,0,11,29,1,
2240,2012,1,24,Chuck,Herbst,83,0,0,0,1,11,29,1,
2240,2012,1,25,Jon,Satterlee,74,0,0,0,1,11,29,1,
2240,2012,1,20,Steve,Monson,37,0,1,1,1,11,29,1,
2240,2012,1,NA,Scatter,,28,0,0,0,1,11,29,1,
