distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
497,2003,1,1,Aline,Buchner,684,1,0,0,0,1,1,0,
497,2003,1,2,Cletus,Woolever,647,1,0,0,0,1,2,0,
497,2003,1,3,Steve,Hilger,291,0,0,0,0,1,3,0,
497,2003,1,4,Dale,Gumness,638,1,0,0,0,1,3,0,
497,2003,1,NA,Scatter,,26,0,0,0,1,1,3,0,
497,2004,1,5,Leo,Meier,252,0,1,1,0,2,4,0,
497,2004,1,2,Cletus,Woolever,308,1,1,1,0,2,4,0,
497,2004,1,6,Joe,Zeman,472,1,1,1,0,2,5,0,
497,2004,1,7,Deb,Bowe,474,1,1,1,0,2,6,1,
497,2004,1,NA,Scatter,,24,0,0,0,1,2,6,1,
497,2005,1,8,Patti,Wilson,411,1,1,1,0,3,7,0,
497,2005,1,9,Lewis,LaGesse,32,1,0,0,1,3,8,0,
497,2005,1,10,Richard,Schley,15,0,0,0,1,3,8,0,
497,2005,1,NA,Scatter,,64,0,0,0,1,3,8,0,
497,2006,1,1,Aline,Buchner,281,1,1,1,0,4,9,0,
497,2006,1,4,Dale,Gumness,295,1,1,1,0,4,10,0,
497,2006,1,NA,Scatter,,4,0,0,0,1,4,10,0,
497,2007,1,11,Ralph,Bruxvoort,437,1,0,0,0,5,11,0,
497,2007,1,6,Joe,Zeman,448,1,1,1,0,5,12,0,
497,2007,1,12,Mark,Schwartz,62,0,0,0,1,5,12,0,
497,2007,1,13,Cory,Bixby,231,1,0,0,0,5,13,1,
497,2007,1,14,Lori,Bellesbach,123,0,0,0,0,5,13,1,
497,2007,1,15,Tosha,Reetz,68,0,0,0,1,5,13,1,
497,2007,1,NA,Scatter,,229,0,0,0,1,5,13,1,
497,2008,1,16,Linda,Wankel,701,1,0,0,0,6,14,0,
497,2008,1,17,Lon,Wilson,335,0,0,0,0,6,14,0,
497,2008,1,18,Kim,Leonard,244,0,0,0,0,6,15,0,
497,2008,1,19,Deneen,Berseth,623,1,0,0,0,6,15,0,
497,2008,1,NA,Scatter,,7,0,0,0,1,6,15,0,
497,2009,1,4,Dale,Gumness,643,1,1,1,0,7,16,1,
497,2009,1,1,Aline,Buchner,603,1,1,1,0,7,17,1,
497,2009,1,NA,Scatter,,31,0,0,0,1,7,17,1,
497,2010,1,6,Joe,Zeman,863,1,1,1,0,8,18,1,
497,2010,1,11,Ralph,Bruxvoort,782,1,1,1,0,8,18,1,
497,2010,1,20,Gordon,Johnson,689,1,0,0,0,8,18,1,
497,2010,1,21,Shelly,Olson,576,0,0,0,0,8,18,1,
497,2010,1,22,Judith,Davis,469,0,0,0,0,8,18,1,
497,2010,1,13,Cory,Bixby,368,0,1,1,0,8,18,1,
497,2010,1,NA,Scatter,,9,0,0,0,1,8,18,1,
497,2011,1,19,Deneen,Berseth,1086,1,1,1,0,9,19,1,
497,2011,1,16,Linda,Wankel,972,1,1,1,0,9,19,1,
497,2011,1,13,Cory,Bixby,200,0,1,1,0,9,19,1,
497,2011,1,NA,Scatter,,19,0,0,0,1,9,19,1,
497,2012,1,4,Dale,Gumness,1396,1,1,1,0,10,20,1,
497,2012,1,22,Judith,Davis,835,1,0,1,0,10,20,1,
497,2012,1,23,Stacey,Zeman,223,0,0,0,0,10,20,1,
497,2012,1,NA,Scatter,,17,0,0,0,1,10,20,1,
