distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
623,2007,2,1,Janet ,Miller,73,1,1,1,1,1,1,1,
623,2007,2,2,Jacqueline,Miller,24,0,0,0,1,1,1,1,
623,2007,2,3,Jill ,Martin,25,1,0,0,1,1,1,1,
623,2007,1,3,Jill ,Martin,121,0,0,1,0,2,2,1,
623,2007,1,1,Janet ,Miller,202,1,1,1,0,2,2,1,
623,2007,1,4,Janet ,Schmidt,165,0,0,0,0,2,2,1,
623,2007,1,5,John,Fuerst,170,0,1,1,0,2,2,1,
623,2007,1,6,Robert,Herzberg,249,1,0,0,0,2,2,1,
623,2007,1,7,Scott,Breitrick,92,0,1,1,1,2,2,1,
623,2008,1,8,Jeanne,Long,187,1,1,1,0,3,3,1,
623,2008,1,9,Glenda,Butterfield-Bold,184,1,1,1,0,3,3,1,
623,2008,1,NA,Scatter,Scatter,5,0,0,0,1,3,3,1,
623,2009,1,10,Jerry,Grosskopf,241,1,1,1,0,4,4,1,
623,2009,1,3,Jill ,Martin,170,0,0,0,0,4,4,1,
623,2009,1,12,,Sybeldon,196,1,1,1,0,4,4,1,
623,2009,1,13,Deb,Roth,227,1,0,0,0,4,4,1,
623,2010,1,3,Jill ,Martin,200,1,0,1,0,5,5,1,
623,2010,1,NA,Scatter,Scatter,1,0,0,0,1,5,5,1,
623,2010,1,14,W,Murphy,81,0,0,0,1,5,5,1,
623,2010,1,5,John,Fuerst,155,1,0,1,0,5,5,1,
623,2010,1,6,Robert,Herzberg,159,1,1,1,0,5,5,1,
623,2010,1,15,K,Breitrick,76,0,0,1,1,5,5,1,
623,2010,1,NA,Scatter,Scatter,2,0,0,0,1,5,5,1,
623,2011,1,8,Jeanne,Long,393,1,1,1,0,6,6,1,
623,2011,1,9,Glenda,Butterfield-Bold,368,1,1,1,0,6,6,1,
623,2011,1,NA,Scatter,Scatter,14,0,0,0,1,6,6,1,
623,2012,1,10,Jerry,Grosskopf,354,1,1,1,0,7,7,1,
623,2012,1,NA,Scatter,Scatter,18,0,0,0,1,7,7,1,
623,2012,1,13,Deb,Roth,343,1,1,1,0,7,7,1,
