distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
637,2002,1,1,Robert,Bodsberg,386,1,0,0,0,1,1,1,
637,2002,1,2,Aaron,Blumer,120,0,0,0,0,1,1,1,
637,2002,1,3,Alan,Carlson,237,0,0,0,0,1,1,1,
637,2002,1,4,Linda,Slind,325,1,1,1,0,1,1,1,
637,2002,1,NA,Scatter,,2,0,0,0,1,1,1,1,
637,2003,1,5,Gail,Stark,875,1,1,1,0,2,2,1,
637,2003,1,NA,Scatter,,21,0,0,0,1,2,2,1,
637,2004,2,6,Terry,Crosby,140,0,0,0,0,3,3,1,
637,2004,2,7,Franklin,Retz,142,1,0,0,0,3,3,1,
637,2004,2,8,John,Poeschel,433,1,0,0,0,3,3,1,
637,2004,2,9,John,Zavodny,354,1,1,1,0,3,3,1,
637,2004,2,10,Kevin,Bygd,241,1,0,0,0,3,3,1,
637,2004,2,NA,Scatter,,4,0,0,0,1,3,3,1,
637,2004,1,8,John,Poeschel,546,1,0,1,0,4,4,1,
637,2004,1,7,Franklin,Retz,113,0,0,1,0,4,4,1,
637,2004,1,9,John,Zavodny,408,1,1,1,0,4,4,1,
637,2004,1,10,Kevin,Bygd,302,0,0,1,0,4,4,1,
637,2004,1,NA,Scatter,,2,0,0,0,1,4,4,1,
637,2005,1,4,Linda,Slind,340,1,1,1,0,5,5,1,
637,2005,1,1,Robert,Bodsberg,405,1,1,1,0,5,5,1,
637,2005,1,NA,Scatter,,9,0,0,0,1,5,5,1,
637,2006,1,5,Gail,Stark,279,1,1,1,0,6,6,1,
637,2006,1,NA,Scatter,,13,0,0,0,1,6,6,1,
637,2007,1,11,Timothy,Sempr,490,1,0,0,0,7,7,1,
637,2007,1,12,Ginny,Waller,459,1,0,0,0,7,7,1,
637,2007,1,9,John,Zavodny,379,0,0,1,0,7,7,1,
637,2007,1,NA,Scatter,,5,0,0,0,1,7,7,1,
637,2008,1,13,Michelle,Haviland,183,0,0,0,0,8,8,1,
637,2008,1,14,Steven,Bird,486,1,0,0,0,8,8,1,
637,2008,1,15,Larry,Zirgibel,383,1,0,0,0,8,8,1,
637,2008,1,16,Harry,Joles,323,0,0,0,0,8,8,1,
637,2008,1,NA,Scatter,,25,0,0,0,1,8,8,1,
637,2009,1,16,Harry,Joles,473,1,0,0,0,9,9,1,
637,2009,1,5,Gail,Stark,422,1,1,1,0,9,9,1,
637,2009,1,NA,Scatter,,12,0,0,0,1,9,9,1,
637,2010,1,9,John,Zavodny,345,1,0,1,0,10,10,1,
637,2010,1,11,Timothy,Sempr,367,1,1,1,0,10,10,1,
637,2010,1,12,Ginny,Waller,280,0,1,1,0,10,10,1,
637,2010,1,NA,Scatter,,4,0,0,0,1,10,10,1,
637,2011,1,14,Steven,Bird,670,1,1,1,0,11,11,1,
637,2011,1,17,Andrea,Hanestad,278,0,0,0,0,11,11,1,
637,2011,1,NA,Scatter,,4,0,0,0,1,11,11,1,
637,2012,1,5,Gail,Stark,374,1,1,1,0,12,12,1,
637,2012,1,18,Gary,Faulkner,267,0,0,0,0,12,12,1,
637,2012,1,19,Erik,Evenson,387,1,0,0,0,12,12,1,
637,2012,1,16,Harry,Joles,354,1,1,1,0,12,12,1,
637,2012,1,NA,Scatter,,5,0,0,0,1,12,12,1,
