distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
658,2003,1,1,Russ,Cherney,513,1,1,1,0,1,1,1,
658,2003,1,2,Brian,Horn,555,1,0,0,0,1,1,1,
658,2003,1,3,Roxane,Schmitting,436,0,1,1,0,1,1,1,
658,2003,1,4,Holly,Thurow,469,1,0,0,0,1,1,1,
658,2003,1,NA,Scatter,,7,0,0,0,1,1,1,1,
658,2004,1,5,Melody,Gehrt,232,1,1,1,0,2,2,1,
658,2004,1,6,Matt,Vechart,260,1,1,1,0,2,2,1,
658,2004,1,NA,Scatter,,13,0,0,0,1,2,2,1,
658,2005,1,4,Holly,Thurow,374,1,1,1,0,3,3,1,
658,2005,1,7,Cheryl,Welch,350,1,0,0,0,3,3,1,
658,2005,1,8,Steve,Klessig,367,1,1,1,0,3,3,1,
658,2005,1,NA,Scatter,,10,0,0,0,1,3,3,1,
658,2006,1,9,Robert,Stanelle,223,1,0,0,0,4,4,1,
658,2006,1,2,Brian,Horn,374,1,1,1,0,4,4,1,
658,2006,1,10,Nancy,Newman,169,0,0,0,0,4,4,1,
658,2006,1,11,Judy,Stark,144,0,0,0,0,4,4,1,
658,2006,1,NA,Scatter,,19,0,0,0,1,4,4,1,
658,2007,1,12,Renee,Maeder,506,1,0,0,0,5,5,1,
658,2007,1,5,Melody,Gehrt,306,0,1,1,0,5,5,1,
658,2007,1,13,Kevin,Palmer,427,1,1,0,0,5,5,1,
658,2007,1,NA,Scatter,,4,0,0,0,1,5,5,1,
658,2008,1,14,Lea,Calaway,501,1,0,0,0,6,6,1,
658,2008,1,15,Nancy,Stanelle,326,0,0,0,0,6,6,1,
658,2008,1,4,Holly,Thurow,412,1,1,1,0,6,6,1,
658,2008,1,8,Steve,Klessig,412,1,1,1,0,6,6,1,
658,2008,1,NA,Scatter,,4,0,0,0,1,6,6,1,
658,2009,1,9,Robert,Stanelle,519,1,1,1,0,7,7,1,
658,2009,1,2,Brian,Horn,734,1,1,1,0,7,7,1,
658,2009,1,NA,Scatter,,17,0,0,0,1,7,7,1,
658,2010,1,13,Kevin,Palmer,607,1,1,1,0,8,8,1,
658,2010,1,12,Renee,Maeder,713,1,1,1,0,8,8,1,
658,2010,1,NA,Scatter,,17,0,0,0,1,8,8,1,
658,2011,1,4,Holly,Thurow,721,0,1,1,0,9,9,1,
658,2011,1,14,Lea,Calaway,820,1,1,1,0,9,9,1,
658,2011,1,8,Steve,Klessig,784,1,1,1,0,9,9,1,
658,2011,1,NA,Scatter,,23,0,0,0,1,9,9,1,
658,2012,1,9,Robert,Stanelle,460,0,1,1,0,10,10,1,
658,2012,1,2,Brian,Horn,636,1,1,1,0,10,10,1,
658,2012,1,15,Gordon,Gasch,618,1,0,0,0,10,10,1,
658,2012,1,16,Nicole,Calaway,594,1,0,0,0,10,10,1,
