distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
665,2007,1,1,David ,Berg,262,0,1,1,0,1,a,1,
665,2007,1,2,Katie,Horton,400,1,0,0,0,1,a,1,
665,2007,1,3,Jack,Spencer,263,1,0,1,0,1,a,1,
665,2008,1,4,Todd,Becker,449,1,0,0,0,2,a,1,
665,2009,1,5,Amy,Hanson,608,1,0,0,0,3,a,1,
665,2009,1,6,Andrew,Lawrence,391,1,1,1,0,3,a,1,
665,2009,1,7,Mike,Saad,219,1,1,1,0,3,a,1,
665,2011,1,8,Todd,Becker,728,1,1,1,0,4,a,1,
665,2011,1,9,Sue,Cesnovar,158,0,0,0,0,4,a,1,
665,2012,1,2,Katie,Horton,524,1,1,1,0,5,a,1,
665,2012,1,5,Amy,Hanson,395,1,1,1,0,5,a,1,
665,2012,1,6,Andrew,Lawrence,290,0,1,1,0,5,a,1,
665,2013,1,3,Jack,Spencer,382,0,0,1,0,7,a,1,
665,2013,1,14,Lynn,Keller,452,1,0,0,0,7,a,1,
665,2013,1,15,Doug,O'Reilly,255,0,0,0,0,7,a,1,
665,2013,1,16,Katie,O'Neill,393,1,0,0,0,7,a,1,
