distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
777,2002,1,1,Michael,Hurst,1146,1,1,1,0,1,1,1,
777,2002,1,2,Larry,Anderson,1301,1,1,1,0,1,1,1,
777,2002,1,3,John,Kessler,1112,1,0,0,0,1,1,1,
777,2002,1,4,William,Campbell,1252,1,1,1,0,1,1,1,
777,2002,1,5,Michele,Oxley-Hase,1084,0,1,1,0,1,1,1,
777,2003,1,3,John,Kessler,2013,1,1,1,0,2,2,1,
777,2003,1,6,John,Anderson,2364,1,1,1,0,2,2,1,
777,2004,1,7,Paul,Mantey,1678,1,1,1,0,3,3,1,
777,2004,1,8,Scott,Barrett,1931,1,0,0,0,3,3,1,
777,2004,1,9,Yvette,Landrum,41,0,0,0,1,3,3,1,
777,2005,1,2,Larry,Anderson,1363,1,1,1,0,4,4,1,
777,2005,1,4,William,Campbell,1395,1,1,1,0,4,4,1,
777,2005,1,1,Michael,Hurst,1318,1,1,1,0,4,4,1,
777,2005,1,10,Susan,Kessler,1316,0,0,0,0,4,4,1,
777,2006,1,11,Randy,Smith,685,0,0,0,0,5,5,1,
777,2006,1,12,Michael,Libbey,580,0,0,0,0,5,5,1,
777,2006,1,6,John,Anderson,999,1,1,1,0,5,5,1,
777,2006,1,10,Susan,Kessler,724,1,0,1,0,5,5,1,
777,2007,1,8,Scott,Barrett,2225,1,1,1,0,6,6,1,
777,2007,1,7,Paul,Mantey,1849,1,1,1,0,6,6,1,
777,2007,1,13,Taylor,Wishau,1872,1,0,0,0,6,6,1,
777,2007,1,14,Peter,DeRosier,1811,0,0,0,0,6,6,1,
777,2007,1,NA,Scatter,,31,0,0,0,1,6,6,1,
777,2008,1,15,Rosanne,Hahn,2304,1,0,0,0,7,7,1,
777,2008,1,2,Larry,Anderson,1923,0,1,1,0,7,7,1,
777,2008,1,16,David,Thompson,1959,1,0,0,0,7,7,1,
777,2008,1,4,William,Campbell,2074,1,1,1,0,7,7,1,
777,2008,1,14,Peter,DeRosier,1216,0,0,1,0,7,7,1,
777,2009,1,10,Susan,Kessler,1537,1,1,1,0,8,8,1,
777,2009,1,6,John,Anderson,1727,1,1,1,0,8,8,1,
777,2009,1,17,Michael,Boutcher,952,0,0,0,0,8,8,1,
777,2009,1,NA,Scatter,,342,0,0,0,1,8,8,1,
777,2010,2,30,Cord,Harris,131,0,0,0,0,9,9,1,
777,2010,2,8,Scott,Barrett,371,1,1,1,0,9,9,1,
777,2010,2,13,Taylor,Wishau,274,1,1,1,0,9,9,1,
777,2010,2,17,Michael,Boutcher,233,1,0,1,0,9,9,1,
777,2010,2,19,Cory,Harris,153,1,0,0,0,9,9,1,
777,2010,1,13,Taylor,Wishau,685,0,1,1,0,10,10,1,
777,2010,1,19,Cory,Harris,687,0,0,0,0,10,10,1,
777,2010,1,17,Michael,Boutcher,664,0,0,1,0,10,10,1,
777,2010,1,8,Scott,Barrett,1286,1,1,1,0,10,10,1,
777,2010,1,2,Larry,Anderson,821,1,0,1,0,10,10,1,
777,2011,1,13,Taylor,Wishau,2448,0,0,1,0,11,11,1,
777,2011,1,16,David,Thompson,3319,1,1,1,0,11,11,1,
777,2011,1,4,William,Campbell,3129,1,1,1,0,11,11,1,
777,2011,1,15,Rosanne,Hahn,3148,1,1,1,0,11,11,1,
777,2012,2,20,Phillip,Ketterhagen,1523,1,0,0,0,12,12,1,
777,2012,2,21,Roger,Koldeway,1446,1,0,0,0,12,12,1,
777,2012,2,6,John,Anderson,1203,1,1,1,0,12,12,1,
777,2012,2,22,Megan,Shumate,131,0,0,0,0,12,12,1,
777,2012,2,10,Susan,Kessler,1213,1,1,1,0,12,12,1,
777,2012,2,23,Scott,Elbein,300,0,0,0,0,12,12,1,
777,2012,1,20,Phillip,Ketterhagen,3013,1,0,0,0,13,13,1,
777,2012,1,21,Roger,Koldeway,2817,1,0,0,0,13,13,1,
777,2012,1,10,Susan,Kessler,2460,0,1,1,0,13,13,1,
777,2012,1,6,John,Anderson,2492,1,1,1,0,13,13,1,
