distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
903,2007,1,1,Harold,Bann,109,0,1,1,0,1,1,1,
903,2007,1,2,Roger,Olson,203,1,0,0,0,1,1,1,
903,2007,1,3,Caroline,Dostal,189,1,1,1,0,1,1,1,
903,2007,1,4,Bill,Turner,101,0,0,0,0,1,1,1,
903,2007,1,NA,Scatter,,2,0,0,0,1,1,1,1,
903,2008,1,5,Randy,Hill,535,1,1,1,0,2,2,1,
903,2008,1,NA,Scatter,,5,0,0,0,1,2,2,1,
903,2009,1,6,Ted,Zych II,242,1,1,1,0,3,3,1,
903,2009,1,7,Gene,Phillips,229,1,1,1,0,3,3,1,
903,2009,1,NA,Scatter,,4,0,0,0,1,3,3,1,
903,2010,1,2,Roger,Olson,80,1,1,1,1,4,4,1,
903,2010,1,3,Caroline,Dostal,86,1,1,1,1,4,4,1,
903,2011,2,8,Allen,Breeden,41,0,0,0,1,5,5,1,
903,2011,2,9,Melissa,Paulette,92,1,0,0,1,5,5,1,
903,2011,2,5,Randy,Hill,75,1,1,1,1,5,5,1,
903,2011,1,5,Randy,Hill,507,1,1,1,0,6,6,1,
903,2011,1,9,Melissa,Paulette,340,1,0,0,0,6,6,1,
903,2011,1,NA,Scatter,,4,0,0,0,1,6,6,1,
903,2012,1,7,Gene,Phillips,298,1,1,1,0,7,7,1,
903,2012,1,10,Don,Rappel,505,1,0,0,0,7,7,1,
903,2012,1,6,Ted,Zych II,269,0,1,1,0,7,7,1,
903,2012,1,8,Allen,Breeden,361,1,0,1,0,7,7,1,
903,2012,1,NA,Scatter,,7,0,0,0,1,7,7,1,
