distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
1568,2002,1,1,Steven,Zych,1027,1,1,1,0,1,1,1,
1568,2002,1,2,Gregory,Johnson,869,1,1,1,0,1,1,1,
1568,2002,1,3,David,Bilhorn,864,0,0,0,0,1,1,1,
1568,2002,1,4,Cynthia,Vondrasek,1094,1,1,1,0,1,1,1,
1568,2002,1,NA,Scatter,,4,0,0,0,1,1,1,1,
1568,2003,1,5,Jim,Raymond,1149,1,1,1,0,2,2,1,
1568,2003,1,6,Larry,Oberdeck,1178,1,1,1,0,2,2,1,
1568,2003,1,7,Jim,Suski,391,0,0,0,0,2,2,1,
1568,2003,1,8,Julie,Lyerla,1075,1,1,1,0,2,2,1,
1568,2003,1,NA,Scatter,,18,0,0,0,1,2,2,1,
1568,2004,1,9,Brian,Donnelly,1131,1,1,1,0,3,3,1,
1568,2004,1,10,Stephen,Hefty,894,0,1,1,0,3,3,1,
1568,2004,1,11,Vicki,Brown,1233,1,1,1,0,3,3,1,
1568,2004,1,12,Amy,Richardson,1034,1,0,0,0,3,3,1,
1568,2004,1,NA,Scatter,,12,0,0,0,1,3,3,1,
1568,2005,1,10,Steven,Hefty,703,0,0,0,0,4,4,1,
1568,2005,1,4,Cynthia,Vondrasek,799,1,1,1,0,4,4,1,
1568,2005,1,13,Sue,Tronnes,722,1,0,0,0,4,4,1,
1568,2005,1,1,Steven,Zych,779,1,1,1,0,4,4,1,
1568,2005,1,NA,Scatter,,4,0,0,0,1,4,4,1,
1568,2006,1,14,Rhonda,Reese,667,0,0,0,0,5,5,1,
1568,2006,1,5,Jim,Raymond,1187,1,1,1,0,5,5,1,
1568,2006,1,6,Larry,Oberdeck,1148,1,1,1,0,5,5,1,
1568,2006,1,10,Steven,Hefty,874,0,0,1,0,5,5,1,
1568,2006,1,8,Julie,Lyerla,1081,1,1,1,0,5,5,1,
1568,2007,1,15,Randy,Kosmicki,802,0,0,0,0,6,6,1,
1568,2007,1,9,Brian,Donnelly,1130,1,1,1,0,6,6,1,
1568,2007,1,16,Jeff,Smrecek,836,1,0,0,0,6,6,1,
1568,2007,1,12,Amy,Richardson,1091,1,1,1,0,6,6,1,
1568,2007,1,NA,Scatter,,11,0,0,0,1,6,6,1,
1568,2008,1,17,Amy,Horn-Delzer,1170,1,0,0,0,7,7,1,
1568,2008,1,13,Sue,Tronnes,1292,1,1,1,0,7,7,1,
1568,2008,1,4,Cynthia,Vondrasek,1234,1,1,1,0,7,7,1,
1568,2008,1,NA,Scatter,,11,0,0,0,1,7,7,1,
1568,2009,1,18,Craig,Strouse,769,1,0,0,0,8,8,1,
1568,2009,1,19,Julie,Norland,915,1,0,0,0,8,8,1,
1568,2009,1,20,Victor,Gonzalez,674,0,0,0,0,8,8,1,
1568,2009,1,6,Larry,Oberdeck,987,1,1,1,0,8,8,1,
1568,2009,1,NA,Scatter,,1,0,0,0,1,8,8,1,
1568,2010,2,21,John,Falligant,310,1,0,0,0,9,9,1,
1568,2010,2,22,James,Salimes,144,1,0,0,0,9,9,1,
1568,2010,2,12,Amy,Richardson,301,1,1,1,0,9,9,1,
1568,2010,2,23,Sara,Stinski,178,1,0,0,0,9,9,1,
1568,2010,2,24,Matt,Towns,305,1,0,0,0,9,9,1,
1568,2010,2,25,Kevin,Vizvary,72,0,0,0,1,9,9,1,
1568,2010,2,26,David,Weger,145,1,0,0,0,9,9,1,
1568,2010,1,23,Sara,Stinski,581,0,0,0,0,10,10,1,
1568,2010,1,12,Amy,Richardson,1041,1,1,1,0,10,10,1,
1568,2010,1,21,John,Falligant,1147,1,0,0,0,10,10,1,
1568,2010,1,24,Matt,Towns,1150,1,0,0,0,10,10,1,
1568,2010,1,26,David,Weger,416,0,0,0,0,10,10,1,
1568,2010,1,22,James,Salimes,223,0,0,0,0,10,10,1,Withdrew
1568,2010,1,NA,Scatter,,11,0,0,0,1,10,10,1,
1568,2011,1,13,Sue,Tronnes,2398,1,1,1,0,11,11,1,
1568,2011,1,17,Amy,Horn-Delzer,2093,1,1,1,0,11,11,1,
1568,2011,1,27,James,Salimes,1465,1,0,0,0,11,11,1,
1568,2011,1,28,Donald,McFarlane,1377,0,0,0,0,11,11,1,
1568,2011,1,NA,Scatter,,30,0,0,0,1,11,11,1,
1568,2012,2,29,Robert,Chapados,384,1,0,0,0,12,12,1,
1568,2012,2,30,Jim,Klein,335,1,0,0,0,12,12,1,
1568,2012,2,31,Daniel,Ray,141,1,0,0,0,12,12,1,
1568,2012,2,32,David,Davis,118,1,0,0,0,12,12,1,
1568,2012,2,33,Dianne,Davis,229,1,0,0,0,12,12,1,
1568,2012,2,34,Derek,Ninmer,358,1,0,0,0,12,12,1,
1568,2012,2,35,Jon,Raymond,413,1,0,0,0,12,12,1,
1568,2012,2,NA,Scatter,,8,0,0,0,1,12,12,1,
1568,2012,1,31,Daniel,Ray,485,0,0,0,0,13,13,1,
1568,2012,1,35,Jon,Raymond,1024,1,0,0,0,13,13,1,
1568,2012,1,29,Robert,Chapados,895,1,0,0,0,13,13,1,
1568,2012,1,34,Derek,Ninmer,868,1,0,0,0,13,13,1,
1568,2012,1,33,Dianne,Davis,770,0,0,0,0,13,13,1,
1568,2012,1,30,Jim,Klein,720,0,0,0,0,13,13,1,
1568,2012,1,NA,Scatter,,26,0,0,0,1,13,13,1,
