distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
1600,2002,1,1,Darrel,Engen,318,1,0,0,0,1,1,1,
1600,2002,1,2,Gregory,Sather,307,1,0,0,0,1,1,1,
1600,2003,1,3,Jane,Edson,352,1,1,1,0,2,2,1,
1600,2003,1,4,Bob,Smith,358,1,1,1,0,2,2,1,
1600,2003,1,NA,Scatter,,3,0,0,0,1,2,2,1,
1600,2004,1,5,Thomas,Bilski,213,1,1,1,0,3,3,1,
1600,2004,1,6,Lois,Havenor,243,1,1,1,0,3,3,1,
1600,2004,1,7,Joyce,Russell,183,1,0,0,0,3,3,1,
1600,2004,1,8,,Zander,106,0,0,0,0,3,3,1,
1600,2005,1,1,Darrel,Engen,264,1,1,1,0,4,4,1,
1600,2005,1,2,Gregory,Sather,262,1,1,1,0,4,4,1,
1600,2005,1,NA,Scatter,,1,0,0,0,1,4,4,1,
1600,2006,1,3,Jane,Edson,176,0,1,1,0,5,5,1,
1600,2006,1,9,Jody,Ausen,218,1,0,0,0,5,5,1,
1600,2006,1,4,Bob,Smith,223,1,1,1,0,5,5,1,
1600,2007,1,5,Thomas,Bilski,239,1,1,1,0,6,6,1,
1600,2007,1,7,Joyce,Russell,234,0,1,1,0,6,6,1,
1600,2007,1,6,Lois,Havenor,239,1,1,1,0,6,6,1,
1600,2008,1,2,Gregory,Sather,242,1,1,1,0,7,7,1,
1600,2008,1,10,Daniel,Wallery,220,1,0,0,0,7,7,1,
1600,2008,1,11,Brett,Semingson,259,1,0,0,0,7,7,1,
1600,2008,1,NA,Scatter,,4,0,0,0,1,7,7,1,
1600,2009,1,9,Jody,Ausen,296,1,1,1,0,8,8,1,
1600,2009,1,4,Bob,Smith,274,1,1,1,0,8,8,1,
1600,2009,1,NA,Scatter,,9,0,0,0,1,8,8,1,
1600,2010,1,5,Thomas,Bilski,242,1,1,1,0,9,9,1,
1600,2010,1,10,Daniel,Wallery,241,1,1,1,0,9,9,1,
1600,2010,1,6,Lois,Havenor,266,1,1,1,0,9,9,1,
1600,2010,1,NA,Scatter,,7,0,0,0,1,9,9,1,
1600,2011,1,2,Gregory,Sather,614,1,1,1,0,10,10,1,
1600,2011,1,11,Brett,Semingson,664,1,1,1,0,10,10,1,
1600,2011,1,NA,Scatter,,6,0,0,0,1,10,10,1,
1600,2012,1,12,Jill,Schoen,240,0,0,0,0,11,11,1,
1600,2012,1,13,Kris,Devine-McKillip,274,1,0,0,0,11,11,1,
1600,2012,1,14,Karla,Svedarsky,258,0,0,0,0,11,11,1,
1600,2012,1,9,Jody,Ausen,294,1,1,1,0,11,11,1,
1600,2012,1,NA,Scatter,,8,0,0,0,1,11,11,1,
