distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
1645,2002,1,1,James,Holte,300,1,1,1,0,1,1,1,
1645,2002,1,2,Timothy,Sivertson,271,1,1,1,0,1,1,1,
1645,2002,1,3,Carol,Peterson,162,0,0,0,0,1,1,1,
1645,2002,1,4,Bill,Moore,254,1,1,1,0,1,1,1,
1645,2002,1,5,Rich,Cable,206,0,0,0,0,1,1,1,
1645,2002,1,NA,Scatter,,3,0,0,0,1,1,1,1,
1645,2003,1,6,Gary,Bodenburg,638,1,1,1,0,2,2,1,
1645,2003,1,7,Margaret,Dieter,598,1,1,1,0,2,2,1,
1645,2003,1,5,Rich,Cable,371,0,0,1,0,2,2,1,
1645,2003,1,8,Jim,Ward,334,0,0,0,0,2,2,1,
1645,2003,1,NA,Scatter,,21,0,0,0,1,2,2,1,
1645,2004,1,9,Loren,Hanson,191,1,1,1,0,3,3,1,
1645,2004,1,10,Sherry,Kotecki,171,1,1,1,0,3,3,1,
1645,2004,1,NA,Scatter,,7,0,0,0,1,3,3,1,
1645,2005,1,1,James,Holte,535,1,1,1,0,4,4,1,
1645,2005,1,2,Timothy,Sivertson,517,1,1,1,0,4,4,1,
1645,2005,1,4,Bill,Moore,518,1,1,1,0,4,4,1,
1645,2005,1,NA,Scatter,,20,0,0,0,1,4,4,1,
1645,2006,1,6,Gary,Bodenburg,165,1,1,1,0,5,5,1,
1645,2006,1,7,Margaret,Dieter,158,1,1,1,0,5,5,1,
1645,2006,1,NA,Scatter,,8,0,0,0,1,5,5,1,
1645,2007,1,9,Loren,Hanson,248,1,1,1,0,6,6,1,
1645,2007,1,11,Kyle,Jenson,232,1,0,0,0,6,6,1,
1645,2007,1,12,Scott,Fasbender,196,0,0,0,0,6,6,1,
1645,2007,1,10,Sherry,Kotecki,178,0,1,1,0,6,6,1,
1645,2008,1,1,James,Holte,320,1,1,1,0,7,7,1,
1645,2008,1,2,Timothy,Sivertson,278,1,1,1,0,7,7,1,
1645,2008,1,4,Bill,Moore,240,1,1,1,0,7,7,1,
1645,2008,1,12,Scott,Fasbender,194,0,0,1,0,7,7,1,
1645,2008,1,NA,Scatter,,4,0,0,0,1,7,7,1,
1645,2009,1,7,Margaret,Dieter,754,1,1,1,0,8,8,1,
1645,2009,1,6,Gary,Bodenburg,798,1,1,1,0,8,8,1,
1645,2009,1,NA,Scatter,,12,0,0,0,1,8,8,1,
1645,2010,1,11,Kyle,Jenson,371,1,1,1,0,9,9,1,
1645,2010,1,9,Loren,Hanson,387,1,1,1,0,9,9,1,
1645,2010,1,NA,Scatter,,8,0,0,0,1,9,9,1,
1645,2011,1,2,Timothy,Sivertson,757,1,1,1,0,10,10,1,
1645,2011,1,1,James,Holte,762,1,1,1,0,10,10,1,
1645,2011,1,4,Bill,Moore,713,1,1,1,0,10,10,1,
1645,2011,1,NA,Scatter,,19,0,0,0,1,10,10,1,
1645,2012,1,7,Margaret,Dieter,456,1,1,1,0,11,11,1,
1645,2012,1,6,Gary,Bodenburg,475,1,1,1,0,11,11,1,
1645,2012,1,NA,Scatter,,13,0,0,0,1,11,11,1,
