distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
1631,2002,1,1,Pamela,Rudnick,256,1,1,1,0,1,1,1,
1631,2002,1,2,Michael,Schwaller,9,1,0,0,1,1,1,1,
1631,2002,1,NA,Scatter,,51,0,0,0,1,1,1,1,
1631,2003,1,3,John,Wyatt,594,1,1,1,0,2,2,1,
1631,2003,1,4,Stanley,Meinnert,601,1,0,0,0,2,2,1,
1631,2003,1,5,Laura,Roberts,612,1,1,1,0,2,2,1,
1631,2003,1,NA,Scatter,,13,0,0,0,1,2,2,1,
1631,2005,1,2,Michael,Schwaller,453,1,1,1,0,3,3,1,
1631,2005,1,6,Jill,Daun,410,1,0,0,0,3,3,1,
1631,2006,1,7,Brian,Scholten,502,1,0,0,0,4,4,1,
1631,2006,1,4,Stanley,Meinnert,599,1,1,1,0,4,4,1,
1631,2006,1,8,James,Henschel,144,1,0,0,0,4,4,1,
1631,2007,1,9,Debra,Dyke,681,1,1,1,0,5,5,1,
1631,2007,1,10,Glenn,Schmahl,812,1,1,1,0,5,5,1,
1631,2010,1,11,Kevin,Ruh,433,1,0,0,0,6,6,1,
1631,2010,1,12,Matthew,Waage,376,1,0,0,0,6,6,1,
1631,2010,1,NA,Scatter,,5,0,0,0,1,6,6,1,
1631,2011,1,13,Scott,Heinig,663,1,0,0,0,7,7,1,
1631,2011,1,14,Tre,Waldren,440,0,0,0,0,7,7,1,
1631,2011,1,15,Joel,Schuler,829,1,0,0,0,7,7,1,
1631,2011,1,NA,Scatter,,9,0,0,0,1,7,7,1,
1631,2012,1,8,James,Henschel,1000,1,1,1,0,8,8,1,
1631,2012,1,16,Scott,Starnitcky,796,1,1,1,0,8,8,1,
1631,2012,1,17,Kim,Viglietti,944,1,1,1,0,8,8,1,
1631,2012,1,NA,Scatter,,96,0,0,0,1,8,8,1,
