distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
1659,2002,1,1,Lucille,Strom,784,1,1,1,0,1,1,1,
1659,2002,1,2,Paul,Solyntjes,948,1,0,0,0,1,1,1,
1659,2002,1,3,Bob,Loberg,709,0,0,0,0,1,1,1,
1659,2002,1,NA,Scatter,,3,0,0,0,1,1,1,1,
1659,2003,1,4,Bryan,Thoner,856,1,1,1,0,2,2,1,
1659,2003,1,5,Linda,Flanders,408,0,0,0,0,2,2,1,
1659,2003,1,6,Jerry,Bristol,764,1,1,1,0,2,2,1,
1659,2003,1,NA,Scatter,,1,0,0,0,1,2,2,1,
1659,2004,1,7,Scott,Helmer,619,1,1,1,0,3,3,1,
1659,2004,1,8,Mary,Erlandson,715,1,0,0,0,3,3,1,
1659,2004,1,9,Nancy,Ortwerth,595,0,0,0,0,3,3,1,
1659,2004,1,10,David,Murphy,665,1,1,1,0,3,3,1,
1659,2004,1,11,Rick,Kornmann,538,0,1,1,0,3,3,1,
1659,2004,1,NA,Scatter,,1,0,0,0,1,3,3,1,
1659,2005,1,12,Kurt,Buckner,334,0,0,0,0,4,4,1,
1659,2005,1,11,Rick,Kornmann,563,1,0,1,0,4,4,1,
1659,2005,1,1,Lucille,Strom,554,1,1,1,0,4,4,1,
1659,2005,1,2,Paul,Solyntjes,692,1,1,1,0,4,4,1,
1659,2005,1,NA,Scatter,,4,0,0,0,1,4,4,1,
1659,2006,1,1,Lucille,Strom,300,0,1,1,0,5,5,1,
1659,2006,1,6,Jerry,Bristol,474,1,1,1,0,5,5,1,
1659,2006,1,12,Kurt,Buckner,185,0,0,1,0,5,5,1,
1659,2006,1,13,Sheldon,Johnson,422,1,0,0,0,5,5,1,
1659,2006,1,NA,Scatter,,2,0,0,0,1,5,5,1,
1659,2007,1,14,Steve,Georgakas,561,1,0,0,0,6,6,1,
1659,2007,1,8,Mary,Erlandson,580,1,1,1,0,6,6,1,
1659,2007,1,15,Justin,Hines,432,0,0,0,0,6,6,1,
1659,2007,1,16,Laurie,Andrews,707,1,0,0,0,6,6,1,
1659,2007,1,12,Kurt,Buckner,424,0,0,1,0,6,6,1,
1659,2007,1,NA,Scatter,,8,0,0,0,1,6,6,1,
1659,2008,1,11,Rick,Kornmann,1052,1,1,1,0,7,7,1,
1659,2008,1,12,Kurt,Buckner,900,1,0,1,0,7,7,1,
1659,2008,1,NA,Scatter,,8,0,0,0,1,7,7,1,
1659,2009,1,17,Anthony,Murphy,693,1,0,0,0,8,8,1,
1659,2009,1,18,Jeff,Stockwell,804,1,0,0,0,8,8,1,
1659,2009,1,NA,Scatter,,5,0,0,0,1,8,8,1,
1659,2010,1,19,Dan,Kaler,1273,1,0,0,0,9,9,1,
1659,2010,1,16,Laurie,Andrews,1722,1,1,1,0,9,9,1,
1659,2010,1,20,Doug,Peterson,1325,1,0,0,0,9,9,1,
1659,2010,1,14,Steve,Georgakas,1152,0,1,1,0,9,9,1,
1659,2010,1,21,Paul,Giovannoni,700,0,0,0,0,9,9,1,
1659,2010,1,NA,Scatter,,16,0,0,0,1,9,9,1,
1659,2011,1,12,Kurt,Buckner,2010,1,1,1,0,10,10,1,
1659,2011,1,11,Rick,Kornmann,2105,1,1,1,0,10,10,1,
1659,2011,1,NA,Scatter,,17,0,0,0,1,10,10,1,
1659,2012,1,22,Jeff,Stockwell,893,1,0,0,0,11,11,1,
1659,2012,1,23,Susan,Langer,770,1,0,0,0,11,11,1,
1659,2012,1,24,Robert,Wittenberg,484,0,0,0,0,11,11,1,
1659,2012,1,NA,Scatter,,10,0,0,0,1,11,11,1,
