distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
1813,2003,1,1,James,Griswold,402,1,1,1,0,1,3,0,
1813,2003,1,NA,scatter,scatter,2,0,0,0,1,1,3,0,
1813,2003,1,2,David,Cauffman,430,1,1,1,0,2,2,0,
1813,2003,1,3,Scott,Stimart,408,1,1,1,0,3,1,0,
1813,2003,1,NA,scatter,scatter,1,0,0,0,1,3,1,0,
1813,2004,1,4,JoAnn,Wiederholt,329,1,1,1,0,1,1,0,
1813,2004,1,NA,scatter,scatter,1,0,0,0,1,1,1,0,
1813,2004,1,5,Diane,Helms,325,1,1,1,0,2,2,0,
1813,2004,1,NA,scatter,scatter,1,0,0,0,1,2,2,0,
1813,2004,1,6,Peter,Heberlein,348,1,1,1,0,3,3,0,
1813,2004,1,NA,scatter,scatter,1,0,0,0,1,3,3,0,
1813,2005,1,7,Lyle,Lange,317,1,1,0,0,6,6,0,
1813,2005,1,NA,scatter,scatter,1,0,0,0,1,6,6,0,
1813,2005,1,8,Herman,Maier,301,1,1,0,0,5,5,0,
1813,2005,1,NA,scatter,,27,0,0,0,1,4,4,0,
1813,2006,1,9,Sheila,Ruchti,511,1,0,0,0,4,4,0,
1813,2006,1,NA,scatter,scatter,2,0,0,0,1,4,4,0,
1813,2006,1,1,James,Griswold,512,1,1,1,0,3,3,0,
1813,2006,1,2,David,Cauffman,513,1,1,1,0,2,2,0,
1813,2006,1,3,Scott,Stimart,520,1,1,1,0,1,1,0,
1813,2006,1,NA,scatter,scatter,1,0,0,0,1,1,1,0,
1813,2007,1,6,Peter,Heberlein,354,1,1,1,0,3,3,0,
1813,2007,1,5,Diane,Helms,344,1,1,1,0,2,2,0,
1813,2007,1,4,JoAnn,Wiederholt,327,1,1,1,0,1,1,0,
1813,2007,1,NA,scatter,scatter,1,0,0,0,1,1,1,0,
1813,2008,1,7,Lyle,Lange,519,1,1,1,0,6,6,0,
1813,2008,1,8,Herman,Maier,661,1,1,1,0,5,5,0,
1813,2008,1,NA,scatter,scatter,1,0,0,0,1,5,5,0,
1813,2008,1,9,Sheila,Ruchti,744,1,1,1,0,4,4,0,
1813,2009,1,1,James,Griswold,690,1,1,1,0,3,3,0,
1813,2009,1,2,David,Cauffman,704,1,1,1,0,2,2,0,
1813,2009,1,10,Margaret,Sprague,630,1,0,0,0,1,1,0,
1813,2009,1,NA,scatter,scatter,9,0,0,0,1,1,1,0,
1813,2010,1,6,Peter,Heberlein,272,1,1,1,0,3,3,0,
1813,2010,1,5,Diane,Helms,263,1,1,1,0,2,2,0,
1813,2010,1,4,JoAnn,Wiederholt,268,1,1,1,0,1,1,0,
1813,2010,1,NA,scatter,scatter,2,0,0,0,1,1,1,0,
1813,2011,1,7,Lyle,Lange,661,1,1,1,0,6,6,0,
1813,2011,1,8,Herman,Maier,632,1,1,1,0,5,5,0,
1813,2011,1,9,Sheila,Ruchti,672,1,1,1,0,4,4,0,
1813,2011,1,NA,scatter,scatter,2,0,0,0,1,4,4,0,
1813,2012,1,1,James,Griswold,474,1,1,1,0,3,3,0,
1813,2012,1,2,David,Cauffman,491,1,1,1,0,2,2,0,
1813,2012,1,10,Margaret,Sprague,454,1,1,1,0,1,1,0,
1813,2012,1,NA,scatter,scatter,1,0,0,0,1,1,1,0,
