distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
1862,2002,1,1,Gary,Sharpe,3256,1,1,1,0,1,1,1,
1862,2002,1,2,Lori,Rhoades,2565,1,1,1,0,1,1,1,
1862,2002,1,3,Xian,Gu,1678,0,0,0,0,1,1,1,
1862,2002,1,NA,Scatter,,11,0,0,0,1,1,1,1,
1862,2003,2,4,Timothy,Pollard,338,1,0,0,0,2,2,1,
1862,2003,2,5,Susan,Jones,697,1,1,1,0,2,2,1,
1862,2003,2,6,Timothy,Patterson,288,1,0,0,0,2,2,1,
1862,2003,2,7,Robert,Krueger,260,0,0,0,0,2,2,1,
1862,2003,2,8,Terri,Wilkens,575,1,1,1,0,2,2,1,
1862,2003,1,4,Timothy,Pollard,1616,0,0,0,0,3,3,1,
1862,2003,1,5,Susan,Jones,2881,1,1,1,0,3,3,1,
1862,2003,1,6,Timothy,Patterson,1624,0,0,0,0,3,3,1,
1862,2003,1,8,Terri,Wilkens,2362,1,1,1,0,3,3,1,
1862,2004,1,9,Kathleen,Nagle,3154,1,0,0,0,4,4,1,
1862,2004,1,10,Elizabeth,Hayes,3394,1,1,1,0,4,4,1,
1862,2004,1,11,Dennis,Glaeser,3245,1,1,1,0,4,4,1,
1862,2004,1,NA,Scatter,,13,0,0,0,1,4,4,1,
1862,2005,1,7,Robert,Krueger,3460,0,0,1,0,5,5,1,
1862,2005,1,1,Gary,Sharpe,5385,1,1,1,0,5,5,1,
1862,2005,1,12,Michael,O'Rourke,4777,1,0,0,0,5,5,1,
1862,2005,1,2,Lori,Rhoades,4706,1,1,1,0,5,5,1,
1862,2005,1,NA,Scatter,,15,0,0,0,1,5,5,1,
1862,2006,1,13,Eric,Everson,6206,1,0,0,0,6,6,1,
1862,2006,1,5,Susan,Jones,6574,1,1,1,0,6,6,1,
1862,2006,1,NA,Scatter,,33,0,0,0,1,6,6,1,
1862,2007,1,2,Lori,Rhoades,3067,1,1,1,0,7,7,1,
1862,2007,1,9,Kathleen,Nagle,3080,1,1,1,0,7,7,1,
1862,2007,1,10,Elizabeth,Hayes,3164,1,1,1,0,7,7,1,
1862,2007,1,NA,Scatter,,32,0,0,0,1,7,7,1,
1862,2008,1,1,Gary,Sharpe,4028,1,1,1,0,8,8,1,
1862,2008,1,12,Michael,O'Rourke,3587,1,1,1,0,8,8,1,
1862,2008,1,NA,Scatter,,32,0,0,0,1,8,8,1,
1862,2009,1,13,Eric,Everson,3377,1,1,1,0,9,9,1,
1862,2009,1,5,Susan,Jones,3267,1,1,1,0,9,9,1,
1862,2009,1,14,Peter,Kujawa,3192,0,0,0,0,9,9,1,
1862,2009,1,NA,Scatter,,9,0,0,0,1,9,9,1,
1862,2010,1,9,Kathleen,Nagle,3417,1,1,1,0,10,10,1,
1862,2010,1,14,Peter,Kujawa,3365,1,0,1,0,10,10,1,
1862,2010,1,10,Elizabeth,Hayes,3230,1,1,1,0,10,10,1,
1862,2010,1,2,Lori,Rhoades,2818,1,1,1,0,10,10,1,
1862,2010,1,NA,Scatter,,22,0,0,0,1,10,10,1,
1862,2011,1,15,Mack,Strand,6172,1,0,0,0,11,11,1,
1862,2011,1,16,Julie,Nett,5756,1,0,0,0,11,11,1,
1862,2011,1,17,Mark,Jurgella,5318,1,0,0,0,11,11,1,
1862,2011,1,NA,Scatter,,36,0,0,0,1,11,11,1,
1862,2012,2,19,Will,Jewson,1467,1,0,0,0,12,12,1,
1862,2012,2,13,Eric,Everson,2932,1,1,1,0,12,12,1,
1862,2012,2,20,Peggy,Lautenschlager,2609,1,0,0,0,12,12,1,
1862,2012,2,21,Larry,Marchionda,1455,0,0,0,0,12,12,1,
1862,2012,2,5,Susan,Jones,2040,1,1,1,0,12,12,1,
1862,2012,2,NA,Scatter,,16,0,0,0,1,12,12,1,
1862,2012,1,20,Peggy,Lautenschlager,4718,0,0,0,0,13,13,1,
1862,2012,1,19,Will,Jewson,3214,0,0,0,0,13,13,1,
1862,2012,1,5,Susan,Jones,4944,1,1,1,0,13,13,1,
1862,2012,1,13,Eric,Everson,5795,1,1,1,0,13,13,1,
1862,2012,1,NA,Scatter,,29,0,0,0,1,13,13,1,
