distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
2009,2004,1,4,Tanya,Gendreau,341,1,1,1,0,2c,4,0,
2009,2004,1,5,Phillip,Lamke,288,0,0,0,0,2c,4,0,
2009,2004,1,6,Lee,Carhart,526,1,1,1,0,2d,5,0,
2009,2004,1,7,Tim,Jessessky,525,1,1,1,0,2a,6,0,
2009,2004,1,NA,Scatter,,5,0,0,0,1,2,6,0,
2009,2005,1,8,Rick,Geske,1123,0,1,1,0,3,7,1,
2009,2005,1,9,Paul,Halderson,1404,1,1,1,0,3,7,1,
2009,2005,1,10,Gene,Hogden,2021,1,1,1,0,3e,8,0,
2009,2005,1,11,Harold,Olson,1887,1,1,1,0,3f,9,0,
2009,2005,1,NA,Scatter,,80,0,0,0,1,3,9,0,
2009,2006,1,5,Phillip,Lamke,1270,1,0,1,0,4,10,1,
2009,2006,1,12,Patricia,Malone,1112,0,0,0,0,4,10,1,
2009,2006,1,1,Rick,Nemitz,1924,1,1,1,0,4a,11,0,
2009,2006,1,2,Richard,Sacia,1251,1,1,1,0,4b,12,0,
2009,2006,1,13,Diane,Thatcher,1035,0,0,0,0,4b,12,0,
2009,2006,1,NA,Scatter,,34,0,0,0,1,4,12,0,
2009,2007,1,14,Donald,Mayer,420,1,0,0,0,5d,13,0,
2009,2007,1,6,Lee,Carhart,412,0,1,1,0,5d,13,0,
2009,2007,1,4,Tanya,Gendreau,756,1,1,1,0,5c,14,0,
2009,2007,1,7,Tim,Jessessky,760,1,1,1,0,5a,15,0,
2009,2007,1,NA,Scatter,,8,0,0,0,1,5,15,0,
2009,2008,1,10,Gene,Hogden,719,1,1,1,0,6e,16,0,
2009,2008,1,9,Paul,Halderson,651,1,1,1,0,6,17,1,
2009,2008,1,11,Harold,Olson,605,1,1,1,0,6f,18,0,
2009,2008,1,NA,Scatter,,160,0,0,0,1,6,18,0,
2009,2009,1,1,Rick,Nemitz,998,1,1,1,0,7a,19,0,
2009,2009,1,15,Charles,Zauner,372,0,0,0,0,7,20,1,
2009,2009,1,8,Rick,Geske,775,1,1,1,0,7,20,1,
2009,2009,1,2,Richard,Sacia,1028,1,1,1,0,7b,21,0,
2009,2010,1,16,Brett,Eiken,NA,1,0,0,0,8a,22,0,
2009,2010,1,14,Donald,Mayer,NA,1,1,1,0,8d,23,0,
2009,2010,1,4,Tanya,Gendreau,NA,1,1,1,0,8c,24,0,
2009,2011,1,11,Harold,Olson,1453,1,1,1,0,9f,25,0,
2009,2011,1,10,Gene,Hogden,1603,1,1,1,0,9e,25,0,
2009,2011,1,9,Paul,Halderson,1487,1,1,1,0,9,26,1,
2009,2011,1,17,Anthony,Nelson,212,0,0,0,0,9,26,1,
2009,2012,1,18,Paul,Kinzer,378,1,0,0,0,10b,27,0,
2009,2012,1,19,Kim,Low,176,0,0,0,0,10b,27,0,
2009,2012,1,1,Rick,Nemitz,1175,1,1,1,0,10a,28,0,
2009,2012,1,8,Rick,Geske,1207,1,1,1,0,10,29,1,
