distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
2058,2002,1,1,Jayne,Borst,2358,1,1,1,0,1,1,0,
2058,2002,1,2,George,Sloan,1885,1,0,0,0,2,2,1,
2058,2002,1,3,Cora,Dwyer,1024,0,1,1,0,2,2,1,
2058,2002,1,4,James,Lynch,2351,1,1,1,0,3,3,1,
2058,2002,1,NA,Scatter,,57,0,0,0,1,0,0,1,
2058,2003,1,5,Dave,Magill,1489,1,0,0,0,1,4,1,
2058,2003,1,6,Susan,Niggemeier,1400,1,1,1,0,1,4,1,
2058,2003,1,3,Cora,Dwyer,1130,0,0,1,0,2,5,1,
2058,2003,1,1,Jayne,Borst,1639,1,1,1,0,2,5,1,
2058,2003,1,NA,Scatter,,16,0,0,0,1,0,0,1,
2058,2004,1,7,Jim,Bucher,2011,0,0,0,0,1,6,1,
2058,2004,1,8,Ric,Ericksen,2662,1,0,0,0,1,6,1,
2058,2004,1,9,Michael,Erdmann,3222,1,0,0,0,2,7,1,
2058,2004,1,3,Cora,Dwyer,1588,0,0,1,0,2,7,1,
2058,2004,1,10,Bruce,Warnimont,3508,1,1,1,0,3,8,1,
2058,2004,1,11,Jane,Gabrielson,561,0,0,0,0,3,8,1,
2058,2004,1,NA,Scatter,,86,0,0,0,1,0,0,1,
2058,2005,2,3,Cora,Dwyer,375,1,0,1,0,1,7,1,
2058,2005,2,24,Ryan,Dulde,283,0,0,0,0,1,7,1,
2058,2005,2,12,Lester,Spies,356,1,0,0,0,1,7,1,
2058,2005,1,12,Lester,Spies,3185,1,0,0,0,1,7,1,
2058,2005,1,3,Cora,Dwyer,2552,0,0,1,0,1,7,1,
2058,2005,1,13,Michael,Schultz,4738,1,0,0,0,2,8,1,
2058,2005,1,NA,Scatter,,73,0,0,0,1,4,0,1,
2058,2006,1,5,Dave,Magill,1702,1,1,1,0,1,4,1,
2058,2006,1,NA,Scatter,,315,0,0,0,1,2,5,1,
2058,2007,1,10,Bruce,Warnimont,3710,1,1,1,0,6,8,1,
2058,2007,1,8,Ric,Ericksen,3768,1,1,1,0,6,6,1,
2058,2007,1,13,Michael,Erdmann,3785,1,1,1,0,6,7,1,
2058,2007,1,NA,Scatter,,63,0,0,0,1,6,0,1,
2058,2008,1,13,Michael,Schultz,4110,1,1,1,0,1,9,1,
2058,2008,1,14,Cari,Brust,2304,1,0,0,0,3,8,1,
2058,2008,1,15,Erin,Jex,2215,0,0,0,0,3,8,1,
2058,2008,1,12,Lester,Spies,4226,1,1,1,0,4,7,1,
2058,2008,1,NA,Scatter,,57,0,0,0,1,7,0,1,
2058,2009,1,15,Erin,Jex,1315,0,0,1,0,1,1,1,
2058,2009,1,20,Tom,Bowe,1818,1,0,0,0,1,1,1,
2058,2009,1,16,Kim,Fischer,1752,1,0,0,0,2,2,1,
2058,2009,1,17,Jayson,Stemo,1431,0,0,0,0,2,2,1,
2058,2009,1,NA,Scatter,,14,0,0,0,1,8,0,1,
2058,2010,1,9,Michael,Erdmann,2255,1,1,1,0,3,7,1,
2058,2010,1,15,Erin,Jex,2858,1,0,1,0,4,8,1,
2058,2010,1,18,Robert,Soderberg,4079,1,0,0,0,4,8,1,
2058,2010,1,14,Cari,Brust,1060,0,1,1,0,2,9,1,
2058,2010,1,19,Diana,Kine,1582,1,0,0,0,2,9,1,
2058,2010,1,NA,Scatter,,108,0,0,0,1,9,0,1,
2058,2010,1,10,Bruce,Warnimont,2223,1,1,1,0,3,8,1,
2058,2011,1,12,Lester,Spies,5823,1,1,1,0,1,7,1,
2058,2011,1,NA,Scatter,,56,0,0,0,1,1,0,1,
2058,2012,2,23,Lisa,Laskowski,542,1,0,0,0,1,1,1,
2058,2012,2,22,Sarah,Larson,1346,1,0,0,0,1,1,1,
2058,2012,2,25,Christina,Wolf-Lang,176,0,0,0,0,1,1,1,
2058,2012,2,NA,Scatter,,8,0,0,0,0,1,1,1,
2058,2012,1,20,Tom,Bowe,2360,0,1,1,0,1,2,1,
2058,2012,1,21,Tom,Barney,3525,1,0,0,0,1,2,1,
2058,2012,1,22,Sarah,Larson,4218,1,0,0,0,2,1,1,
2058,2012,1,23,Lisa,Laskowski,2139,0,0,0,0,2,1,1,
2058,2012,1,NA,Scatter,,19,0,0,0,1,1,0,1,
2058,2012,1,26,Michael,Loth,3728,1,0,0,0,3,3,1,
2058,2012,1,27,Gregory,Andersen,2181,0,0,0,0,3,3,1,
