distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
2233,2002,1,1,David,Ahlquist,593,1,1,1,0,1,1,1,
2233,2002,1,2,Cindy,Jensen,640,1,1,1,0,1,1,1,
2233,2002,1,3,Jerry,Dorff,196,0,0,0,0,1,1,1,
2233,2002,1,4,Patrick,Finn,17,0,0,0,1,1,1,1,
2233,2002,1,NA,Scatter,,12,0,0,0,1,1,1,1,
2233,2003,1,5,Eric,McKinley,905,1,1,1,0,2,2,1,
2233,2003,1,3,Jerry,Dorff,288,0,0,1,0,2,2,1,
2233,2003,1,6,Christine,Erickson,1027,1,1,1,0,2,2,1,
2233,2003,1,7,Joel,Prazak,14,0,0,0,1,2,2,1,
2233,2003,1,NA,Scatter,,13,0,0,0,1,2,2,1,
2233,2004,1,8,Terry,Nordrum,227,0,0,0,0,3,3,1,
2233,2004,1,9,Mitch,Ryan,329,0,0,0,0,3,3,1,
2233,2004,1,10,David,Dahlberg,502,1,0,0,0,3,3,1,
2233,2004,1,11,Bernadette,Cummings,173,0,0,0,0,3,3,1,
2233,2004,1,12,Jim,Sundquist,539,1,1,1,0,3,3,1,
2233,2004,1,13,Russell,Erickson,467,1,0,0,0,3,3,1,
2233,2004,1,NA,Scatter,,4,0,0,0,1,3,3,1,
2233,2005,1,14,Steven,McNally,614,0,0,0,0,4,4,1,
2233,2005,1,2,Cindy,Jensen,703,1,1,1,0,4,4,1,
2233,2005,1,15,Gregory,Palmquist,644,0,0,0,0,4,4,1,
2233,2005,1,1,David,Ahlquist,669,1,1,1,0,4,4,1,
2233,2005,1,NA,Scatter,,2,0,0,0,1,4,4,1,
2233,2006,1,6,Christine,Erickson,525,1,1,1,0,5,5,1,
2233,2006,1,16,Jason,Burkman,393,1,0,0,0,5,5,1,
2233,2006,1,17,Suzy,Johnson,384,0,0,0,0,5,5,1,
2233,2006,1,NA,Scatter,,11,0,0,0,1,5,5,1,
2233,2007,1,10,David,Dahlberg,547,1,1,1,0,6,6,1,
2233,2007,1,12,Jim,Sundquist,554,1,1,1,0,6,6,1,
2233,2007,1,13,Russell,Erickson,567,1,1,1,0,6,6,1,
2233,2007,1,NA,Scatter,,63,0,0,0,1,6,6,1,
2233,2008,1,2,Cindy,Jensen,565,1,1,1,0,7,7,1,
2233,2008,1,1,David,Ahlquist,527,1,1,1,0,7,7,1,
2233,2008,1,NA,Scatter,,30,0,0,0,1,7,7,1,
2233,2009,1,6,Christine,Erickson,633,1,1,1,0,8,8,1,
2233,2009,1,18,Patty,Bonneville,601,1,0,0,0,8,8,1,
2233,2009,1,16,Jason,Burkman,447,0,1,1,0,8,8,1,
2233,2009,1,19,Jason,Jensen Sr.,305,0,0,0,0,8,8,1,
2233,2010,1,12,Jim,Sundquist,426,1,1,1,0,9,9,1,
2233,2010,1,13,Russell,Erickson,429,1,1,1,0,9,9,1,
2233,2010,1,10,David,Dahlberg,382,1,1,1,0,9,9,1,
2233,2010,1,20,Niki,Denn-Olson,299,0,0,0,0,9,9,1,
2233,2010,1,NA,Scatter,,12,0,0,0,1,9,9,1,
2233,2011,1,1,David,Ahlquist,772,1,1,1,0,10,10,1,
2233,2011,1,2,Cindy,Jensen,792,1,1,1,0,10,10,1,
2233,2011,1,NA,Scatter,,41,0,0,0,1,10,10,1,
2233,2012,1,6,Christine,Erickson,652,1,1,1,0,11,11,1,
2233,2012,1,18,Patty,Bonneville,621,1,1,1,0,11,11,1,
2233,2012,1,NA,Scatter,,13,0,0,0,1,11,11,1,
