distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
2296,2002,1,1,Suzanne,Wolffersdorff,2493,1,0,0,0,1,1,1,
2296,2002,1,2,Thomas,Slota,2233,1,1,1,0,1,1,1,
2296,2002,1,3,William,McKillen,1167,0,0,0,1,1,1,1,
2296,2003,1,4,Jim ,Schutte,778,0,0,0,0,1,1,1,
2296,2003,1,2,Thomas,Slota,1081,1,1,1,0,1,1,1,
2296,2003,1,5,Judy,Fons,1543,1,1,1,1,1,1,1,
2296,2003,1,3,William,McKillen,490,0,0,1,0,1,1,1,
2296,2004,1,4,Jim ,Schutte,1851,0,0,1,0,1,1,1,
2296,2004,1,3,William,McKillen,1384,0,0,1,0,1,1,1,
2296,2004,1,6,Victoria,McCormick,2735,1,1,1,0,1,1,1,
2296,2004,1,7,Michael,Levas,2094,1,1,1,0,1,1,1,
2296,2005,1,4,Jim ,Schutte,2719,1,0,1,0,1,1,1,
2296,2006,1,8,Ann,Szcygiel,2454,1,0,0,0,1,1,1,
2296,2006,1,14,Leon,Chernos,1220,0,0,0,0,1,1,1,
2296,2006,1,2,Thomas,Slota,2236,1,1,1,0,1,1,1,
2296,2006,1,12,Al,Currie,1491,0,0,0,0,1,1,1,
2296,2006,1,13,John,Marshall,1667,0,0,0,0,1,1,1,
2296,2006,1,5,Judy,Fons,2501,1,1,1,0,1,1,1,
2296,2007,1,6,Victoria,McCormick,3012,1,1,1,0,1,1,1,
2296,2007,1,2,Thomas,Slota,2756,1,1,1,0,1,1,1,
2296,2007,1,3,William,McKillen,1718,0,0,1,0,1,1,1,
2296,2008,1,4,Jim ,Schutte,2841,1,1,1,0,1,1,1,
2296,2009,1,10,Joseph,Crapitto,1518,1,0,0,0,1,1,1,
2296,2009,1,8,Ann,Szcygiel,1606,1,1,1,0,1,1,1,
2296,2009,1,9,Stephanie,Mares,1382,0,0,0,0,1,1,1,
2296,2010,1,2,Thomas,Slota,1067,1,1,1,0,1,1,1,
2296,2010,1,6,Victoria,McCormick,1109,1,1,1,0,1,1,1,
2296,2011,1,4,Jim ,Schutte,2842,1,1,1,0,1,1,1,
2296,2011,1,11,Amy,Ali,1918,0,0,0,0,1,1,1,
2296,2012,1,10,Joseph,Crapitto,1952,1,1,1,0,1,1,1,
2296,2012,1,8,Ann,Szcygiel,1813,1,1,1,0,1,1,1,
