distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
2523,2004,1,NA,Scatter,,13,0,0,0,1,1,1,1,
2523,2005,1,1,Kurt,Ledke,317,1,1,1,0,2,2,1,
2523,2005,1,NA,Scatter,,6,0,0,0,1,2,2,1,
2523,2006,1,2,Danial,Rusch,49,1,1,1,1,3,3,1,
2523,2006,1,3,Donna,Roecker,67,1,1,1,1,3,3,1,
2523,2006,1,NA,Scatter,,2,0,0,0,1,3,3,1,
2523,2007,1,4,Theresa,Ehlers,140,1,1,1,0,4,4,1,
2523,2007,1,5,Christine,Schoeder,120,1,1,1,0,4,4,1,
2523,2007,1,NA,Scatter,,1,0,0,0,1,4,4,1,
2523,2008,1,6,Michele,Cartwright,91,1,0,0,1,5,5,1,
2523,2008,1,7,Aaron,Pfaff,83,1,0,0,1,5,5,1,
2523,2008,1,NA,Scatter,,2,0,0,0,1,5,5,1,
2523,2009,1,3,Donna,Roecker,207,1,1,1,0,6,6,1,
2523,2009,1,2,Danial,Rusch,173,1,1,1,0,6,6,1,
2523,2009,1,NA,Scatter,,4,0,0,0,1,6,6,1,
2523,2010,1,8,John,Jones,470,1,0,0,0,7,7,1,
2523,2010,1,9,Nancy,Smith,404,1,0,0,0,7,7,1,
2523,2012,1,2,Danial,Rusch,166,1,1,1,0,8,8,1,
2523,2012,1,3,Donna,Roecker,191,1,1,1,0,8,8,1,
2523,2012,1,NA,Scatter,,2,0,0,0,1,8,8,1,
