distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
2534,2002,1,1,Deborah,Busch,312,0,0,0,0,1,1,1,
2534,2002,1,2,Felix,Holewinski,347,1,0,0,0,1,1,1,
2534,2002,1,3,Sharon,Zahringer,199,0,0,0,0,1,1,1,
2534,2002,1,4,Therese,Keuler,416,1,0,0,0,1,1,1,
2534,2002,1,NA,Scatter,,1,0,0,0,1,1,1,1,
2534,2003,1,5,Thomas,Thiel,419,1,1,1,0,2,2,1,
2534,2003,1,6,Karen,Schaeffer,444,1,1,1,0,2,2,1,
2534,2003,1,7,Joseph,Bauer,447,1,1,1,0,2,2,1,
2534,2003,1,NA,Scatter,,4,0,0,0,1,2,2,1,
2534,2004,1,8,Tom,Konen,338,1,1,1,0,3,3,1,
2534,2004,1,9,Raymond,Mueller,373,1,1,1,0,3,3,1,
2534,2004,1,NA,Scatter,,6,0,0,0,1,3,3,1,
2534,2005,1,2,Felix,Holewinski,813,1,1,1,0,4,4,1,
2534,2005,1,4,Therese,Keuler,813,1,1,1,0,4,4,1,
2534,2005,1,NA,Scatter,,42,0,0,0,1,4,4,1,
2534,2006,1,6,Karen,Schaeffer,292,1,1,1,0,5,5,1,
2534,2006,1,7,Joseph,Bauer,287,1,1,1,0,5,5,1,
2534,2006,1,5,Thomas,Thiel,278,1,1,1,0,5,5,1,
2534,2006,1,NA,Scatter,,5,0,0,0,1,5,5,1,
2534,2007,1,9,Raymond,Mueller,934,1,1,1,0,6,6,1,
2534,2007,1,8,Tom,Konen,936,1,1,1,0,6,6,1,
2534,2007,1,NA,Scatter,,4,0,0,0,1,6,6,1,
2534,2008,1,4,Therese,Keuler,406,1,1,1,0,7,7,1,
2534,2008,1,2,Felix,Holewinski,361,1,1,1,0,7,7,1,
2534,2008,1,NA,Scatter,,23,0,0,0,1,7,7,1,
2534,2009,1,5,Thomas,Thiel,327,1,1,1,0,8,8,1,
2534,2009,1,7,Joseph,Bauer,340,1,1,1,0,8,8,1,
2534,2009,1,10,Jerry,Franczek,316,1,0,0,0,8,8,1,
2534,2009,1,NA,Scatter,,5,0,0,0,1,8,8,1,
2534,2010,1,9,Raymond,Mueller,254,1,1,1,0,9,9,1,
2534,2010,1,8,Tom,Konen,282,1,1,1,0,9,9,1,
2534,2010,1,NA,Scatter,,11,0,0,0,1,9,9,1,
2534,2011,1,2,Felix,Holewinski,510,1,1,1,0,10,10,1,
2534,2011,1,4,Therese,Keuler,565,1,1,1,0,10,10,1,
2534,2011,1,11,Rob,Cummings,14,0,0,0,1,10,10,1,
2534,2011,1,NA,Scatter,,22,0,0,0,1,10,10,1,
2534,2012,1,12,Mike,Moreau,490,1,0,0,0,11,11,1,
2534,2012,1,11,Rob,Cummings,565,1,0,1,0,11,11,1,
2534,2012,1,13,Keith,Riemer,16,0,0,0,1,11,11,1,
2534,2012,1,NA,Scatter,,22,0,0,0,1,11,11,1,
