distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
2541,2004,1,1,Randall,Seeley,284,0,0,0,0,1,1,1,
2541,2004,1,2,Bernal,Granger,407,1,1,1,0,1,1,1,
2541,2004,1,3,Jan,Levy,484,1,0,0,0,1,1,1,
2541,2004,1,4,Wendy,Salisbury,100,0,0,0,0,1,1,1,
2541,2004,1,NA,Scatter,,8,0,0,0,1,1,1,1,
2541,2006,1,5,Mary Jo,Onsager,443,1,0,0,0,2,2,1,
2541,2006,1,6,Robert,Stekel,402,1,0,0,0,2,2,1,
2541,2006,1,7,Wendy,Manser,336,1,1,1,0,2,2,1,
2541,2006,1,8,Richard,Sweeney,335,0,0,0,0,2,2,1,
2541,2006,1,NA,Scatter,,3,0,0,0,1,2,2,1,
2541,2007,1,3,Jan,Levy,358,1,1,1,0,3,3,1,
2541,2007,1,2,Bernal,Granger,254,1,1,1,0,3,3,1,
2541,2007,1,9,Dave,Alexander,111,0,0,0,0,3,3,1,
2541,2007,1,NA,Scatter,,16,0,0,0,1,3,3,1,
2541,2008,1,10,Mary,Stanek,342,1,0,0,0,4,4,1,
2541,2008,1,11,Dave,Alexander,166,0,0,1,0,4,4,1,
2541,2008,1,12,Rebecca,Goodman,283,1,0,0,0,4,4,1,
2541,2008,1,NA,Scatter,,5,0,0,0,1,4,4,1,
2541,2009,1,1,Randall,Seeley,263,0,0,1,0,5,5,1,
2541,2009,1,6,Robert,Stekel,332,1,1,1,0,5,5,1,
2541,2009,1,8,Richard,Sweeney,285,1,1,1,0,5,5,1,
2541,2009,1,13,Carl,Baller,343,1,0,0,0,5,5,1,
2541,2009,1,14,Snapper,Verbsky,167,0,0,0,0,5,5,1,
2541,2009,1,NA,Scatter,,9,0,0,0,1,5,5,1,
2541,2010,1,3,Jan,Levy,298,1,1,1,0,6,6,1,
2541,2010,1,15,Jenny,Hynek,58,1,0,0,1,6,6,1,
2541,2010,1,16,Sue,Klein,45,0,0,0,1,6,6,1,
2541,2010,1,NA,Scatter,,46,0,0,0,1,6,6,1,
2541,2011,1,17,Denise,Huntley,547,1,0,0,0,7,7,1,
2541,2011,1,11,Dave,Alexander,51,0,0,1,1,7,7,1,
2541,2011,1,18,Mark,Gustafson,140,1,0,0,0,7,7,1,
2541,2011,1,19,Jane,Jensen,51,0,0,0,1,7,7,1,
2541,2011,1,20,Dan,Sagert,93,0,0,0,1,7,7,1,
2541,2011,1,NA,Scatter,,32,0,0,0,1,7,7,1,
2541,2012,1,21,Jenny,Shrock,415,1,0,0,0,8,8,1,
2541,2012,1,8,Richard,Sweeney,295,0,1,1,0,8,8,1,
2541,2012,1,6,Robert,Stekel,337,1,1,1,0,8,8,1,
2541,2012,1,13,Carl,Baller,435,1,1,1,0,8,8,1,
2541,2012,1,NA,Scatter,,37,0,0,0,1,8,8,1,
