distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
2611,2002,1,1,Daniel,Tjornehoj,977,1,1,1,0,1,0,1,
2611,2002,1,2,Richard,Muenich,897,1,0,0,0,1,0,1,
2611,2003,1,3,Priscilla,Wyeth,1242,1,1,1,0,2,0,1,
2611,2003,1,4,Nancy,Donovan,1397,1,1,1,0,2,0,1,
2611,2003,1,5,Annette,Cook,1366,1,1,1,0,2,0,1,
2611,2003,1,NA,Scatter,,56,0,0,0,1,2,0,1,
2611,2004,2,6,Mark,Pribonic,1256,1,0,0,0,3,0,1,
2611,2004,2,7,Cindy,Crimmins,1184,1,0,0,0,3,0,1,
2611,2004,2,8,Mark,Kaisersatt,1112,1,1,1,0,3,0,1,
2611,2004,2,9,James,Baker,611,1,0,0,0,3,0,1,
2611,2004,2,10,Thomas,Hackworthy,571,0,0,0,0,3,0,1,
2611,2004,2,11,Christopher,Olson,408,0,0,0,0,3,0,1,
2611,2004,2,NA,Scatter,,18,0,0,0,1,3,0,1,
2611,2004,1,6,Mark,Pribonic,1544,0,0,0,0,3,0,1,
2611,2004,1,9,James,Baker,1120,0,0,0,0,3,0,1,
2611,2004,1,8,Mark,Kaisersatt,1574,1,1,1,0,3,0,1,
2611,2004,1,7,Cindy,Crimmins,1754,1,0,0,0,3,0,1,
2611,2004,1,NA,Scatter,,11,0,0,0,1,3,0,1,
2611,2005,1,2,Richard,Muenich,2609,1,1,1,0,4,0,1,
2611,2005,1,9,James,Baker,2328,0,0,1,0,4,0,1,
2611,2005,1,1,Daniel,Tjornehoj,2623,1,1,1,0,4,0,1,
2611,2005,1,12,Curt,Weese,2175,0,0,0,0,4,0,1,
2611,2006,1,13,Tom,Holland,2476,1,0,0,0,5,0,1,
2611,2006,1,14,Brian,Bell,1852,1,0,0,0,5,0,1,
2611,2006,1,15,Tracy,Habisch-Ahlin,1816,1,0,0,0,5,0,1,
2611,2006,1,3,Priscilla,Wyeth,1814,0,1,1,0,5,0,1,
2611,2006,1,9,James,Baker,1258,0,0,1,0,5,0,1,
2611,2006,1,16,David,Hadlich,526,0,0,0,0,5,0,1,
2611,2006,1,NA,Scatter,,110,0,0,0,1,5,0,1,
2611,2007,1,8,Mark,Kaisersatt,1442,1,1,1,0,6,0,1,
2611,2007,1,7,Cindy,Crimmins,1284,1,1,1,0,6,0,1,
2611,2007,1,17,Phillip,Kotoski,866,0,0,0,0,6,0,1,
2611,2007,1,NA,Scatter,,16,0,0,0,1,6,0,1,
2611,2008,1,1,Daniel,Tjornehoj,2388,1,1,1,0,7,0,1,
2611,2008,1,18,Barb,Van Loenen,2138,1,0,0,0,7,0,1,1 year term
2611,2008,1,19,Erika,Cherrier,1261,0,1,0,0,7,0,1,
2611,2008,1,20,Phillip,Kotoski,1498,0,0,0,0,7,0,1,
2611,2008,1,21,Lynn,Robson,2319,1,0,0,0,7,0,1,
2611,2008,1,NA,Scatter,,37,0,0,0,1,7,0,1,
2611,2009,1,18,Barb,Van Loenen,1479,1,1,1,0,8,0,1,
2611,2009,1,14,Brian,Bell,1488,1,1,1,0,8,0,1,
2611,2009,1,13,Tom,Holland,1698,1,1,1,0,8,0,1,
2611,2009,1,NA,Scatter,,88,0,0,0,1,8,0,1,
2611,2010,2,7,Cindy,Crimmins,226,1,1,1,0,9,0,1,
2611,2010,2,30,John,Engle,158,0,0,0,0,9,0,1,
2611,2010,2,22,Jim,Bartlein,211,1,0,0,0,9,0,1,
2611,2010,2,8,Mark,Kaisersatt,257,1,1,1,0,9,0,1,
2611,2010,2,29,Lester,German,169,0,0,0,0,9,0,1,
2611,2010,2,23,Pat,German,238,1,0,0,0,9,0,1,
2611,2010,1,8,Mark,Kaisersatt,960,1,1,1,0,9,0,1,
2611,2010,1,7,Cindy,Crimmins,926,0,1,1,0,9,0,1,
2611,2010,1,22,Jim,Bartlein,920,0,0,0,0,9,0,1,
2611,2010,1,23,Pat,German,929,1,0,0,0,9,0,1,
2611,2010,1,NA,Scatter,,33,0,0,0,1,9,0,1,
2611,2011,1,24,Jim,Kubiak,2305,0,0,0,0,10,0,1,
2611,2011,1,21,Lynn,Robson,2668,1,1,1,0,10,0,1,
2611,2011,1,1,Daniel,Tjornehoj,2711,1,1,1,0,10,0,1,
2611,2011,1,NA,Scatter,,177,0,0,0,1,10,0,1,
2611,2012,1,14,Brian,Bell,3269,1,1,1,0,11,0,1,
2611,2012,1,13,Tom,Holland,3472,1,1,1,0,11,0,1,
2611,2012,1,25,John,Burtis,2121,0,0,0,0,11,0,1,
2611,2012,1,26,Cathy,Leaf,2524,0,0,0,0,11,0,1,
2611,2012,1,27,Liz,Bruch,3202,0,0,0,0,11,0,1,
2611,2012,1,28,Sandy,Gehrke,3602,1,0,0,0,11,0,1,
2611,2012,1,NA,Scatter,,349,0,0,0,1,11,0,1,
