distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
2625,2006,1,1,Jody,Nass,125,0,1,1,0,1,1,0,
2625,2006,1,2,John,Bohonek,199,1,0,0,0,1,1,0,
2625,2006,1,3,David,Strysick,253,1,1,1,0,2,2,0,
2625,2006,1,NA,Scatter,,5,0,0,0,1,2,2,0,
2625,2007,1,4,Barb,May,369,1,0,0,0,3,3,1,
2625,2007,1,5,Tom,Schmidt,401,1,1,1,0,4,4,1,
2625,2007,1,6,Greg,Ninmann,33,0,0,0,1,4,4,1,
2625,2007,1,6,Greg,Ninmann,27,0,0,0,1,5,5,1,
2625,2007,1,7,Kelly,Miller,27,0,0,0,1,5,5,1,
2625,2007,1,8,Jay,Behnke,49,1,0,0,1,5,5,1,
2625,2007,1,NA,Scatter,,22,0,0,0,1,5,5,1,
2625,2008,1,4,Barb,May,419,1,0,1,0,6,6,0,
2625,2008,1,9,Julie,Schmidt,239,0,0,0,0,7,7,0,
2625,2008,1,10,Mike,Kadinger,394,1,1,1,0,7,7,0,
2625,2008,1,11,Laurie,Kuehl,308,1,1,1,0,7,7,0,
2625,2008,1,NA,Scatter,,4,0,0,0,1,7,7,0,
2625,2009,1,3,David,Strysick,624,1,1,1,0,8,8,1,
2625,2009,1,2,John,Bohonek,501,1,1,1,0,9,9,1,
2625,2009,1,12,Carl,Weber,448,1,0,0,0,10,10,1,
2625,2009,1,NA,Scatter,,8,0,0,0,1,10,10,1,
2625,2010,1,8,Jay,Behnke,289,1,1,1,0,11,11,1,
2625,2010,1,13,Lisa,Bosse,191,0,0,0,0,11,11,1,
2625,2010,1,14,Michael,Kadinger,377,1,0,0,0,12,12,0,
2625,2010,1,15,Cheryl,Kannass,144,0,0,0,0,12,12,0,
2625,2010,1,NA,Scatter,,6,0,0,0,1,12,12,0,
2625,2011,1,4,Barb,May,717,1,1,1,0,13,13,0,
2625,2011,1,13,Lisa,Bosse,432,1,0,1,0,14,14,0,
2625,2011,1,11,Laurie,Kuehl,647,1,0,1,0,14,14,0,
2625,2011,1,16,Kurt,Weber,271,0,0,0,0,14,14,0,
2625,2011,1,NA,Scatter,,62,0,0,0,1,14,14,0,
2625,2012,1,3,David,Strysick,557,1,1,1,0,15,15,0,
2625,2012,1,2,John,Bohonek,559,1,1,1,0,16,16,0,
2625,2012,1,NA,Scatter,,25,0,0,0,1,16,16,0,
