distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Area ID,raceid,districtwide,notes
2646,2002,1,1,David,Washburn,236,1,1,1,0,1,1,0,
2646,2002,1,2,Lily,Dall,420,1,0,0,0,1,1,0,
2646,2002,1,3,Bob,Bishop,439,1,1,1,0,2,2,0,
2646,2002,1,4,Anthony,Edge,140,0,0,0,0,1,1,0,
2646,2002,1,NA,Scatter,,6,0,0,0,1,1,1,0,
2646,2003,1,5,Dennis,Lundell,675,1,1,1,0,3,3,0,
2646,2003,1,6,Amy,Loy,44,0,0,0,1,3,3,0,
2646,2003,1,7,Sherry,Buswell,283,0,0,0,0,4,4,0,
2646,2003,1,8,Steve,Enloe,498,1,0,0,0,4,4,0,
2646,2003,1,NA,Scatter,,17,0,0,0,1,4,4,0,
2646,2004,2,9,Russell,Messling,249,1,0,0,0,5,5,0,
2646,2004,2,10,Keri,Pustina,275,1,1,1,0,5,5,0,
2646,2004,2,11,David,Washburn,181,0,1,1,0,5,5,0,
2646,2004,2,NA,Scatter,,5,0,0,0,1,5,5,0,
2646,2004,1,9,Russell,Messling,335,0,0,0,0,6,6,0,
2646,2004,1,10,Keri,Pustina,407,1,1,1,0,6,6,0,
2646,2004,1,NA,Scatter,,10,0,0,0,1,6,6,0,
2646,2004,1,12,Ron,Ritchie,456,1,1,1,0,7,7,0,
2646,2004,1,13,Mark,Esser,118,0,0,0,0,7,7,0,
2646,2004,1,14,Steve,Loschen,295,0,0,0,1,7,7,0,
2646,2004,1,16,Phil,Welsh,370,1,0,0,1,7,7,0,
2646,2005,1,2,Lily,Dall,569,1,1,1,0,8,8,0,
2646,2005,1,1,David,Washburn,305,0,1,1,0,8,8,0,
2646,2005,1,9,Russell,Messling,419,0,0,1,0,9,9,0,
2646,2005,1,17,Brian,Nodolf,453,1,0,0,0,9,9,0,
2646,2005,1,3,Bob,Bishop,517,1,1,1,0,10,10,0,
2646,2005,1,4,Anthony,Edge,351,0,0,1,0,10,10,0,
2646,2005,1,NA,Scatter,,6,0,0,0,1,10,10,0,
2646,2006,1,18,Jodi,Solomon,378,1,0,0,0,11,11,0,
2646,2006,1,8,Steve,Enloe,407,1,1,1,0,12,12,0,
2646,2006,1,NA,Scatter,,9,0,0,0,1,12,12,0,
2646,2007,1,16,Phil,Welsh,493,1,1,1,0,13,13,0,
2646,2007,1,19,Ronald,Richie,459,1,1,1,0,14,14,0,
2646,2007,1,17,Brian,Nodolf,483,1,1,1,0,15,15,0,
2646,2007,1,NA,Scatter,,5,0,0,0,1,15,15,0,
2646,2008,1,20,Shannon,Straka,939,1,0,0,0,16,16,0,
2646,2008,1,3,Bob,Bishop,919,1,1,1,0,16,16,0,
2646,2008,1,NA,Scatter,,2,0,0,0,1,16,16,0,
2646,2009,1,18,Jodi,Solomon,742,1,1,1,0,17,17,0,
2646,2009,1,8,Steve,Enloe,773,1,1,1,0,17,17,0,
2646,2010,1,17,Brian,Nodolf,617,1,1,1,0,18,18,0,
2646,2010,1,21,Kris,Meuer,374,1,0,0,0,19,19,0,
2646,2010,1,22,Jeff,Thomas,332,0,0,0,0,19,19,0,
2646,2010,1,23,Peggy,Barton,368,1,0,0,0,20,20,0,
2646,2010,1,16,Phil,Welsh,351,0,1,1,0,20,20,0,
2646,2010,1,NA,Scatter,,12,0,0,0,1,20,20,0,
2646,2011,1,24,Loras,Winders,877,1,0,0,0,21,21,0,
2646,2011,1,25,Steven,Christianson,650,1,0,0,0,22,22,0,
2646,2011,1,26,Paula,Rider,360,0,0,0,0,22,22,0,
2646,2011,1,NA,Scatter,,1,0,0,0,1,22,22,0,
2646,2012,1,27,Chad,Hahn,557,1,0,0,0,23,23,0,
2646,2012,1,28,Donald,Rider,72,1,0,0,0,24,24,0,
2646,2012,1,NA,Scatter,,27,0,0,0,1,24,24,0,
