distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Area ID,raceid,districtwide,notes
2702,2002,1,1,Duane,Koch,614,1,1,1,0,1,1,0,
2702,2002,1,2,Paul,Didion,651,1,1,1,0,1,1,0,
2702,2002,1,3,James,Salmon,694,1,1,1,0,2,2,1,
2702,2002,1,NA,Scatter,,6,0,0,0,1,2,2,1,
2702,2003,1,4,Jim,Schroeder,979,1,1,1,0,3,3,0,
2702,2003,1,5,Ruth,Whitmore,845,0,1,1,0,3,3,0,
2702,2003,1,6,Ellen,Saelens,1044,1,1,1,0,4,4,0,
2702,2003,1,NA,Scatter,,4,0,0,0,1,4,4,0,
2702,2004,1,7,David,Krause,1147,1,1,1,0,5,5,0,
2702,2004,1,8,Bill,Stafford,891,1,1,0,0,5,5,0,
2702,2004,1,9,Norman,Stoner,1116,1,1,1,0,6,6,0,
2702,2004,1,NA,Scatter,,19,0,0,0,1,6,6,0,
2702,2005,1,10,Linda,Neils,1065,1,0,0,0,7,7,0,
2702,2005,1,3,James,Salmon,1096,1,1,1,0,8,8,1,
2702,2005,1,1,Duane,Koch,30,0,1,1,1,7,7,0,
2702,2005,1,NA,Scatter,,57,0,0,0,1,7,7,0,
2702,2006,1,11,David,Golden,24,1,0,0,1,9,9,0,Suspicious count
2702,2006,1,4,Jim,Schroeder,11,0,1,1,1,9,9,0,
2702,2006,1,6,Ellen,Saelens,1534,1,1,1,0,10,10,0,
2702,2007,1,8,Bill,Stafford,457,0,1,1,0,11,11,0,
2702,2007,1,7,David,Krause,843,1,1,1,0,11,11,0,
2702,2007,1,12,Michael,O'Brien,451,0,0,0,0,11,11,0,
2702,2007,1,13,Gary,Thompson,702,1,0,0,0,11,11,0,
2702,2007,1,14,Pam,Schumacher,1122,1,0,0,0,12,12,0,
2702,2007,1,9,Norman,Stoner,1121,1,1,1,0,13,13,0,
2702,2007,1,NA,Scatter,,9,0,0,0,1,13,13,0,
2702,2008,1,15,Duane,Anderson,1302,1,0,0,0,14,14,0,
2702,2008,1,16,Nicole,Pupanek,1263,1,0,0,0,14,14,0,
2702,2008,1,17,Scott,Buth,1380,1,0,0,0,15,15,1,
2702,2008,1,8,Bill,Stafford,700,0,1,1,0,15,15,1,
2702,2008,1,18,Pam,Schumacher,1259,0,1,1,0,15,15,1,
2702,2009,1,13,Gary,Thompson,1371,1,1,1,0,16,16,0,
2702,2009,1,15,Duane,Anderson,782,0,1,1,0,16,16,0,
2702,2009,1,18,Roberta,Schoofs,1478,1,0,0,0,17,17,0,
2702,2010,1,9,Norman,Stoner,2347,1,1,1,0,18,18,0,
2702,2010,1,16,Nicole,Pupanek,1532,1,1,1,0,19,19,1,
2702,2010,1,19,David,Hollenberger,1893,1,0,0,0,19,19,1,
2702,2010,1,20,Timothy,Gac,913,0,0,0,0,19,19,1,
2702,2010,1,NA,Scatter,,63,0,0,0,1,19,19,1,
2702,2011,1,21,Rick,Dwyer,2318,1,0,0,0,20,20,0,
2702,2011,1,17,Scott,Buth,2363,1,1,1,0,21,21,1,
2702,2011,1,22,David,Volk,171,0,0,0,0,21,21,1,
2702,2012,1,13,Gary,Thompson,1536,1,0,1,0,22,22,0,
2702,2012,1,23,Terry,Deblare,23,1,0,0,1,23,23,0,
2702,2012,1,16,Nicole,Pupanek,1411,1,0,1,0,24,24,1,
