distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
2730,2002,2,1,Eric,Murray,57,1,0,0,1,1,1,1,
2730,2002,2,2,Herbert,Harwood,71,1,0,0,1,1,1,1,
2730,2002,2,3,Richard,Wrensch,123,1,0,0,0,1,1,1,
2730,2002,2,4,Cynthia,Hirsch,53,1,0,0,1,1,1,1,
2730,2002,2,5,Rian,Gamble,52,0,0,0,1,1,1,1,
2730,2002,1,3,Richard,Wrensch,339,1,0,0,0,1,1,1,
2730,2002,1,2,Herbert,Harwood,190,1,0,0,0,1,1,1,
2730,2002,1,4,Cynthia,Hirsch,162,0,0,0,0,1,1,1,
2730,2002,1,1,Eric,Murray,178,0,0,0,0,1,1,1,
2730,2002,1,NA,Scatter,,2,0,0,0,1,1,1,1,
2730,2003,1,6,Kellie,Loeb,472,1,1,1,0,2,2,1,
2730,2003,1,7,Geoff,Hitchler,410,1,1,0,0,2,2,1,
2730,2003,1,8,Chris,Bezoenik,473,1,1,1,0,2,2,1,
2730,2003,1,NA,Scatter,,53,0,0,0,1,2,2,1,
2730,2004,1,9,Peter,Gross,276,1,0,0,0,3,3,1,
2730,2004,1,10,Jammie,Trapp,330,1,0,0,0,3,3,1,
2730,2004,1,8,Chris,Bezoenik,218,0,1,1,0,3,3,1,
2730,2004,1,11,Jamie,Hombsch,278,1,0,0,0,3,3,1,
2730,2004,1,12,June,McCaffery,244,0,0,0,0,3,3,1,
2730,2004,1,NA,Scatter,,22,0,0,0,1,3,3,1,
2730,2005,1,2,Herbert,Harwood,831,1,1,1,0,4,4,1,
2730,2005,1,13,Tina,Roehl,765,1,0,0,0,4,4,1,
2730,2005,1,NA,Scatter,,32,0,0,0,1,4,4,1,
2730,2006,1,6,Kellie,Loeb,192,1,1,1,0,5,5,1,
2730,2006,1,8,Chris,Bezoenik,143,0,0,1,0,5,5,1,
2730,2006,1,14,June,McCaffery,196,1,0,0,0,5,5,1,
2730,2006,1,15,Patricia,Hying,188,1,0,0,0,5,5,1,
2730,2006,1,NA,Scatter,,12,0,0,0,1,5,5,1,
2730,2007,1,11,Jamie,Hombsch,545,1,1,1,0,6,6,1,
2730,2007,1,16,Don,Battenberg,67,1,0,0,1,6,6,1,
2730,2007,1,17,Duane,Draeger,17,0,0,0,1,6,6,1,
2730,2007,1,6,Kellie,Loeb,28,1,1,1,1,6,6,1,
2730,2007,1,NA,Scatter,,66,0,0,0,1,6,6,1,
2730,2008,1,2,Herbert,Harwood,254,0,1,1,0,7,7,1,
2730,2008,1,18,Rick,Kaltenberg,349,1,0,0,0,7,7,1,
2730,2008,1,19,Loenard,Toebe,260,0,0,0,0,7,7,1,
2730,2008,1,13,Tina,Roehl,339,1,1,1,0,7,7,1,
2730,2008,1,NA,Scatter,,16,0,0,0,1,7,7,1,
2730,2009,1,14,June,McCaffery,553,1,1,1,0,8,8,1,
2730,2009,1,17,Duane,Draeger,603,1,1,1,0,8,8,1,
2730,2009,1,6,Kellie,Loeb,606,1,1,1,0,8,8,1,
2730,2009,1,NA,Scatter,,23,0,0,0,1,8,8,1,
2730,2010,1,18,Carol,O'neil,755,1,0,0,0,9,9,1,
2730,2010,1,19,Andrew,Swanson,681,1,0,0,0,9,9,1,
2730,2010,1,11,Jamie,Hombsch,641,0,1,1,0,9,9,1,
2730,2010,1,NA,Scatter,,23,0,0,0,1,9,9,1,
2730,2011,1,13,Tina,Roehl,1053,1,1,1,0,10,10,1,
2730,2011,1,18,Rick,Kaltenberg,973,1,1,1,0,10,10,1,
2730,2011,1,NA,Scatter,,43,0,0,0,1,10,10,1,
2730,2012,1,17,Duane,Draeger,470,1,1,1,0,11,11,1,
2730,2012,1,6,Kellie,Loeb,449,1,1,1,0,11,11,1,
2730,2012,1,14,June,McCaffery,433,0,0,1,0,11,11,1,
2730,2012,1,NA,Scatter,,29,0,0,0,1,11,11,1,
