distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
1376,2002,1,1,Kimberly,Haines,1511,1,0,0,0,1,1,1,
1376,2002,1,2,Scott,Sorgenfrei,845,0,0,0,0,1,1,1,
1376,2002,1,3,Gary,Vose,1319,1,1,1,0,1,1,1,
1376,2002,1,NA,Scatter,,18,0,0,0,1,1,1,1,
1376,2003,1,4,Jay,Crouse,1783,1,0,0,0,2,2,1,
1376,2003,1,5,Patricia,Millichap,1703,1,1,1,0,2,2,1,
1376,2003,1,6,Gerald,Powell,1629,1,1,1,0,2,2,1,
1376,2003,1,7,David,Wentworth,1622,0,1,1,0,2,2,1,
1376,2003,1,8,Lisa,Sorgenfrei,947,0,0,0,0,2,2,1,
1376,2003,1,9,Scott,Sorgenfrei,927,0,0,1,0,2,2,1,
1376,2004,1,10,Doris,Murphy,1105,1,0,0,0,3,3,1,
1376,2004,1,11,James,Dralle,904,0,0,0,0,3,3,1,
1376,2004,1,12,Dennis,Krueger,1169,1,0,0,0,3,3,1,
1376,2004,1,13,Michael,Wagner,899,0,1,1,0,3,3,1,
1376,2004,1,NA,Scatter,,7,0,0,0,1,3,3,1,
1376,2005,1,14,Kristi,Davis,1739,1,0,0,0,4,4,1,
1376,2005,1,3,Gary,Vose,1451,1,1,1,0,4,4,1,
1376,2005,1,1,Kimberly,Haines,1444,0,1,1,0,4,4,1,
1376,2005,1,15,Jerrold,Hanson,1236,0,0,0,0,4,4,1,
1376,2005,1,NA,Scatter,,6,0,0,0,1,4,4,1,
1376,2006,1,16,Terri,Phillips,1727,1,0,0,0,5,5,1,
1376,2006,1,17,Andrew,Greene,1653,1,0,0,0,5,5,1,
1376,2006,1,18,Colin,Butler,1489,1,0,0,0,5,5,1,
1376,2006,1,4,Jay,Crouse,1311,0,1,1,0,5,5,1,
1376,2007,1,12,Dennis,Krueger,2616,1,1,1,0,6,6,1,
1376,2007,1,19,David,Zeier,1840,1,0,0,0,6,6,1,
1376,2007,1,10,Doris,Murphy,1773,0,1,1,0,6,6,1,
1376,2008,1,3,Gary,Vose,2547,1,1,1,0,7,7,1,
1376,2008,1,14,Kristi,Davis,2345,1,1,1,0,7,7,1,
1376,2008,1,NA,Scatter,,33,0,0,0,1,7,7,1,
1376,2009,1,16,Terri,Phillips,2177,1,1,1,0,8,8,1,
1376,2009,1,17,Andrew,Greene,2034,1,1,1,0,8,8,1,
1376,2009,1,18,Colin,Butler,1967,1,1,1,0,8,8,1,
1376,2009,1,NA,Scatter,,41,0,0,0,1,8,8,1,
1376,2010,1,12,Dennis,Krueger,1649,1,1,1,0,9,9,1,
1376,2010,1,19,David,Zeier,1349,1,1,1,0,9,9,1,
1376,2010,1,NA,Scatter,,30,0,0,0,1,9,9,1,
1376,2011,1,4,Jay,Crouse,3915,1,0,1,0,10,10,1,
1376,2011,1,3,Gary,Vose,4173,1,1,1,0,10,10,1,
1376,2011,1,20,Amy,Plum,3165,0,0,0,0,10,10,1,
1376,2011,1,NA,Scatter,,38,0,0,0,1,10,10,1,
1376,2012,1,21,Kathy,Kapsy,2438,1,0,0,0,11,11,1,
1376,2012,1,22,Amy,Lange,2232,0,0,0,0,11,11,1,
1376,2012,1,23,Chad,Taylor,1457,0,0,0,0,11,11,1,
1376,2012,1,18,Colin,Butler,2491,1,1,1,0,11,11,1,
1376,2012,1,24,Bernie,Ziebart,2253,0,0,0,0,11,11,1,
1376,2012,1,16,Terri,Phillips,2839,1,1,1,0,11,11,1,
1376,2012,1,NA,Scatter,,42,0,0,0,1,11,11,1,
