distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
2849,2002,1,1,Mike,McArdle,3161,1,1,1,0,1,1,1,
2849,2002,1,2,Connie,Troyanek,3090,1,1,1,0,1,1,1,
2849,2002,1,3,Judith,Blank,3032,1,1,1,0,1,1,1,
2849,2003,1,4,Ruben,Garza,2247,0,0,0,0,2,2,1,
2849,2003,1,5,Debra,Suchla,4493,1,0,0,0,2,2,1,
2849,2003,1,6,Tammy,Hayden,3283,1,0,0,0,2,2,1,
2849,2003,1,7,Christine,Clair,3194,1,1,1,0,2,2,1,
2849,2003,1,8,Rita,Thompson,3055,0,0,0,0,2,2,1,
2849,2004,1,9,Steven,Gores,2528,0,0,0,0,3,3,1,
2849,2004,1,10,Rolan,Covert,1437,0,0,0,0,3,3,1,
2849,2004,1,11,Mary,Larson,3365,1,0,0,0,3,3,1,
2849,2004,1,12,Steven,Kopp,2800,1,0,0,0,3,3,1,
2849,2004,1,13,Tom,Thompson,3817,1,0,0,0,3,3,1,
2849,2004,1,14,Al,Lambeth,2627,0,1,1,0,3,3,1,
2849,2004,1,15,Ken,French,3110,1,0,0,0,3,3,1,
2849,2004,1,16,David,Bates,1380,0,0,0,0,3,3,1,
2849,2005,2,17,William,Oldenburg,2975,1,0,0,0,4,4,1,
2849,2005,2,18,Dave,Drewes,2691,1,0,0,0,4,4,1,
2849,2005,2,12,Steven,Kopp,3210,1,1,1,0,4,4,1,
2849,2005,2,2,Connie,Troyanek,4158,1,1,1,0,4,4,1,
2849,2005,2,10,Rolan,Covert,1578,0,0,1,0,4,4,1,
2849,2005,2,19,Darren,Danhoff,1588,1,0,0,0,4,4,1,
2849,2005,2,20,William,Klein,1553,0,0,0,0,4,4,1,
2849,2005,2,9,Steven,Gores,3158,1,0,1,0,4,4,1,
2849,2005,1,12,Steven,Kopp,6511,1,0,1,0,5,5,1,
2849,2005,1,9,Steven,Gores,4791,0,0,1,0,5,5,1,
2849,2005,1,17,William,Oldenburg,5473,1,0,0,0,5,5,1,
2849,2005,1,18,Dave,Drewes,4249,0,0,0,0,5,5,1,
2849,2005,1,2,Connie,Troyanek,7180,1,1,1,0,5,5,1,
2849,2005,1,19,Darren,Danhoff,3285,0,0,0,0,5,5,1,
2849,2006,1,6,Tammy,Hayden,3787,0,1,1,0,6,6,1,
2849,2006,1,5,Debra,Suchla,4854,1,1,1,0,6,6,1,
2849,2006,1,7,Christine,Clair,3854,1,1,1,0,6,6,1,
2849,2006,1,21,Bob,Sanders,2961,0,0,0,0,6,6,1,
2849,2006,1,22,Neil,Duresky,4513,1,0,0,0,6,6,1,
2849,2007,1,13,Tom,Thompson,6330,1,1,1,0,7,7,1,
2849,2007,1,15,Ken,French,5847,1,1,1,0,7,7,1,
2849,2007,1,23,Mark,Dyar,4175,0,0,0,0,7,7,1,
2849,2007,1,11,Mary,Larson,6593,1,1,1,0,7,7,1,
2849,2008,1,12,Steven,Kopp,5602,1,1,1,0,8,8,1,
2849,2008,1,2,Connie,Troyanek,6156,1,1,1,0,8,8,1,
2849,2008,1,17,William,Oldenburg,5528,0,1,1,0,8,8,1,
2849,2008,1,24,Dave,Rudolph,5885,1,0,0,0,8,8,1,
2849,2009,1,5,Debra,Suchla,9316,1,1,1,0,9,9,1,
2849,2009,1,7,Christine,Clair,8899,1,1,1,0,9,9,1,
2849,2009,1,22,Neil,Duresky,9424,1,1,1,0,9,9,1,
2849,2010,1,15,Ken,French,2111,1,1,1,0,10,10,1,
2849,2010,1,11,Mary,Larson,2200,1,1,1,0,10,10,1,
2849,2010,1,13,Tom,Thompson,2163,1,1,1,0,10,10,1,
2849,2011,1,2,Connie,Troyanek,10161,1,1,1,0,11,11,1,
2849,2011,1,17,William,Oldenburg,9380,1,0,1,0,11,11,1,
2849,2011,1,24,Dave,Rudolph,9388,1,1,1,0,11,11,1,
2849,2012,1,25,Daniel,Moen,5127,0,0,0,0,12,12,1,
2849,2012,1,26,Rob,McMahon,5396,1,0,0,0,12,12,1,
2849,2012,1,27,Jeff,Myer,5543,1,0,0,0,12,12,1,
2849,2012,1,5,Debra,Suchla,6928,1,1,1,0,12,12,1,
