distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
3862,2002,1,1,Michael,Fitzsimons,419,1,1,1,0,1,1,1,
3862,2002,1,NA,Scatter,,10,0,0,0,1,1,1,1,
3862,2003,1,2,Sally,Pla,608,1,0,0,0,2,2,1,
3862,2003,1,3,Andrea,Shrednick,462,1,0,0,0,2,2,1,
3862,2003,1,4,Bob,Bermant,323,0,1,1,0,2,2,1,
3862,2003,1,NA,Scatter,,2,0,0,0,1,2,2,1,
3862,2004,1,5,Robert,Krug,211,1,0,0,0,3,3,1,
3862,2004,1,6,Robert,Transon,163,0,0,0,0,3,3,1,
3862,2004,1,7,Julia,Lorence,244,1,0,0,0,3,3,1,
3862,2004,1,NA,Scatter,,1,0,0,0,1,3,3,1,
3862,2005,1,8,Mary,LaChapelle,371,1,0,0,0,4,4,1,
3862,2005,1,NA,Scatter,,5,0,0,0,1,4,4,1,
3862,2006,1,9,Ronald,Bethia,153,1,0,0,0,5,5,1,1 year term
3862,2006,1,2,Sally,Pla,165,1,1,1,0,5,5,1,
3862,2006,1,3,Andrea,Shrednick,163,1,1,1,0,5,5,1,
3862,2006,1,NA,Scatter,,8,0,0,0,1,5,5,1,
3862,2007,1,10,Gerry,Bradley,419,1,0,0,0,6,6,1,1 year term
3862,2007,1,9,Ronald,Bethia,428,1,1,1,0,6,6,1,
3862,2007,1,11,Kathleen,Nordeen,478,1,0,0,0,6,6,1,
3862,2007,1,NA,Scatter,,1,0,0,0,1,6,6,1,
3862,2008,1,10,Gerry,Bradley,540,1,1,1,0,7,7,1,
3862,2008,1,NA,Scatter,,3,0,0,0,1,7,7,1,
3862,2009,1,12,David,Brabson,309,1,0,0,0,8,8,1,
3862,2009,1,3,Andrea,Shrednick,279,1,1,1,0,8,8,1,
3862,2010,1,11,Kathleen,Nordeen,330,1,1,1,0,9,9,1,
3862,2010,1,13,Carol,Reise Schouten,252,1,0,0,0,9,9,1,
3862,2010,1,9,Ronald,Bethia,233,0,1,1,0,9,9,1,
3862,2011,1,10,Gerry,Bradley,1053,1,1,1,0,10,10,1,
3862,2011,1,NA,Scatter,,12,0,0,0,1,10,10,1,
3862,2012,1,3,Andrea,Shrednick,478,1,1,1,0,11,11,1,
3862,2012,1,12,David,Brabson,541,1,1,1,0,11,11,1,
3862,2012,1,NA,Scatter,,2,0,0,0,1,11,11,1,
