distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
2940,2002,1,1,Kevin,Kramer,387,1,1,1,0,1,1,1,
2940,2002,1,2,Jean,Hoffman-Anuta,295,1,0,0,0,1,1,1,
2940,2003,1,3,Carla,Connor,330,1,1,1,0,2,2,1,
2940,2003,1,4,Vicki,Koch,362,1,0,0,0,2,2,1,
2940,2003,1,5,Paula,Brewer,41,0,0,0,1,2,2,1,
2940,2003,1,NA,Scatter,,6,0,0,0,1,2,2,1,
2940,2004,1,6,Mary,Verich,102,1,1,1,0,3,3,1,
2940,2004,1,NA,Scatter,,1,0,0,0,1,3,3,1,
2940,2005,1,7,Jack,Matuszewski,164,1,0,1,0,4,4,1,
2940,2005,1,1,Kevin,Kramer,179,1,1,1,0,4,4,1,
2940,2006,1,8,Richard,Krawze,308,1,0,0,0,5,5,1,
2940,2006,1,9,James,Aschinger,259,1,0,0,0,5,5,1,
2940,2007,1,6,Mary,Verich,240,1,1,1,0,6,6,1,
2940,2007,1,10,,Albrecht,235,0,0,0,0,6,6,1,
2940,2008,1,4,Vicki,Koch,317,1,0,1,0,7,7,1,
2940,2008,1,11,Timothy,Chrisman,334,1,0,0,0,7,7,1,
2940,2009,1,9,James,Aschinger,219,1,1,1,0,8,8,1,
2940,2009,1,8,Richard,Krawze,230,1,1,1,0,8,8,1,
2940,2010,1,12,Dan,Deschinny,212,0,0,0,0,9,9,1,
2940,2010,1,13,Kay,Connors,246,1,0,0,0,9,9,1,
2940,2011,1,14,,Reeves,323,1,0,0,0,10,10,1,
2940,2011,1,12,Dan,Deschinny,312,0,0,1,0,10,10,1,
2940,2012,1,9,James,Aschinger,224,1,1,1,0,11,11,1,
2940,2012,1,15,Paula,Johnson,216,1,0,0,0,11,11,1,
2940,2012,1,8,Richard,Krawze,231,1,1,1,0,11,11,1,
