distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
3220,2000,1,1,David,Opicka,1484,1,0,0,0,1,1,1,
3220,2000,1,2,Lucille,Stahl,1520,1,0,0,0,1,1,1,
3220,2001,1,3,Sharon,VanLieshout,708,1,0,0,0,2,2,1,
3220,2001,1,4,Dale,Jandrain,1331,1,0,0,0,2,2,1,
3220,2001,1,5,Dan,Wautlet,1193,1,0,0,0,2,2,1,
3220,2002,1,3,Sharon,VanLieshout,815,1,1,1,0,3,3,1,
3220,2002,1,11,Karen,Frisque,945,1,1,1,0,3,3,1,
3220,2002,1,12,Timothy,Kinnard,1014,1,1,1,0,3,3,1,
3220,2003,1,2,Lucille,Stahl,1565,1,1,1,0,4,4,1,
3220,2003,1,1,David,Opicka,1463,1,1,1,0,4,4,1,
3220,2004,2,4,Dale,Jandrain,999,1,1,1,0,5,5,1,
3220,2004,2,6,David,Charles,369,0,0,0,0,5,5,1,
3220,2004,2,7,Rick,Hegnet,173,0,0,0,0,5,5,1,
3220,2004,2,8,Randy,Hallet,543,1,0,0,0,5,5,1,
3220,2004,2,9,Carmine,Nell,636,1,0,0,0,5,5,1,
3220,2004,2,10,Jody,Falk,564,1,0,0,0,5,5,1,
3220,2004,2,NA,Scatter,,2,0,0,0,1,5,5,1,
3220,2004,1,10,Jody,Falk,533,0,0,0,0,6,6,1,
3220,2004,1,8,Randy,Hallet,744,1,0,0,0,6,6,1,
3220,2004,1,4,Dale,Jandrain,915,1,1,1,0,6,6,1,
3220,2004,1,9,Carmine,Nell,739,0,0,0,0,6,6,1,
3220,2005,2,13,Tim,Fameree,413,1,0,0,0,7,7,1,
3220,2005,2,10,Jody,Falk,347,1,1,1,0,7,7,1,
3220,2005,2,3,Sharon,VanLieshout,267,1,1,1,0,7,7,1,
3220,2005,2,14,Chris,Worachek,384,1,0,0,0,7,7,1,
3220,2005,2,12,Timothy,Kinnard,598,1,1,1,0,7,7,1,
3220,2005,2,9,Carmine,Nell,384,1,1,1,0,7,7,1,
3220,2005,2,7,Rick,Hegnet,182,0,0,1,0,7,7,1,
3220,2005,2,NA,Scatter,,1,0,0,0,1,7,7,1,
3220,2005,1,14,Chris,Worachek,944,1,0,0,0,8,8,1,
3220,2005,1,3,Sharon,VanLieshout,645,0,1,1,0,8,8,1,
3220,2005,1,13,Tim,Fameree,873,1,0,0,0,8,8,1,
3220,2005,1,9,Carmine,Nell,814,0,0,1,0,8,8,1,
3220,2005,1,10,Jody,Falk,700,0,0,1,0,8,8,1,
3220,2005,1,12,Timothy,Kinnard,1320,1,1,1,0,8,8,1,
3220,2005,1,NA,Scatter,,5,0,0,0,1,8,8,1,
3220,2006,1,2,Lucille,Stahl,712,1,1,1,0,9,9,1,
3220,2006,1,1,David,Opicka,752,1,1,1,0,9,9,1,
3220,2006,1,3,Sharon,VanLieshout,573,0,0,1,0,9,9,1,
3220,2006,1,NA,Scatter,,8,0,0,0,1,9,9,1,
3220,2007,1,8,Randy,Hallet,961,1,1,1,0,10,10,1,
3220,2007,1,15,David,Delain,1224,1,0,0,0,10,10,1,
3220,2007,1,4,Dale,Jandrain,903,0,1,1,0,10,10,1,
3220,2008,1,12,Timothy,Kinnard,2194,1,1,1,0,11,11,1,
3220,2008,1,13,Tim,Fameree,1967,1,1,1,0,11,11,1,
3220,2008,1,14,Chris,Worachek,2123,1,1,1,0,11,11,1,
3220,2009,1,16,Cary,Dequaine,865,1,1,1,0,12,12,1,
3220,2009,1,17,Tom,Suess,682,1,0,0,0,12,12,1,
3220,2009,1,19,Daniel,Porath,654,0,0,0,0,12,12,1,
3220,2009,1,20,Daniel,Wotruba,415,0,0,0,0,12,12,1,
3220,2010,1,8,Randy,Hallet,467,0,1,1,0,13,13,1,
3220,2010,1,21,Mike,Kinnard,431,0,0,0,0,13,13,1,
3220,2010,1,15,David,Delain,497,1,1,1,0,13,13,1,
3220,2010,1,10,Jody,Falk,587,1,0,1,0,13,13,1,
3220,2011,1,13,Tim,Fameree,2167,1,1,1,0,14,14,1,
3220,2011,1,14,Chris,Worachek,2309,1,1,1,0,14,14,1,
3220,2011,1,12,Timothy,Kinnard,2358,1,1,1,0,14,14,1,
3220,2011,1,22,Paul,Mleziva,738,0,0,0,0,14,14,1,
3220,2011,1,23,James,Johnson,126,0,0,0,0,14,14,1,
3220,2011,1,NA,Scatter,,62,0,0,0,1,14,14,1,
3220,2012,1,16,Cary,Dequaine,1137,1,1,1,0,15,15,1,
3220,2012,1,24,Joe,Shefchik,1015,0,0,0,0,15,15,1,
3220,2012,1,17,Tom,Suess,1233,1,1,1,0,15,15,1,
