distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
1897,2002,1,1,Ellen,Henak,495,1,1,1,0,1,1,1,
1897,2002,1,2,Cheryl,Ward,685,1,0,0,0,1,1,1,
1897,2002,1,3,John,Lawrence,473,0,1,1,0,1,1,1,
1897,2003,1,4,Dona,Mortara,653,1,1,1,0,2,2,1,
1897,2003,1,3,John,Lawrence,569,1,0,1,0,2,2,1,
1897,2004,1,5,Joseph,Kasle,0,1,0,0,0,3,3,1,no votes reported
1897,2005,1,2,Cheryl,Ward,288,0,1,1,0,4,4,1,
1897,2005,1,6,Mark,Goldstein,484,1,0,0,0,4,4,1,
1897,2005,1,7,Robert,Ricigliano,438,1,0,0,0,4,4,1,
1897,2006,1,8,Lynn,Marcus,228,0,0,0,0,5,5,1,
1897,2006,1,4,Dona,Mortara,347,1,1,1,0,5,5,1,
1897,2006,1,9,Jane,Guffy,329,1,0,0,0,5,5,1,
1897,2006,1,NA,Scatter,,3,0,0,0,1,5,5,1,
1897,2007,1,5,Joseph,Kasle,655,1,1,1,0,6,6,1,
1897,2007,1,NA,Scatter,,3,0,0,0,1,6,6,1,
1897,2008,1,6,Mark,Goldstein,831,1,1,1,0,7,7,1,
1897,2008,1,7,Robert,Ricigliano,728,1,1,1,0,7,7,1,
1897,2008,1,NA,Scatter,,1,0,0,0,1,7,7,1,
1897,2009,1,9,Jane,Guffy,746,1,1,1,0,8,8,1,
1897,2009,1,4,Dona,Mortara,838,1,1,1,0,8,8,1,
1897,2009,1,NA,Scatter,,1,0,0,0,1,8,8,1,
1897,2010,1,10,Jim,LeTart,479,1,0,0,0,9,9,1,
1897,2010,1,NA,Scatter,,2,0,0,0,1,9,9,1,
1897,2011,1,11,TJ,Hauske,1306,1,0,0,0,10,10,1,
1897,2011,1,7,Robert,Ricigliano,60,0,1,1,1,10,10,1,
1897,2011,1,NA,Scatter,,9,0,0,0,1,10,10,1,
1897,2012,1,12,Sowmya,Desai,519,1,0,0,0,11,11,1,
1897,2012,1,13,Pam,Scheferman,642,1,0,0,0,11,11,1,
1897,2012,1,NA,Scatter,,14,0,0,0,1,11,11,1,
