distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
3304,2005,1,1,Lloyd,Krautkramer,504,1,0,0,0,1,1,1,
3304,2005,1,2,Chris,Langenhahn,504,1,1,1,0,1,1,1,
3304,2005,1,3,James,Schumacher,458,0,0,0,0,1,1,1,
3304,2005,1,4,Donald,Southworth,233,0,0,1,0,1,1,1,
3304,2006,1,5,Brian,Gumtz,349,1,1,1,0,2,2,1,
3304,2006,1,6,Sharon,Seubert,284,1,1,1,0,2,2,1,
3304,2006,1,4,Donald,Southworth,274,0,0,1,0,2,2,1,
3304,2007,1,7,Gary,Raether,588,1,1,1,0,3,3,1,
3304,2008,1,8,Lia,Klumpyan,525,1,0,0,0,4,4,1,
3304,2008,1,1,Lloyd,Krautkramer,498,1,1,1,0,4,4,1,
3304,2008,1,2,Chris,Langenhahn,340,0,1,1,0,4,4,1,
3304,2009,1,6,Sharon,Seubert,670,1,1,1,0,5,5,1,
3304,2009,1,5,Brian,Gumtz,705,1,1,1,0,5,5,1,
3304,2010,1,7,Gary,Raether,279,1,1,1,0,6,6,1,
3304,2011,1,8,Lia,Klumpyan,NA,1,1,1,0,7,7,1,no votes
3304,2011,1,1,Lloyd,Krautkramer,NA,1,1,1,0,7,7,1,no votes
3304,2012,1,5,Brian,Gumtz,NA,1,1,1,0,8,8,1,no votes
3304,2012,1,6,Sharon,Seubert,NA,1,1,1,0,8,8,1,no votes
3304,2013,1,7,Gary,Raether,522,1,1,1,0,9,9,1,
