distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
3325,2002,1,1,Eugene,Kernan,694,1,0,0,0,1,1,1,
3325,2002,1,2,Mark,Broder,468,1,0,0,0,1,1,1,
3325,2002,1,3,Melanie,Grahn,425,1,1,1,0,1,1,1,
3325,2002,1,4,James,Hein,765,1,0,0,0,1,1,1,
3325,2002,1,5,,Scott,347,0,0,0,0,1,1,1,
3325,2002,1,6,,Abendroth,391,0,1,1,0,1,1,1,
3325,2003,1,7,William,Kuehn,568,1,0,0,0,2,2,1,
3325,2003,1,8,,Loechelt,454,0,1,1,0,2,2,1,
3325,2003,1,9,Roger,Sell,738,1,1,1,0,2,2,1,
3325,2003,1,10,,Konkel,263,0,0,0,0,2,2,1,
3325,2003,1,11,Darrell,Fenske,753,1,1,1,0,2,2,1,
3325,2004,1,12,Billy,Biesenthal,577,1,0,0,0,3,3,1,
3325,2004,1,13,Molly,Stegeman,486,1,1,1,0,3,3,1,
3325,2004,1,14,Dennis,Grahn,375,1,1,1,0,3,3,1,
3325,2004,1,6,,Abendroth,266,0,0,1,0,3,3,1,
3325,2004,1,15,Joan,Frederick,520,1,0,0,0,3,3,1,
3325,2005,1,16,Ken,Werth,605,1,0,0,0,4,4,1,
3325,2005,1,17,,Krombos,350,0,0,0,0,4,4,1,
3325,2005,1,2,Mark,Broder,824,1,1,1,0,4,4,1,
3325,2005,1,3,Melanie,Grahn,826,1,1,1,0,4,4,1,
3325,2005,1,4,James,Hein,863,1,1,1,0,4,4,1,
3325,2006,1,7,William,Kuehn,1077,1,1,1,0,5,5,1,
3325,2006,1,9,Roger,Sell,1099,1,1,1,0,5,5,1,
3325,2006,1,11,Darrell,Fenske,784,1,1,1,0,5,5,1,
3325,2006,1,18,,Glass,500,0,0,0,0,5,5,1,
3325,2007,1,19,James,Bogutski,840,1,0,0,0,6,6,1,
3325,2007,1,20,David,Eiler,554,1,0,0,0,6,6,1,
3325,2007,1,13,Molly,Stegeman,407,0,1,1,0,6,6,1,
3325,2007,1,14,Dennis,Grahn,828,1,1,1,0,6,6,1,
3325,2007,1,15,Joan,Frederick,790,1,1,1,0,6,6,1,
3325,2008,1,17,Terry,Krombos,671,1,0,1,0,7,7,1,
3325,2008,1,21,Jon,Clark,621,1,0,0,0,7,7,1,
3325,2008,1,22,,Schreiber,187,0,0,0,0,7,7,1,
3325,2008,1,23,Steve,Nighbor,680,1,0,0,0,7,7,1,
3325,2009,1,7,William,Kuehn,648,1,1,1,0,8,8,1,
3325,2009,1,9,Roger,Sell,647,1,1,1,0,8,8,1,
3325,2009,1,11,Darrell,Fenske,661,1,1,1,0,8,8,1,
3325,2010,1,19,James,Bogutski,1538,1,1,1,0,9,9,1,
3325,2010,1,20,David,Eiler,1558,1,1,1,0,9,9,1,
3325,2010,1,14,Dennis,Grahn,1617,1,1,1,0,9,9,1,
3325,2010,1,15,Joan,Frederick,1511,1,1,1,0,9,9,1,
3325,2011,2,17,Terry,Krombos,375,1,1,1,0,10,10,1,
3325,2011,2,28,,Lainberger,245,0,0,0,0,10,10,1,
3325,2011,2,24,,Rohrbeck,344,1,0,0,0,10,10,1,
3325,2011,1,17,Terry,Krombos,894,0,1,1,0,11,11,1,
3325,2011,1,24,Rhonda,Rohrbeck,971,1,0,0,0,11,11,1,
3325,2011,1,25,,Brown,780,0,0,0,0,11,11,1,
3325,2011,1,26,Jon,Laper,1092,1,0,0,0,11,11,1,
3325,2011,1,21,Jon,Clark,1709,1,1,1,0,11,11,1,
3325,2011,1,27,,Waterbury,763,0,0,0,0,11,11,1,
3325,2011,1,23,Steve,Nighbor,1067,1,1,1,0,11,11,1,
3325,2012,1,7,William,Kuehn,865,1,1,1,0,12,12,1,
3325,2012,1,9,Roger,Sell,860,1,1,1,0,12,12,1,
3325,2012,1,29,Brad,Krueger,124,1,0,0,0,12,12,1,
