,agency,full_name,start,end,
1,7,Andy Baldus,2010,2012,
2,7,Darla Viegut,2012,2012,
3,7,Donald Medenwaldt,2003,2012,
4,7,Eric Reis,2002,2002,
5,7,Joan Peissig,2002,2007,
6,7,LaVerne Harrison,2006,2009,
7,7,Melanie Gorke,2002,2003,
8,7,Rachel Schreiber,2008,2010,
9,7,Scott Nelson,2002,2012,
10,7,Thomas Archambo,2004,2012,
12,7,Timothy Kramas,2004,2012,1
13,7,Toni Simonson,2004,2005,
14,7,William Schultz,2002,2003,
15,14,Brenda Rhinehart,2007,2011,
16,14,Carole Janssen,2002,2012,
18,14,Gary Olson,2002,2010,
20,14,"James Bays, II",2006,2011,1
21,14,Janet Boddy,2002,2008,
22,14,Julie Roseberry,2007,2008,
23,14,Julieann Roseberry,2012,2012,
24,14,Linda Wormet,2004,2006,
25,14,Mary Gruber,2002,2003,
26,14,Patricia Brogan,2002,2005,
27,14,Peter Hickethier,2002,2012,
28,14,Randy Billington,2011,2012,
29,14,Richard Pease,2005,2012,
30,14,Ronald Boettcher,2009,2012,
31,14,Sherry Baumgart,2002,2012,
32,63,Brian Dahl,2008,2009,
33,63,Dave Pluss,2004,2009,
34,63,Dena Bump,2002,2007,
35,63,Edward Maksym,2010,2012,1
37,63,Fairy Elmer,2009,2012,
38,63,Forrest Ross,2007,2008,
39,63,Fred Johnson,2010,2012,
40,63,Gary Armitage,2003,2005,
41,63,Hillary Bauman,2008,2010,
42,63,Holly Atkinson,2002,2002,
43,63,James Sterr,2002,2003,
44,63,Jason Lindgren,2011,2011,
45,63,John Bauman,2002,2007,
46,63,Kay Petersen,2002,2002,
47,63,Larry Hakes,2003,2003,
48,63,Mike Marean,2010,2010,
49,63,Rebecca Mather,2006,2008,
50,63,Trent Blumer,2004,2005,
51,63,Wayne Mueller,2009,2012,
53,70,Ann Schmitz,2006,2012,1
54,70,Barbara Rodgers,2002,2012,
55,70,Dale Massey,2002,2002,
56,70,Daniel Polecheck,2008,2012,
57,70,David Wessel,2002,2012,
58,70,Dean Tenor,2007,2012,
59,70,Jill Prokash,2002,2003,
60,70,Lyle Schmiling,2005,2005,
61,70,Patricia Qualman,2004,2007,
62,70,Patrick Robinson,2005,2005,
63,70,Priscilla Swoboda,2003,2003,
64,70,Ralph Elsholz,2004,2006,
65,70,Richard Glueckert,2002,2006,
66,84,Andrea Goeldner,2012,2012,
67,84,Barry Ritscher,2003,2005,
68,84,Charles Schultz,2002,2002,
69,84,Douglas Kane,2006,2011,
70,84,Gregory Green,2006,2012,
71,84,Mark Fetting,2003,2005,
72,84,Michael Abts,2002,2012,
73,84,Sonya Hansen,2002,2002,
74,91,Donald Forsting,2002,2012,
75,91,James Scholze,2002,2004,
76,91,James Wright,2008,2012,
78,91,Jeffrey Sheffer,2002,2010,1
79,91,Jerry Jacobson,2003,2008,
80,91,Kimberly Olson,2009,2012,
81,91,Kristi Hanson,2005,2007,
82,91,Raymond Ransom,2002,2008,
83,91,Richard Larson,2009,2009,
84,91,Sam Boynton,2002,2009,
85,91,Tammy Simmons,2011,2012,
86,91,Tony Lien,2010,2012,
87,105,Carol Ellie,2006,2006,
88,105,Catherine Guth,2006,2012,
90,105,Charles Jerry Dernbach,2002,2012,1
91,105,Dan Folan,2002,2003,
92,105,Debbie Bradley,2007,2012,
93,105,Gary Barden,2002,2004,
94,105,Gary Smith,2006,2006,
95,105,Jeannete Wilson,2008,2012,
96,105,Jennifer Johnson,2002,2005,
98,105,Kevin Cummings,2005,2005,
99,105,Michael Olson,2007,2007,
100,105,Roy Danforth,2004,2012,
101,105,Sharon Ditmore,2002,2005,
102,112,Charles Walter,2002,2002,
103,112,Cheryl Meyer,2002,2002,
104,112,Edward Bohn,2002,2012,
105,112,Helen Drawbert,2003,2012,
106,112,Kristen Dexter,2003,2003,
107,112,Michael Hilger,2012,2012,
108,112,Robert Hanks,2004,2011,
109,112,Robin Elvig,2009,2009,
110,112,Sheila Lehnen,2004,2006,
111,119,Dan Draxler,2002,2004,
112,119,Darren Van Blaricom,2007,2012,
113,119,David Duxbury,2002,2006,
114,119,Jane Johnson,2005,2012,
115,119,John Northway,2002,2008,
116,119,Lynn Blomstrand,2010,2012,
117,119,Sidney Bjorkman,2009,2009,
118,126,Diana Bohman,2008,2012,
119,126,Gale Gordon,2002,2003,
120,126,Mark Kryshak,2002,2007,
121,126,Michael Turner,2006,2012,
122,126,Nick Trzebiatowski,2004,2005,
123,126,Ronald Borski,2004,2009,
124,126,Sandra Keener,2008,2012,
125,126,Timothy Osborn,2002,2003,
126,140,Andy Merry,2011,2012,
127,140,Beth Bockes,2004,2012,
128,140,Bob Barrington,2002,2002,
129,140,Gary Hegranes,2002,2012,
130,140,Gary Kieper,2002,2012,
131,140,Jeffrey Wagner,2002,2004,
132,140,John Zupon,2008,2010,
133,140,Joseph Kretz,2008,2012,
134,140,Joseph Schroeder,2003,2004,
135,140,Larry Brunzlick,2004,2009,
136,140,Laura Waldvogel,2005,2007,
137,140,Linda Szitta,2002,2004,
138,140,Mark Resch,2009,2011,
139,140,Michael Berglund,2002,2002,
140,140,Michael Boldig,2010,2011,
141,140,Michele Marshall,2006,2007,
142,140,Miles Stanke,2012,2012,
143,140,Richard Parilek,2005,2005,
144,140,Rodney Ostrowski,2003,2003,
145,140,Roseann Hoffman,2005,2012,
146,140,Terry Brand,2003,2003,
147,140,Terry Depies,2002,2002,
148,147,Anne Strauch,2002,2006,
149,147,Diane Barkmeier,2002,2008,
150,147,Jeffry Knezel,2003,2004,
151,147,John Gosling,2012,2012,
152,147,John Mielke,2005,2012,
153,147,Julie Baker,2007,2012,
154,147,Kay Eggert,2004,2012,
155,147,Kenneth Sager,2002,2003,
156,147,Richard Pike,2002,2002,
157,147,Sharon Fenlon,2002,2012,
158,147,Spencer Rotzel,2009,2011,
159,154,Clarence Pronschinske,2002,2009,
160,154,Cletus Foegen,2002,2005,
161,154,Henry Schultz,2006,2011,
162,154,Jerald Sorenson,2003,2012,
163,154,Loren Wolfe,2002,2012,
164,154,Michael Edmunds,2004,2012,1
166,154,Randy Nilsestuen,2010,2012,
167,154,Rick Reuter,2002,2003,
168,154,Scott Schank,2012,2012,
169,154,Shirley Rebhahn,2002,2003,
170,161,Caroline Rossing,2010,2012,
171,161,John Soper,2002,2002,
172,161,Lance Flannery,2003,2003,
173,161,Lee Montgomery,2003,2008,
174,161,Loren Bruehlman,2004,2012,
175,161,Mary Ann Steep,2002,2002,
176,161,Penny Brummel,2008,2009,
