distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
3367,2002,1,1,Ellie,Sokoly,548,1,1,1,0,1,1,0,
3367,2002,1,2,Harold,Hauffe,534,1,1,1,0,1,1,0,
3367,2002,1,3,Donald,Roll,611,1,1,1,0,1,2,0,
3367,2003,1,4,John,Westphal,668,1,1,1,0,2,3,0,
3367,2003,1,5,James,Congdon,630,1,1,1,0,2,4,0,
3367,2004,1,6,Sheryl,Feucht,556,1,1,1,0,3,5,0,
3367,2004,1,7,Norbert,Dornfeldt,513,1,1,1,0,3,5,0,
3367,2005,1,1,Ellie,Sokoly,440,1,1,1,0,4,6,0,
3367,2005,1,2,Harold,Hauffe,413,1,1,1,0,4,6,0,
3367,2005,1,3,Donald,Roll,498,1,1,1,0,4,7,0,
3367,2006,1,4,John,Westphal,648,1,1,1,0,5,8,0,
3367,2006,1,5,James,Congdon,625,1,1,1,0,5,8,0,
3367,2008,1,1,Ellie,Sokoly,938,1,1,1,0,6,9,0,
3367,2008,1,8,Barb,Lubahn Hagedorn,658,1,0,0,0,6,9,0,
3367,2008,1,9,Terri,Wilkens,565,0,0,0,0,6,9,0,
3367,2008,1,NA,Scatter,,29,0,0,0,1,6,9,0,
3367,2009,1,5,James,Congdon,679,1,1,1,0,7,10,0,
3367,2009,1,4,John,Westphal,723,1,1,1,0,7,10,0,
3367,2009,1,NA,Scatter,,5,0,0,0,1,7,10,0,
3367,2010,1,7,Norbert,Dornfeldt,719,1,1,1,0,8,11,0,
3367,2010,1,10,David,Koch,711,1,0,0,0,8,11,0,
3367,2010,1,NA,Scatter,,14,0,0,0,1,8,11,0,
3367,2011,1,9,Terri,Wilkens,1136,1,1,1,0,9,12,0,
3367,2011,1,8,Barb,Lubahn Hagedorn,1099,1,1,1,0,9,12,0,
3367,2011,1,11,Jayne,Murrary,74,0,0,0,1,9,12,0,
3367,2011,1,12,Dick,Fink,1550,1,0,0,0,9,13,0,
3367,2011,1,NA,Scatter,,37,0,0,0,1,9,13,0,
3367,2012,1,5,James,Congdon,1103,1,1,1,0,10,14,0,
3367,2012,1,4,John,Westphal,1187,1,1,1,0,10,14,0,
3367,2012,1,13,Lourdeen,Robson,38,0,0,0,1,10,14,0,
3367,2012,1,NA,Scatter,,29,0,0,0,1,10,14,0,
