distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Area ID,raceid,districtwide,notes
3434,2002,1,1,David,Miller,289,1,0,0,0,1,1,0,
3434,2002,1,2,Patricia,Roberts,185,0,1,1,0,1,1,0,
3434,2002,1,3,Kenneth,Johnson,228,1,0,0,0,2,2,0,
3434,2002,1,4,Wesley,Martin Jr,227,1,1,1,0,2,2,0,
3434,2002,1,5,Mary,Wayka,253,1,1,1,0,3,3,1,
3434,2002,1,6,Alan,Kaquatosh,193,0,0,0,0,3,3,1,
3434,2002,1,NA,Scatter,,34,0,0,0,1,3,3,1,
3434,2003,1,7,William,Waubanascum,162,1,0,0,0,4,4,0,
3434,2003,1,8,Dana,Madosh,18,0,0,0,1,4,4,0,
3434,2003,1,3,Kenneth,Johnson,185,1,1,1,0,5,5,0,
3434,2003,1,4,Wesley,Martin Jr,195,1,0,1,0,5,5,0,
3434,2003,1,NA,Scatter,,237,0,0,0,1,5,5,0,
3434,2005,3,9,Kim,Oshkeshequoam,82,0,0,0,1,6,6,0,
3434,2005,3,10,Kim,Komanekin,99,0,0,0,1,6,6,0,
3434,2005,3,1,David,Miller,159,1,1,1,0,6,6,0,
3434,2005,3,11,Richard,Awonohopay,137,1,0,0,0,6,6,0,2 year term
3434,2006,1,12,Nanette,Corn,62,1,0,0,1,7,7,0,
3434,2006,1,13,Mary Ann,Dobbs,20,1,0,0,1,8,8,0,
3434,2006,1,NA,Scatter,,24,0,0,0,1,9,9,0,
3434,2007,2,25,Mary,Webster,23,0,0,0,1,3,3,0,
3434,2007,2,5,Mary,Wayka,31,1,0,1,1,3,3,0,
3434,2007,2,10,Kim,Komanekin,40,1,0,1,1,3,3,0,
3434,2007,2,26,Sherry,Murphy,10,0,0,0,1,3,3,1,
3434,2007,1,15,Shannon,Chapman,247,1,0,0,0,10,10,1,
3434,2007,1,16,Myrna,Warrington,195,0,0,0,0,10,10,1,
3434,2007,1,7,William,Waubanascum,263,1,0,1,0,11,11,0,
3434,2007,1,10,Kim,Komanekin,182,0,0,1,0,12,12,0,
3434,2007,1,5,Mary,Wayka,207,1,0,1,0,12,12,0,
3434,2008,1,1,David,Miller,121,1,1,1,0,13,13,0,
3434,2008,1,11,Richard,Awonohopay,96,1,1,1,0,14,14,1,
3434,2009,1,12,Nanette,Corn,190,1,1,1,0,15,15,0,
3434,2009,1,17,Karen,Washinowatok,20,1,0,0,1,16,16,0,
3434,2009,1,18,Dana,Warrington,155,1,0,0,0,17,17,1,
3434,2010,1,19,James,Lowey,112,1,0,0,0,18,18,1,
3434,2010,1,20,Marcus,Grignon,63,0,0,0,1,18,18,1,
3434,2010,1,21,Wade,Fernandez,119,1,0,0,0,18,18,1,
3434,2010,1,22,Barbara,Dixon,82,0,0,0,1,18,18,1,
3434,2010,1,7,William,Waubanascum,136,1,1,1,0,19,19,0,
3434,2010,1,5,Mary,Wayka,101,1,1,1,0,19,19,0,
3434,2010,1,23,Annmarie,Johnson,76,0,0,0,1,19,19,0,
3434,2010,2,27,Hal,Lingis,10,0,0,0,1,18,18,1,
3434,2010,2,21,Wade,Fernandez,54,1,0,0,1,18,18,1,
3434,2010,2,22,Barbara,Dixon,35,1,0,0,1,18,18,1,
3434,2010,2,19,James,Lowey,46,1,0,0,1,18,18,1,
3434,2010,2,20,Marcus,Grignon,37,1,0,0,1,18,18,1,
3434,2011,1,24,Elaine,Peters,200,1,0,0,0,20,20,0,
3434,2011,1,19,James,Lowey,190,0,1,1,0,20,20,0,
3434,2011,1,1,David,Miller,291,1,1,1,0,21,21,1,
3434,2011,1,NA,Scatter,,26,0,0,0,1,21,21,1,
3434,2012,1,17,Karen,Washinowatok,175,1,1,1,0,22,22,0,
3434,2012,1,12,Nanette,Corn,155,1,1,1,0,23,23,0,
3434,2012,1,23,Annmarie,Johnson,174,1,0,1,0,24,24,1,
3434,2012,1,NA,Scatter,,16,0,0,0,1,24,24,1,
