distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
3479,2002,1,1,Susanne,Ricci Rattner,1167,1,1,1,0,1,1,1,
3479,2002,1,2,Suzette,Urbashich,1175,1,1,1,0,1,1,1,
3479,2002,1,NA,Scatter,,23,0,0,0,1,1,1,1,
3479,2003,2,3,Peter,Stone,738,1,1,1,0,2,2,1,
3479,2003,2,4,Kathy,Lamb,530,1,0,0,0,2,2,1,
3479,2003,2,5,Jeffrey,Hansher,461,1,0,0,0,2,2,1,
3479,2003,2,6,Neil,Trilling,694,1,1,1,0,2,2,1,
3479,2003,2,7,Patty,Ayer,383,0,0,0,0,2,2,1,
3479,2003,2,8,Elizabeth,O'Conner,754,1,1,1,0,2,2,1,
3479,2003,2,9,Darrell,Radson,428,1,0,0,0,2,2,1,
3479,2003,2,NA,Scatter,,10,0,0,0,1,2,2,1,
3479,2003,1,3,Peter,Stone,1832,1,1,1,0,3,3,1,
3479,2003,1,4,Kathy,Lamb,1452,0,0,0,0,3,3,1,
3479,2003,1,5,Jeffrey,Hansher,1101,0,0,0,0,3,3,1,
3479,2003,1,6,Neil,Trilling,1712,1,1,1,0,3,3,1,
3479,2003,1,8,Elizabeth,O'Conner,1928,1,1,1,0,3,3,1,
3479,2003,1,9,Darrell,Radson,761,0,0,0,0,3,3,1,
3479,2003,1,NA,Scatter,,16,0,0,0,1,3,3,1,
3479,2004,1,10,Cathy,Findling,1847,1,0,0,0,4,4,1,
3479,2004,1,11,Greg,Jurenec,1381,0,0,0,0,4,4,1,
3479,2004,1,12,Robert,Perry,1833,1,1,1,0,4,4,1,
3479,2004,1,NA,Scatter,,12,0,0,0,1,4,4,1,
3479,2005,1,1,Susanne,Ricci Rattner,1410,1,1,1,0,5,5,1,
3479,2005,1,2,Suzette,Urbashich,1663,1,1,1,0,5,5,1,
3479,2005,1,5,Jeffrey,Hansher,1195,0,0,1,0,5,5,1,
3479,2006,1,8,Elizabeth,O'Conner,1936,1,1,1,0,6,6,1,
3479,2006,1,3,Peter,Stone,1895,1,1,1,0,6,6,1,
3479,2006,1,13,Ann,Brownfield,2061,1,0,0,0,6,6,1,
3479,2006,1,14,Cynthia,Raatz,1329,0,0,0,0,6,6,1,
3479,2006,1,15,David,Stein,1354,0,0,0,0,6,6,1,
3479,2006,1,16,Thomas,Wachs,1401,0,0,0,0,6,6,1,
3479,2006,1,NA,Scatter,,28,0,0,0,1,6,6,1,
3479,2007,1,12,Robert,Perry,2867,1,1,1,0,7,7,1,
3479,2007,1,17,Mary,Cyrier,2676,1,0,0,0,7,7,1,
3479,2007,1,NA,Scatter,,48,0,0,0,1,7,7,1,
3479,2008,1,2,Suzette,Urbashich,2539,1,1,1,0,8,8,1,
3479,2008,1,18,James,Liska,2661,1,0,0,0,8,8,1,
3479,2008,1,NA,Scatter,,111,0,0,0,1,8,8,1,
3479,2009,1,19,Michele,Ziegler,2643,1,0,0,0,9,9,1,
3479,2009,1,13,Ann,Brownfield,2579,1,1,1,0,9,9,1,
3479,2009,1,20,Cindy,Miske,2406,1,0,0,0,9,9,1,
3479,2009,1,NA,Scatter,,48,0,0,0,1,9,9,1,
3479,2010,1,17,Mary,Cyrier,864,1,1,1,0,10,10,1,
3479,2010,1,12,Robert,Perry,940,1,1,1,0,10,10,1,
3479,2010,1,21,Lisa,Steinman,521,0,0,0,0,10,10,1,
3479,2010,1,NA,Scatter,,17,0,0,0,1,10,10,1,
3479,2011,1,2,Suzette,Urbashich,4612,1,1,1,0,11,11,1,
3479,2011,1,18,James,Liska,3998,1,1,1,0,11,11,1,
3479,2011,1,22,Sid,Terry,3452,0,0,0,0,11,11,1,
3479,2011,1,NA,Scatter,,79,0,0,0,1,11,11,1,
3479,2012,2,23,Gary,Laev,1700,1,0,0,0,12,12,1,
3479,2012,2,24,Stephanie,Clark,1687,1,0,0,0,12,12,1,
3479,2012,2,25,Cheryle,Rebholz,1655,1,0,0,0,12,12,1,
3479,2012,2,26,Ed,Allen,1515,1,0,0,0,12,12,1,
3479,2012,2,19,Michele,Ziegler,1488,1,1,1,0,12,12,1,
3479,2012,2,20,Cindy,Miske,1282,1,1,1,0,12,12,1,
3479,2012,1,23,Gary,Laev,3876,1,0,0,0,13,13,1,
3479,2012,1,24,Stephanie,Clark,3762,1,0,0,0,13,13,1,
3479,2012,1,25,Cheryle,Rebholz,3552,1,0,0,0,13,13,1,
3479,2012,1,26,Ed,Allen,3281,0,0,0,0,13,13,1,
3479,2012,1,19,Michele,Ziegler,3419,0,1,1,0,13,13,1,
3479,2012,1,20,Cindy,Miske,3384,0,1,1,0,13,13,1,
3479,2012,1,NA,Scatter,,42,0,0,0,1,13,13,1,
3479,2013,1,27,Kathryn,Houpt,4866,1,0,0,0,14,14,1,
3479,2013,1,28,Alex,Leykin,3817,0,0,0,0,14,14,1,
3479,2013,1,17,Mary,Cyrier,4589,1,1,1,0,14,14,1,
3479,2013,1,NA,Scatter,,59,0,0,0,1,14,14,1,
