distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
3668,2004,1,1,Randy,Isaccson,327,1,1,1,0,1,1,1,
3668,2004,1,2,Randy,Moy,64,1,0,0,1,1,1,1,
3668,2004,1,3,Laura,Wolf,18,0,0,0,1,1,1,1,
3668,2004,1,NA,Scatter,,23,0,0,0,1,1,1,1,
3668,2007,1,1,Randy,Isaccson,502,1,1,1,0,2,2,1,
3668,2007,1,5,Rhonna,Casey,124,1,0,0,0,2,2,1,
3668,2007,1,NA,Scatter,,5,0,0,0,1,2,2,1,
3668,2008,1,6,Jeff,Segerstrom,229,1,0,0,0,3,3,1,
3668,2008,1,7,Lou Anne,Roby,103,0,0,0,0,3,3,1,
3668,2008,1,8,Ron,Keys,223,1,0,0,0,3,3,1,
3668,2008,1,9,David,Dregney,204,0,0,0,0,3,3,1,
3668,2008,1,10,Laurie,Johnson,138,0,0,0,0,3,3,1,
3668,2008,1,11,Kim,Bursaw,120,0,0,0,0,3,3,1,
3668,2009,1,12,Rick,Geraghty,455,1,1,1,0,4,4,1,
3668,2009,1,13,Steve,Williamson,496,1,1,1,0,4,4,1,
3668,2009,1,9,David,Dregney,416,1,0,1,0,4,4,1,
3668,2009,1,14,James,Dawson,341,0,0,0,0,4,4,1,
3668,2010,1,5,Rhonna,Casey,452,1,1,1,0,5,5,1,
3668,2010,1,14,James,Dawson,175,0,0,1,0,5,5,1,
3668,2010,1,15,Jeremy,Wagner,71,0,0,0,1,5,5,1,
3668,2010,1,3,Laura,Wolf,196,1,0,1,0,5,5,1,
3668,2010,1,NA,Scatter,,3,0,0,0,1,5,5,1,
3668,2011,1,8,Ron,Keys,1088,1,1,1,0,6,6,1,
3668,2011,1,15,Jeremy,Wagner,979,1,0,1,0,6,6,1,
3668,2012,1,9,David,Dregney,759,1,1,1,0,7,7,1,
3668,2012,1,13,Steve,Williamson,738,1,1,1,0,7,7,1,
3668,2012,1,12,Rick,Geraghty,698,1,1,1,0,7,7,1,
