distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
3675,2002,1,1,Evan ,Harrison,1368,0,0,0,0,1,1,1,
3675,2002,1,2,Kathy,Bultman,1953,1,1,1,0,1,1,1,
3675,2002,1,3,Mary,Possin,1855,1,1,1,0,1,1,1,
3675,2003,1,4,John,Weinberger,1406,0,1,1,0,2,2,1,
3675,2003,1,5,John,Kitslaar,1537,1,1,1,0,2,2,1,
3675,2003,1,6,Laura,Toso,1348,0,0,0,0,2,2,1,
3675,2003,1,7,David,Levin,1054,0,0,0,0,2,2,1,
3675,2003,1,8,Mike,DuPlayee,1418,1,0,0,0,2,2,1,
3675,2003,1,9,Phil,McDade,1422,1,0,0,0,2,2,1,
3675,2003,2,7,David,Levin,455,1,0,1,0,3,3,1,
3675,2003,2,1,Evan ,Harrison,247,0,0,1,0,3,3,1,
3675,2003,2,5,John,Kitslaar,820,1,1,1,0,3,3,1,
3675,2003,2,4,John,Weinberger,654,1,0,1,0,3,3,1,
3675,2003,2,9,Phil,McDade,843,1,1,1,0,3,3,1,
3675,2003,2,8,Mike,DuPlayee,595,1,1,1,0,3,3,1,
3675,2003,2,6,Laura,Toso,740,1,0,1,0,3,3,1,
3675,2004,1,10,Nancy,Allen,1158,1,1,1,0,4,4,1,
3675,2004,1,11,Pat,Mackesey,829,0,0,0,0,4,4,1,
3675,2004,1,4,John,Weinberger,1550,1,1,1,0,4,4,1,
3675,2004,1,12,Chris,Toal,732,0,0,0,0,4,4,1,
3675,2005,1,12,Chris,Toal,1213,0,0,1,0,5,5,1,
3675,2005,1,13,Dan,Long,928,0,0,0,0,5,5,1,
3675,2005,1,2,Kathy,Bultman,1778,1,1,1,0,5,5,1,
3675,2005,1,3,Mary,Possin,1972,1,1,1,0,5,5,1,
3675,2006,1,9,Phil,McDade,3041,1,1,1,0,6,6,1,
3675,2006,1,8,Mike,DuPlayee,3121,1,1,1,0,6,6,1,
3675,2006,1,5,John,Kitslaar,2853,1,1,1,0,6,6,1,
3675,2006,1,14,Larry,Miller,2760,0,0,0,0,6,6,1,
3675,2007,1,15,Susan,Manning,1926,1,0,0,0,7,7,1,
3675,2007,1,16,Sharon ,Henes,870,0,0,0,0,7,7,1,
3675,2007,1,4,John,Weinberger,1540,1,1,1,0,7,7,1,
3675,2007,1,10,Nancy,Allen,1332,0,1,1,0,7,7,1,
3675,2007,1,17,Peter,Sobol,1615,1,0,0,0,7,7,1,
3675,2007,1,18,Randy,Parvin,1108,0,0,0,0,7,7,1,
3675,2008,1,19,Susan,Fox,2296,1,0,0,0,8,8,1,
3675,2008,1,20,Jill,List,1579,1,0,0,0,8,8,1,
3675,2008,1,16,Sharon ,Henes,1409,0,0,1,0,8,8,1,
3675,2009,1,8,Mike,DuPlayee,2139,0,1,1,0,9,9,1,
3675,2009,1,21,Jason,McCutchin,2281,1,0,0,0,9,9,1,
3675,2009,1,22,Jessica,Ace,2671,1,0,0,0,9,9,1,
3675,2009,1,23,Lionel,Norton,2677,1,0,0,0,9,9,1,
3675,2010,1,24,Jennifer,Pickel,1435,0,0,0,0,10,10,1,
3675,2010,1,17,Peter,Sobol,2004,1,1,1,0,10,10,1,
3675,2010,1,15,Susan,Manning,2161,1,1,1,0,10,10,1,
3675,2011,1,25,Dean,Bowles,3211,1,0,0,0,11,11,1,
3675,2011,1,19,Susan,Fox,4360,1,1,1,0,11,11,1,
3675,2012,1,22,Jessica,Ace,2258,1,1,1,0,12,12,1,
3675,2012,1,21,Jason,McCutchin,1887,1,1,1,0,12,12,1,
3675,2012,1,23,Lionel,Norton,1828,1,1,1,0,12,12,1,
