distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
3682,2004,1,1,Steve,Michka,642,1,1,1,0,1,1,1,
3682,2004,1,2,Joe,Tomasiewicz,586,1,1,1,0,1,1,1,
3682,2004,1,3,Jeff,Prophet,568,1,1,1,0,1,1,1,
3682,2004,1,NA,Scatter,,9,0,0,0,1,1,1,1,
3682,2006,1,4,Pam,Wyss,1883,1,1,1,0,2,2,1,
3682,2006,1,5,Laurie,Genz Prien,1248,0,0,0,0,2,2,1,
3682,2006,1,6,Robert,Erb,1717,1,0,0,0,2,2,1,
3682,2006,1,7,Scott,Schmidt,1398,1,1,1,0,2,2,1,
3682,2006,1,8,John,Waelti,1701,1,0,0,0,2,2,1,
3682,2006,1,NA,Scatter,,18,0,0,0,1,2,2,1,
3682,2007,1,7,Scott,Schmidt,3257,1,1,1,0,3,3,1,
3682,2007,1,5,Laurie,Genz Prien,3023,1,0,0,0,3,3,1,
3682,2007,1,9,Carlos,Jaramillo,1028,0,0,0,0,3,3,1,
3682,2007,1,10,Brian,Keith,3107,1,0,0,0,3,3,1,
3682,2007,1,NA,Scatter,,56,0,0,0,1,3,3,1,
3682,2008,1,11,Mary,Frantz,1027,1,1,1,0,4,4,1,
3682,2008,1,12,Larry,Eakins,1216,1,1,1,0,4,4,1,
3682,2008,1,13,Heidi,Zander,1120,1,0,0,0,4,4,1,
3682,2008,1,NA,Scatter,,20,0,0,0,1,4,4,1,
3682,2009,1,4,Pam,Wyss,1724,1,1,1,0,5,5,1,
3682,2009,1,14,Amy,Bazley,1551,1,0,0,0,5,5,1,
3682,2009,1,6,Robert,Erb,1619,1,1,1,0,5,5,1,
3682,2009,1,NA,Scatter,,42,0,0,0,1,5,5,1,
3682,2010,1,15,Les,Bieneman,1689,1,0,0,0,6,6,1,
3682,2010,1,5,Laurie,Genz Prien,1527,1,0,1,0,6,6,1,
3682,2010,1,10,Brian,Keith,1590,1,1,1,0,6,6,1,
3682,2010,1,7,Scott,Schmidt,1638,1,1,1,0,6,6,1,
3682,2010,1,NA,Scatter,,29,0,0,0,1,6,6,1,
3682,2011,1,5,Laurie,Genz Prien,2602,1,1,1,0,7,7,1,
3682,2011,1,12,Larry,Eakins,2478,1,1,1,0,7,7,1,
3682,2011,1,11,Mary,Frantz,2123,0,1,1,0,7,7,1,
3682,2011,1,16,Michael,Boehme,2650,1,0,0,0,7,7,1,
3682,2011,1,NA,Scatter,,56,0,0,0,1,7,7,1,
3682,2012,1,17,Mary,Berger,1666,1,0,0,0,8,8,1,
3682,2012,1,14,Amy,Bazley,1786,1,1,1,0,8,8,1,
3682,2012,1,6,Robert,Erb,1804,1,1,1,0,8,8,1,
3682,2012,1,NA,Scatter,,57,0,0,0,1,8,8,1,
