distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Area ID,raceid,districtwide,notes
3787,2002,2,1,Robert,Ahles,303,1,0,0,0,1,1,1,
3787,2002,2,2,Ernest,Walters,261,1,0,0,0,1,1,1,
3787,2002,2,3,Kevin,Hermening,211,1,0,0,0,1,1,1,
3787,2002,2,4,James,Haine,175,1,0,0,0,1,1,1,
3787,2002,2,5,Joe,Trudell,41,0,0,0,1,1,1,1,
3787,2002,1,1,Robert,Ahles,945,1,0,0,0,2,2,1,
3787,2002,1,4,James,Haine,578,0,0,0,0,2,2,1,
3787,2002,1,3,Kevin,Hermening,808,1,0,0,0,2,2,1,
3787,2002,1,2,Ernest,Walters,735,0,0,0,0,2,2,1,
3787,2002,1,6,Mary,Borowski,1102,1,1,1,0,3,3,0,
3787,2002,1,NA,Scatter,,20,0,0,0,1,3,3,0,
3787,2003,2,7,Nelson,Pasha Jr,145,0,1,1,0,4,4,1,
3787,2003,2,8,John,Durham,198,1,0,0,0,4,4,1,
3787,2003,2,9,Carolyn,Krautkramer,271,1,0,0,0,4,4,1,
3787,2003,1,8,John,Durham,1272,0,0,0,0,5,5,1,
3787,2003,1,9,Carolyn,Krautkramer,1606,1,0,0,0,5,5,1,
3787,2003,1,10,Judith,Berdan,2230,1,1,1,0,6,6,0,
3787,2003,1,4,James,Haine,1214,0,0,1,0,7,7,0,
3787,2003,1,11,Gary,Crawford,1499,1,1,1,0,7,7,0,
3787,2004,1,12,Diane,Gorman,1027,1,1,1,0,8,8,1,
3787,2004,1,13,Bradford,Barick,438,0,0,0,0,8,8,1,
3787,2004,1,14,Phyillis,Kaiser,1165,1,0,0,0,9,9,0,
3787,2004,1,15,Tammy,Hughes,627,0,0,0,0,10,10,0,
3787,2004,1,16,Douglas,Kern,741,1,0,0,0,10,10,0,
3787,2004,1,17,Theordore,Kijak,885,1,0,0,0,11,11,0,
3787,2004,1,18,Travis,Ploman,447,0,0,0,0,11,11,0,
3787,2005,1,1,Robert,Ahles,1808,1,1,1,0,12,12,1,
3787,2005,1,18,Travis,Ploman,1086,0,0,1,0,12,12,1,
3787,2005,1,19,Matthew,Kern,1724,1,0,0,0,12,12,1,
3787,2005,1,20,Thomas,Martin,2610,1,0,0,0,13,13,0,
3787,2006,1,9,Carolyn,Krautkramer,837,1,1,1,0,14,14,1,
3787,2006,1,10,Judith,Berdan,765,1,1,1,0,15,15,0,
3787,2006,1,4,James,Haine,718,1,0,1,0,16,16,0,
3787,2007,1,12,Diane,Gorman,2395,1,1,1,0,17,17,1,1 year term
3787,2007,1,21,Kelli,Zebro,2757,1,0,0,0,17,17,1,
3787,2007,1,16,Douglas,Kern,3200,1,1,1,0,18,18,0,
3787,2007,1,18,Travis,Ploman,3035,1,0,1,0,19,19,0,
3787,2008,1,12,Diane,Gorman,632,0,1,1,1,20,20,1,
3787,2008,1,22,Corey,Tomczyk,681,1,0,0,0,20,20,1,
3787,2008,1,23,Mark,Gewiss,698,1,0,0,0,20,20,1,
3787,2008,1,24,Mark,Smith,885,1,0,0,0,21,21,0,
3787,2008,1,4,James,Haine,875,1,1,1,0,22,22,0,
3787,2009,1,9,Carolyn,Krautkramer,1243,1,1,1,0,23,23,1,
3787,2009,1,10,Judith,Berdan,1200,1,1,1,0,24,24,0,
3787,2009,1,25,Michael,Kaiser,1184,1,0,0,0,25,25,0,
3787,2009,1,4,James,Haine,1169,1,1,1,0,26,26,0,
3787,2010,1,21,Kelli,Zebro,592,1,1,1,0,27,27,1,
3787,2010,1,26,Dennis,Carlson,556,1,0,0,0,28,28,0,
3787,2010,1,27,Jessica,Maple,540,1,0,0,0,29,29,0,
3787,2011,1,22,Corey,Tomczyk,1718,1,1,1,0,30,30,1,
3787,2011,1,23,Mark,Gewiss,1771,1,1,1,0,30,30,1,
3787,2011,1,25,Michael,Kaiser,2228,1,1,1,0,31,31,0,
3787,2012,1,9,Carolyn,Krautkramer,1505,1,1,1,0,32,32,1,
3787,2012,1,28,Anne,Mathson,906,1,0,0,0,33,33,0,
3787,2012,1,12,Diane,Gorman,868,0,0,1,0,33,33,0,
3787,2012,1,29,Matthew,Ahles,945,1,0,0,0,34,34,0,
3787,2012,1,30,Corey,Kowalski,810,0,0,0,0,34,34,0,
