distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Area ID,raceid,districtwide,notes
3822,2002,1,1,Kathleen,Hurdis,1735,1,1,1,0,1,1,0,
3822,2002,1,2,Mark,Meuer,1703,1,1,1,0,2,2,0,
3822,2002,1,3,Jean,Cruikshank,1798,1,1,1,0,3,3,1,
3822,2002,1,NA,Scatter,,15,0,0,0,1,3,3,1,
3822,2003,1,4,John,Bularz,3570,1,1,1,0,3,3,0,
3822,2003,1,5,Rodell,Singert,3513,1,1,1,0,4,4,0,
3822,2003,1,6,Paul,Wysocki,3578,1,1,1,0,5,5,1,
3822,2003,1,NA,Scatter,,86,0,0,0,1,5,5,1,
3822,2004,1,7,William,Gebhard,812,1,0,0,0,6,6,1,
3822,2004,1,8,Robert,Klussendorf,835,1,1,1,0,7,7,0,
3822,2004,1,9,Jim,Sherman,837,1,0,0,0,8,8,0,
3822,2004,1,10,Kurt,Kaesermann,776,1,0,0,0,9,9,0,"No record of this victory, except tally sheet"
3822,2004,1,NA,Scatter,,16,0,0,0,1,9,9,0,
3822,2005,1,3,Jean,Cruikshank,1692,1,1,1,0,10,10,1,
3822,2005,1,11,Robert,Korducki,1592,1,0,0,0,11,11,0,
3822,2005,1,10,Kurt,Kaesermann,1571,1,1,1,0,12,12,0,
3822,2005,1,NA,Scatter,,22,0,0,0,1,12,12,0,
3822,2006,1,6,Paul,Wysocki,1491,1,1,1,0,13,13,1,
3822,2006,1,4,John,Bularz,1420,1,1,1,0,14,14,0,
3822,2006,1,5,Rodell,Singert,1407,1,1,1,0,15,15,0,
3822,2006,1,NA,Scatter,,30,0,0,0,1,15,15,0,
3822,2007,2,12,,Bell,207,0,0,0,0,16,16,0,
3822,2007,2,13,,Biohm,306,1,0,0,0,16,16,0,
3822,2007,2,14,Thomas,Brown,327,1,0,0,0,16,16,0,
3822,2007,2,NA,Scatter,,11,0,0,0,1,16,16,0,
3822,2007,1,15,Art,Schnieder,2178,0,0,0,0,17,17,0,
3822,2007,1,16,Joseph,Teglia,2601,1,0,0,0,17,17,0,
3822,2007,1,13,,Biohm,2316,0,0,0,0,18,18,0,
3822,2007,1,14,Thomas,Brown,2455,1,0,0,0,18,18,0,
3822,2007,1,17,Todd,Clemens,2926,1,0,0,0,19,19,1,
3822,2007,1,18,Loren,Tieman,1884,0,0,0,0,19,19,1,
3822,2007,1,NA,Scatter,,52,0,0,0,1,19,19,1,
3822,2008,1,15,Art,Schnieder,2731,1,0,1,0,20,20,1,
3822,2008,1,10,Kurt,Kaesermann,2670,1,1,1,0,21,21,0,
3822,2008,1,18,Loren,Tieman,2666,1,0,1,0,22,22,0,
3822,2008,1,NA,Scatter,,60,0,0,0,1,22,22,0,
3822,2009,1,6,Paul,Wysocki,3288,1,1,1,0,23,23,1,
3822,2009,1,4,John,Bularz,3166,1,1,1,0,24,24,0,
3822,2009,1,5,Rodell,Singert,3130,1,1,1,0,25,25,0,
3822,2009,1,NA,Scatter,,58,0,0,0,1,25,25,0,
3822,2010,1,17,Todd,Clemens,2397,1,1,1,0,26,26,1,
3822,2010,1,19,Joanne,Newberry,1466,1,0,0,0,27,27,0,
3822,2010,1,20,Curt,Wiebelhaus,1136,1,0,0,0,28,28,0,
3822,2010,1,21,Mary,D'Amour,2317,1,0,0,0,29,29,0,
3822,2010,1,NA,Scatter,,43,0,0,0,1,29,29,0,
3822,2011,1,15,Art,Schnieder,4403,1,1,1,0,30,30,1,
3822,2011,1,18,Loren,Tieman,4296,1,1,1,0,31,31,0,
3822,2011,1,10,Kurt,Kaesermann,4248,1,1,1,0,32,32,0,
3822,2011,1,NA,Scatter,,143,0,0,0,1,32,32,0,
3822,2012,1,22,Cheri,Winchowky,3325,1,0,0,0,33,33,1,
3822,2012,1,23,Jeff,Voelkel,5570,1,0,0,0,34,34,0,
3822,2012,1,5,Rodell,Singert,5665,1,1,1,0,35,35,0,
3822,2012,1,NA,Scatter,,251,0,0,0,1,35,35,0,
