distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
3892,2002,1,1,John,Lehman,2893,0,1,1,0,1,1,1,
3892,2002,1,2,Ruth,Mansukhani,3925,1,0,0,0,1,1,1,
3892,2002,1,3,John,Hinkfuss,3041,0,1,1,0,1,1,1,
3892,2002,1,4,John,Scudder,3070,0,0,0,0,1,1,1,
3892,2002,1,5,Dorothy,Tews,3695,1,1,1,0,1,1,1,
3892,2003,1,1,John,Lehman,2802,1,1,1,0,2,2,1,
3892,2003,1,6,Larry,Lewis,2793,1,1,1,0,2,2,1,
3892,2003,1,7,Scott,Butler,2620,1,1,1,0,2,2,1,
3892,2003,1,8,Todd,Leak,2432,1,0,0,0,2,2,1,
3892,2004,1,9,Kristi,Branchford,2044,0,0,0,0,3,3,1,
3892,2004,1,10,Christine,Grunwald,2825,1,0,0,0,3,3,1,
3892,2004,1,11,Brenda,Schwan,1178,0,0,0,0,3,3,1,
3892,2004,1,12,Candy,Adams,2222,1,1,1,0,3,3,1,
3892,2004,1,13,Daniel,Dringoli,2911,1,1,1,0,3,3,1,
3892,2005,1,14,Scott,Thompson,3121,1,0,0,0,4,4,1,
3892,2005,1,2,Ruth,Mansukhani,2801,1,1,1,0,4,4,1,
3892,2005,1,8,Todd,Leak,2399,1,0,1,0,4,4,1,
3892,2005,1,11,Brenda,Schwan,1548,0,0,1,0,4,4,1,
3892,2005,1,15,Dev,Woolwine,1214,0,0,0,0,4,4,1,
3892,2006,1,15,Dev,Woolwine,1906,0,0,1,0,5,5,1,
3892,2006,1,1,John,Lehman,3211,1,1,1,0,5,5,1,
3892,2006,1,11,Brenda,Schwan,2609,0,0,1,0,5,5,1,
3892,2006,1,7,Scott,Butler,2790,1,1,1,0,5,5,1,
3892,2006,1,6,Larry,Lewis,3471,1,1,1,0,5,5,1,
3892,2007,1,16,Christopher,Kunz,3110,1,0,0,0,6,6,1,
3892,2007,1,17,Thomas,Hanby,1956,0,0,0,0,6,6,1,
3892,2007,1,10,Christine,Grunwald,3989,1,1,1,0,6,6,1,
3892,2007,1,18,Peter,Kaul,2580,0,0,0,0,6,6,1,
3892,2007,1,19,Jeff,Spoehr,2672,1,0,0,0,6,6,1,
3892,2008,2,11,Brenda,Schwan,2823,1,0,1,0,7,7,1,
3892,2008,2,14,Scott,Thompson,4286,1,1,1,0,7,7,1,
3892,2008,2,20,Colleen,Zuro-White,3772,1,0,0,0,7,7,1,
3892,2008,2,18,Peter,Kaul,2958,1,0,1,0,7,7,1,
3892,2008,2,21,William,Fowler,2329,1,0,0,0,7,7,1,
3892,2008,2,22,Michelle,Hamernik,2868,1,0,0,0,7,7,1,
3892,2008,2,23,Peter,Bodoh,1888,0,0,0,0,7,7,1,
3892,2008,1,21,William,Fowler,1746,0,0,0,0,8,8,1,
3892,2008,1,14,Scott,Thompson,2956,1,1,1,0,8,8,1,
3892,2008,1,20,Colleen,Zuro-White,2809,1,0,0,0,8,8,1,
3892,2008,1,18,Peter,Kaul,2501,1,0,1,0,8,8,1,
3892,2008,1,11,Brenda,Schwan,1344,0,0,1,0,8,8,1,
3892,2008,1,22,Michelle,Hamernik,1615,0,0,0,0,8,8,1,
3892,2009,1,24,Betsy,Ellenberger,2743,1,0,0,0,9,9,1,
3892,2009,1,7,Scott,Butler,2300,0,1,1,0,9,9,1,
3892,2009,1,6,Larry,Lewis,2669,1,1,1,0,9,9,1,
3892,2009,1,1,John,Lehman,2815,1,1,1,0,9,9,1,
3892,2010,1,10,Christine,Grunwald,3541,1,1,1,0,10,10,1,
3892,2010,1,25,John,Remmel,2863,0,0,0,0,10,10,1,
3892,2010,1,19,Jeff,Spoehr,3012,1,1,1,0,10,10,1,
3892,2010,1,16,Christopher,Kunz,3110,1,1,1,0,10,10,1,
3892,2011,1,20,Colleen,Zuro-White,4741,0,1,1,0,11,11,1,
3892,2011,1,26,Dan,Westphal,4886,1,0,0,0,11,11,1,
3892,2011,1,14,Scott,Thompson,5320,1,1,1,0,11,11,1,
3892,2011,1,18,Peter,Kaul,4843,0,1,1,0,11,11,1,
3892,2012,1,26,Kirk,Leeser,4303,1,0,0,0,12,12,1,
3892,2012,1,1,John,Lehman,4791,1,1,1,0,12,12,1,
3892,2012,1,24,Betsy,Ellenberger,4650,1,1,1,0,12,12,1,
3892,2012,1,27,Steve,Lenz,4812,1,0,0,0,12,12,1,
