distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
3934,2007,1,1,David,Noyce,727,1,1,1,0,1,1,1,
3934,2007,1,2,Steven,Velander,477,0,0,0,0,1,1,1,
3934,2007,1,3,Chris,Bowie,869,1,0,0,0,1,1,1,
3934,2007,1,NA,Scatter,,130,0,0,0,1,1,1,1,
3934,2008,1,4,Mark,Romich,493,1,0,0,0,2,2,1,
3934,2008,1,5,Kent,Dalsing,450,0,0,0,0,2,2,1,
3934,2008,1,6,Paul,Eichelkraut,573,1,0,0,0,2,2,1,
3934,2008,1,7,Virginia,Dreier-Schween,473,1,0,0,0,2,2,1,
3934,2008,1,NA,Scatter,,23,0,0,0,1,2,2,1,
3934,2010,1,8,Mary Anne,Oemichen,384,1,1,0,0,3,3,1,
3934,2010,1,9,Pete,Lukszys,193,1,0,0,0,3,3,1,
3934,2010,1,10,Tom,Christensen,89,0,0,0,1,3,3,1,
3934,2011,1,11,Jonathon,Sheridan,988,0,0,0,0,4,4,1,
3934,2011,1,12,Duane,Schober,1280,1,0,0,0,4,4,1,
3934,2011,1,6,Paul,Eichelkraut,1303,1,1,1,0,4,4,1,
3934,2011,1,NA,Scatter,,64,0,0,0,1,5,5,1,
3934,2012,1,13,Gail,Anderson,558,1,0,0,0,5,5,1,
3934,2012,1,14,Ellyn,Runde,452,0,0,0,0,5,5,1,
3934,2012,1,NA,Scatter,,34,0,0,0,1,5,5,1,
