distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,raceID,areaID,districtwide
616,2002,1,1,Joan,Christgau,205,1,1,1,0,1,1,0
616,2002,1,NA,Scatter,,6,0,0,0,1,1,1,0
616,2003,1,2,Daryll,Behnke,432,0,0,0,0,1,9,1
616,2003,1,3,Sue,Ziebart,550,1,0,0,0,1,9,1
616,2003,1,4,Dwight,Logan,864,1,0,0,0,2,2,0
616,2004,1,5,Daniel,Rayala,517,1,1,1,0,1,3,0
616,2004,1,6,Brian,Derber,529,1,0,0,0,2,4,0
616,2004,1,NA,Scatter,,10,0,0,0,1,0,0,1
616,2005,1,7,Shari,Anderson,239,1,0,0,0,1,2,0
616,2005,1,8,Edward,Taber,46,0,0,0,1,1,2,0
616,2005,1,9,Mike,Handrick,194,0,0,0,0,1,2,0
616,2005,1,10,Hal,Yelton,135,0,0,0,0,1,2,0
616,2005,1,11,Gary,Smith,140,0,0,0,0,1,2,0
616,2005,1,12,Todd,Christianson,139,0,0,0,0,1,2,0
616,2005,1,NA,Scatter,,4,0,0,0,1,0,0,1
616,2006,1,4,Dwight,Logan,296,1,1,1,0,1,2,0
616,2006,1,13,Teresa,Schmidt,257,1,0,0,0,1,2,0
616,2006,1,3,Sue,Ziebart,164,0,1,1,0,2,9,1
616,2006,1,14,Kristina,Kassien,517,1,0,0,0,2,9,1
616,2006,1,NA,Scatter,,18,0,0,0,1,0,0,1
616,2007,1,15,Richard,Gilman,852,1,0,0,0,1,3,0
616,2007,1,6,Brian,Derber,800,1,1,1,0,2,4,0
616,2007,1,13,Teresa,Schmidt,836,1,0,1,0,3,5,0
616,2007,1,NA,Scatter,,19,0,0,0,1,0,0,1
616,2008,1,7,Cherie,Sanderson,428,1,1,1,0,1,2,0
616,2008,1,NA,Scatter,,4,0,0,0,1,1,2,0
616,2009,1,12,Teresa,Schmidt,1207,1,1,1,0,1,1,0
616,2009,1,14,Kristina,Kassien,1218,1,1,1,0,2,9,1
616,2009,1,NA,Scatter,,23,0,0,0,1,0,0,1
616,2010,1,15,Richard,Gilman,207,1,1,1,0,1,3,0
616,2010,1,6,Brian,Derber,196,1,1,1,0,2,4,0
616,2010,1,NA,Scatter,,6,0,0,0,1,0,0,1
616,2011,1,17,Barbara,Johnson,1137,1,0,0,0,1,2,0
616,2011,1,NA,Scatter,,4,0,0,0,1,1,2,0
616,2012,1,14,Kristina,Kassien,747,1,1,1,0,1,2,0
616,2012,1,12,Teresa,Schmidt,728,1,1,1,0,2,2,0
616,2012,1,NA,Scatter,,33,0,0,0,1,0,0,1
