distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
4067,2007,1,1,Eric,Larsen,453,1,1,1,0,1,1,0,
4067,2007,1,2,Diane,Nichols,575,1,0,0,0,1,1,0,1 year term
4067,2007,1,3,Linda,Green,861,1,1,1,0,1,2,1,
4067,2007,1,4,Marisa,Steinbach,593,1,1,1,0,1,3,0,
4067,2007,1,5,Rose,Bowen,707,1,1,1,0,1,3,0,
4067,2007,1,6,Jennifer,Hollihan,97,1,0,0,1,1,3,0,1 year term
4067,2008,1,2,Diane,Nichols,NA,1,1,1,0,2,4,0,no votes
4067,2008,1,6,Jennifer,Nichols,NA,0,0,0,0,2,5,0,no votes
4067,2011,1,7,Janel,Johnson,1138,1,0,0,0,3,6,0,
4067,2011,1,2,Diane,Nichols,1102,1,1,1,0,3,7,0,
4067,2011,1,NA,Scatter,,239,0,0,0,1,3,7,0,
4067,2012,1,8,John,Pinkart,900,1,1,1,0,4,8,0,
4067,2012,1,9,Oralee,Martin,640,0,0,0,0,4,8,0,
4067,2012,1,10,Sandy,Falk,356,0,0,0,0,4,9,0,
4067,2012,1,11,Crissy,Kumhala,339,0,0,0,0,4,9,0,
4067,2013,1,12,Lisa,Sherman,947,1,1,1,0,5,10,0,
4067,2013,1,13,Kris,Alwin,934,1,0,0,0,5,10,0,
4067,2013,1,14,Mark,Orth,825,1,1,1,0,5,10,0,
4067,2013,1,9,Oralee,Martin,581,0,0,1,0,5,10,0,
4067,2013,1,11,Crissy,Kumhala,791,0,0,1,0,5,11,0,
4067,2013,1,3,Linda,Green,553,0,1,1,0,5,11,0,
