distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
4095,2002,1,1,Florence,Hyatt,1358,1,0,0,0,1,1,1,
4095,2002,1,2,Donald,Zimmerman,1420,1,1,1,0,1,1,1,
4095,2002,1,3,Cynthia,Buckholtz,1358,0,0,0,0,1,1,1,
4095,2003,1,4,Kirby,Lentz,1438,1,1,1,0,2,2,1,
4095,2003,1,5,Chris,Sander,1222,1,0,0,0,2,2,1,
4095,2003,1,6,Garrick,Brown,1096,1,0,0,0,2,2,1,
4095,2003,1,7,Evelyn,Pertzsch,1483,1,1,1,0,2,2,1,
4095,2004,1,8,Marian,Mieden,1790,0,1,1,0,3,3,1,
4095,2004,1,9,Mark,Cassellius,1934,1,1,1,0,3,3,1,
4095,2004,1,10,Mary,Koblitz,1864,1,0,0,0,3,3,1,
4095,2004,1,6,Garrick,Brown,1631,0,1,1,0,3,3,1,
4095,2005,1,11,Carina,Taylor,750,1,0,0,0,4,4,1,
4095,2005,1,1,Florence,Hyatt,809,1,1,1,0,4,4,1,
4095,2005,1,12,Jeff,Fimreite,730,1,0,0,0,4,4,1,
4095,2006,1,4,Kirby,Lentz,794,1,1,1,0,5,5,1,
4095,2006,1,5,Chris,Sander,765,0,1,1,0,5,5,1,
4095,2006,1,13,Kathleen,Kennedy,844,1,0,0,0,5,5,1,
4095,2006,1,NA,Scatter,,27,0,0,0,1,5,5,1,
4095,2007,1,14,Lauren,Chafoulias,1618,1,1,0,0,6,6,1,
4095,2007,1,9,Mark,Cassellius,1824,1,1,1,0,6,6,1,
4095,2007,1,15,Heather,Sysimaki,1676,1,0,0,0,6,6,1,
4095,2007,1,16,Ann,Garrity,1792,1,0,0,0,6,6,1,
4095,2007,1,NA,Scatter,,35,0,0,0,1,6,6,1,
4095,2008,1,14,Lauren,Chafoulias,1634,1,0,1,0,7,7,1,
4095,2008,1,1,Florence,Hyatt,1930,1,1,1,0,7,7,1,
4095,2008,1,NA,Scatter,,111,0,0,0,1,7,7,1,
4095,2009,1,17,Alana,Havenstrite,951,1,0,0,0,8,8,1,
4095,2009,1,18,Brian,Haefs,1063,1,0,0,0,8,8,1,
4095,2009,1,15,Heather,Sysimaki,1042,1,1,1,0,8,8,1,
4095,2009,1,NA,Scatter,,12,0,0,0,1,8,8,1,
4095,2010,1,9,Mark,Cassellius,665,1,1,1,0,9,9,1,
4095,2010,1,16,Ann,Garrity,684,1,1,1,0,9,9,1,
4095,2010,1,NA,Scatter,,7,0,0,0,1,9,9,1,
4095,2011,1,1,Florence,Hyatt,2486,1,1,1,0,10,10,1,
4095,2011,1,14,Lauren,Chafoulias,2121,1,1,1,0,10,10,1,
4095,2011,1,NA,Scatter,,20,0,0,0,1,10,10,1,
