distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,raceid,Area ID,districtwide,notes
4186,2002,1,1,Duane,Merritt,307,1,1,1,0,1,1,1,
4186,2002,1,2,Curtis,Skoyen,320,1,1,1,0,1,1,1,
4186,2002,1,NA,Scatter,,2,0,0,0,1,1,1,1,
4186,2002,3,3,Linda,Hagedorn,1152,1,0,0,0,2,2,1,
4186,2002,3,4,Patricia,Gnabasik,950,0,1,1,0,2,2,1,
4186,2002,3,13,Brian,Boehnen,1135,1,0,0,0,2,2,1,
4186,2002,3,6,,Vance,963,0,1,1,0,2,2,1,
4186,2002,3,7,Patrick,Sorge,947,0,0,0,0,2,2,1,
4186,2002,3,8,Larry,Moen,1158,1,0,0,0,2,2,1,
4186,2002,3,9,Kenneth,Jacobson,1004,0,1,1,0,2,2,1,
4186,2002,3,10,Rollie,Colby,1116,1,0,0,0,2,2,1,
4186,2003,1,11,Debbie,Stone,901,0,0,0,0,1,1,0,
4186,2003,1,3,Linda,Hagedorn,903,1,1,1,0,1,1,0,
4186,2003,1,12,Brad,Garber,879,0,0,0,0,2,3,0,
4186,2003,1,13,Brian,Boehnen,952,1,1,1,0,2,3,0,
4186,2003,1,10,Rollie,Colby,957,1,1,1,0,3,6,0,
4186,2003,1,14,Jason,Steen,882,0,0,0,0,3,6,0,
4186,2004,1,14,Jason,Steen,606,1,0,1,0,1,6,0,
4186,2004,1,15,Harold,Nelson,555,0,0,0,0,1,6,0,
4186,2004,1,8,Larry,Moen,666,1,1,1,0,2,5,0,
4186,2004,1,7,Patrick,Sorge,447,0,0,1,0,2,5,0,
4186,2005,1,1,Duane,Merritt,863,1,1,1,0,1,2,0,
4186,2005,1,16,Kenneth,Kaufman,628,0,0,0,0,1,2,0,
4186,2005,1,17,Susan,Frame,764,1,0,0,0,2,4,0,
4186,2005,1,2,Curtis,Skoyen,717,0,1,1,0,2,4,0,
4186,2006,1,18,Dean,Eide,563,0,0,0,0,3,6,0,
4186,2006,1,19,Harold,Mulhern,659,1,0,0,0,3,6,0,
4186,2006,1,NA,Scatter,,3,0,0,0,1,3,11,0,
4186,2006,1,3,Linda,Hagedorn,603,0,1,1,0,1,1,0,
4186,2006,1,20,Charles,Lahn,611,1,0,0,0,1,1,0,
4186,2006,1,21,Dianne,Richardson,540,0,0,0,0,2,3,0,
4186,2006,1,22,Phil,Hazard,667,1,0,0,0,2,3,0,
4186,2007,2,7,Patrick,Sorge,326,1,0,1,0,1,5,0,
4186,2007,2,8,Larry,Moen,121,0,1,1,0,1,5,0,
4186,2007,2,23,Barry,Kostka,276,1,0,0,0,1,5,0,
4186,2007,1,14,Jason,Steen,811,1,1,1,0,1,6,0,
4186,2007,1,24,John,Elkins,788,0,0,0,0,1,6,0,
4186,2007,1,23,Barry,Kostka,808,1,0,0,0,2,5,0,
4186,2007,1,7,Patrick,Sorge,781,0,0,1,0,2,5,0,
4186,2007,1,NA,Scatter,,7,0,0,0,1,2,5,0,
4186,2008,2,25,Rozanne,Traczek,532,1,0,0,0,1,2,0,
4186,2008,2,26,Scott,Ellison,298,0,0,0,0,1,2,0,
4186,2008,2,16,Kenneth,Kaufman,631,1,0,1,0,1,2,0,
4186,2008,1,27,Matthew,Hazen,656,1,0,0,0,1,4,0,
4186,2008,1,28,Greg,Gilbertson,565,0,0,0,0,1,4,0,
4186,2008,1,16,Kenneth,Kaufman,567,0,0,1,0,2,2,0,
4186,2008,1,25,Rozanne,Traczek,659,1,0,0,0,2,2,0,
4186,2009,1,19,Harold,Mulhern,878,1,1,1,0,1,6,0,
4186,2009,1,29,Richard,Tiller,723,0,0,0,0,1,6,0,
4186,2009,1,13,Brian,Boehnen,826,1,0,1,0,2,3,0,
4186,2009,1,22,Phil,Hazard,765,0,1,1,0,2,3,0,
4186,2009,1,11,Debbie,Stone,758,0,0,1,0,3,1,0,
4186,2009,1,20,Charles,Lahn,837,1,1,1,0,3,1,0,
4186,2010,2,30,Gerald,Bodway,329,1,0,0,0,1,6,0,
4186,2010,2,31,John,Mehtala,144,0,0,0,0,1,6,0,
4186,2010,2,24,John,Elkins,240,1,0,1,0,1,6,0,
4186,2010,1,23,Barry,Kostka,896,1,1,1,0,1,5,0,
4186,2010,1,8,Larry,Moen,382,0,0,1,0,1,5,0,
4186,2010,1,30,Gerald,Bodway,813,1,0,0,0,2,6,0,
4186,2010,1,24,John,Elkins,623,0,0,1,0,2,6,0,
4186,2010,1,NA,Scatter,,23,0,0,0,1,1,5,0,
4186,2011,1,25,Rozanne,Traczek,1055,1,1,1,0,1,2,0,
4186,2011,1,27,Matthew,Hazen,1023,1,1,1,0,2,4,0,
4186,2011,1,NA,Scatter,,19,0,0,0,1,1,2,0,
4186,2012,1,32,Stacey,Tanner,517,1,0,0,0,1,1,0,
4186,2012,1,33,Patricia,Matthews,512,1,0,0,0,2,6,0,
4186,2012,1,22,Phil,Hazard,548,1,1,1,0,3,3,0,
