distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Area ID,raceid,districtwide,notes
4207,2002,1,1,Gary,Goebel,212,0,0,0,0,1,1,0,
4207,2002,1,2,Stephen,Heggemeier,393,1,0,0,0,1,1,0,
4207,2002,1,3,Dean,Schmelzer,264,0,0,0,0,2,2,0,
4207,2002,1,4,Barb,Finkelson,357,1,1,1,0,2,2,0,
4207,2003,1,5,Gerald,Fults,563,1,1,1,0,3,3,0,
4207,2003,1,6,Joy,Pawlukiewicz,480,1,1,1,0,4,4,0,
4207,2003,1,7,Alice,Hamm,420,1,0,0,0,5,5,0,
4207,2003,1,8,Dale,Sleznikow,312,0,1,1,0,5,5,0,
4207,2003,1,3,Dean,Schmelzer,187,0,0,1,0,5,5,0,
4207,2003,1,9,Mark,Klein,418,0,0,0,0,5,5,0,
4207,2003,1,NA,Scatter,,41,0,0,0,1,5,5,0,
4207,2004,1,10,Richard,Eloranta,449,1,1,1,0,6,6,0,
4207,2004,1,3,Dean,Schmelzer,239,0,0,1,0,6,6,0,
4207,2004,1,11,Mark,Gordon,350,1,1,1,0,6,6,0,
4207,2005,1,3,Dean,Schmelzer,251,0,0,1,0,7,7,0,
4207,2005,1,7,Alice,Hamm,471,1,1,1,0,7,7,0,
4207,2005,1,2,Stephen,Heggemeier,574,1,1,1,0,8,8,0,
4207,2006,1,3,Dean,Schmelzer,297,0,0,1,0,9,9,0,
4207,2006,1,9,Mark,Klein,459,1,0,1,0,9,9,0,
4207,2006,1,12,Kelley,Hanson,487,1,0,0,0,10,10,0,
4207,2006,1,5,Gerald,Fults,236,0,1,1,0,10,10,0,
4207,2006,1,13,Kelly,Hatlestad,491,1,0,0,0,11,11,0,
4207,2006,1,6,Joy,Pawlukiewicz,219,0,1,1,0,11,11,0,
4207,2006,1,NA,Scatter,,1,0,0,0,1,11,11,0,
4207,2007,1,10,Richard,Eloranta,498,1,1,1,0,12,12,0,
4207,2007,1,11,Mark,Gordon,384,1,1,1,0,12,12,0,
4207,2007,1,NA,Scatter,,9,0,0,0,1,12,12,0,
4207,2008,1,3,Dean,Schmelzer,271,0,0,1,0,13,13,0,
4207,2008,1,14,Lisa,Pomputis,302,1,0,0,0,13,13,0,
4207,2008,1,2,Stephen,Heggemeier,453,1,1,1,0,14,14,0,
4207,2008,1,NA,Scatter,,11,0,0,0,1,14,14,0,
4207,2009,1,3,Dean,Schmelzer,304,0,0,1,0,15,15,0,
4207,2009,1,15,Travis,Engel,454,1,0,0,0,15,15,0,
4207,2009,1,16,Paul,Heggemeier,623,1,0,0,0,16,16,0,
4207,2009,1,17,Julie,Wendler,347,0,0,0,0,17,17,0,
4207,2009,1,13,Kelly,Hatlestad,396,1,1,1,0,17,17,0,
4207,2010,1,3,Dean,Schmelzer,149,0,0,1,0,18,18,0,
4207,2010,1,10,Richard,Eloranta,284,1,1,1,0,18,18,0,
4207,2010,1,11,Mark,Gordon,229,1,1,1,0,18,18,0,
4207,2010,1,NA,Scatter,,2,0,0,0,1,18,18,0,
4207,2011,1,3,Dean,Schmelzer,87,0,0,1,1,19,19,0,
4207,2011,1,18,Kellie,Keene,77,0,0,0,1,19,19,0,
4207,2011,1,19,Kris,Karaba,139,1,0,0,0,19,19,0,
4207,2012,1,17,Julie,Wendler,553,1,0,1,0,20,20,0,
4207,2012,1,16,Paul,Heggemeier,512,1,1,1,0,21,21,0,
4207,2012,1,3,Dean,Schmelzer,223,0,0,1,0,22,22,0,
4207,2012,1,20,Deanne,Wells,435,1,0,0,0,22,22,0,
4207,2012,1,NA,Scatter,,15,0,0,0,1,22,22,0,
