distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
4221,2003,1,1,Mitzi,Roscizewski,455,0,0,0,0,1,1,1,
4221,2003,1,2,Steve,Butler,490,1,0,0,0,1,1,1,
4221,2003,1,3,Doris,Parsons,609,1,1,1,0,1,1,1,
4221,2003,1,4,Bob,Oleson,583,1,1,1,0,1,1,1,
4221,2004,1,1,Mitzi,Roscizewski,815,1,0,1,0,2,2,1,
4221,2004,1,5,Anthony,Blaedow,994,1,0,0,0,2,2,1,
4221,2004,1,NA,Scatter,,26,0,0,0,1,2,2,1,
4221,2006,1,4,Robert,Olson,629,1,1,1,0,3,3,1,
4221,2006,1,7,John,Vymetal-Taylor,569,0,1,1,0,3,3,1,
4221,2006,1,2,Steve,Butler,695,1,0,1,0,3,3,1,
4221,2006,1,8,Richard,Kiehl,728,1,0,0,0,3,3,1,
4221,2007,1,5,Anthony,Blaedow,1293,1,1,1,0,4,4,1,
4221,2007,1,9,Marie,Collom,1077,1,0,0,0,4,4,1,
4221,2007,1,NA,Scatter,,23,0,0,0,1,4,4,1,
4221,2008,1,10,Laura,Stehno,496,1,0,0,0,5,5,1,
4221,2008,1,11,Craig,Schnuelle,532,1,0,0,0,5,5,1,
4221,2008,1,12,Angela,Anderson,301,0,0,0,0,5,5,1,
4221,2008,1,13,Thomas,Kraker,472,0,0,0,0,5,5,1,
4221,2008,1,NA,Scatter,,17,0,0,0,1,5,5,1,
4221,2009,1,4,Bob,Oleson,718,1,1,1,0,6,6,1,
4221,2009,1,8,Richard,Kiehl,702,1,1,1,0,6,6,1,
4221,2009,1,14,Katy,Neubauer,776,1,0,0,0,6,6,1,
4221,2009,1,15,Thomas,Novak,742,1,0,0,0,6,6,1,
4221,2009,1,NA,Scatter,,33,0,0,0,1,6,6,1,
4221,2010,1,8,Richard,Kiehl,433,1,0,1,0,7,7,1,
4221,2010,1,9,Marie,Collom,370,0,1,1,0,7,7,1,
4221,2010,1,NA,Scatter,,15,0,0,0,1,7,7,1,
4221,2011,1,16,Mark,Isaacsen,1349,1,0,0,0,8,8,1,
4221,2011,1,10,Laura,Stehno,1129,1,1,1,0,8,8,1,
4221,2011,1,11,Craig,Schnuelle,1032,1,1,1,0,8,8,1,
4221,2011,1,17,David,Traver,989,0,0,0,0,8,8,1,
4221,2011,1,NA,Scatter,,81,0,0,0,1,8,8,1,
4221,2012,1,15,Thomas,Novak,1101,1,1,1,0,9,9,1,
4221,2012,1,4,Bob,Oleson,863,0,1,1,0,9,9,1,
4221,2012,1,NA,Scatter,,49,0,0,0,1,9,9,1,
