distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race Idq,Area ID,districtwide,notes
4228,2002,1,1,Terry,Billman,805,1,1,1,0,1,1,1,
4228,2002,1,2,Karla,Walker,785,1,0,0,0,1,1,1,
4228,2002,1,3,Victoria,Davel,675,0,1,1,0,1,1,1,
4228,2002,1,4,Gary,Holland,855,1,1,1,0,1,1,1,
4228,2003,2,3,Victoria,Davel,583,1,1,1,0,2,2,1,
4228,2003,2,7,Bob,Hamilton,446,1,0,0,0,2,2,1,
4228,2003,2,8,Dorean,Krueger,334,0,0,0,0,2,2,1,
4228,2003,2,5,Daniel,Kuhfuss,334,1,0,0,0,2,2,1,
4228,2003,2,6,Gerald,Skaar,659,1,1,0,0,2,2,1,
4228,2003,1,3,Victoria,Davel,516,1,0,1,0,3,3,1,
4228,2003,1,5,Daniel,Kuhfuss,309,0,0,0,0,3,3,1,
4228,2003,1,6,Gerald,Skaar,510,1,1,1,0,3,3,1,
4228,2003,1,7,Bob,Hamilton,473,0,0,0,0,3,3,1,
4228,2004,1,9,Roger,Duchow,249,1,1,1,0,4,4,1,
4228,2004,1,10,Nathan,Kline,285,1,1,1,0,4,4,1,
4228,2004,1,8,Dorean,Krueger,173,0,0,0,0,4,4,1,
4228,2005,1,4,Gary,Holland,388,1,1,1,0,5,5,1,
4228,2005,1,1,Terry,Billman,367,0,1,1,0,5,5,1,
4228,2005,1,11,Becky,Levzow,492,1,0,0,0,5,5,1,
4228,2005,1,2,Karla,Walker,375,1,1,1,0,5,5,1,
4228,2006,1,6,Gerald,Skaar,308,1,1,1,0,6,6,1,
4228,2006,1,3,Victoria,Davel,313,1,1,1,0,6,6,1,
4228,2006,1,12,Harold,Balsiger,80,0,0,0,1,6,6,1,
4228,2006,1,13,Margo,Pufahl,124,1,0,0,0,6,6,1,1 year term
4228,2006,1,14,Janette,Sheeks,42,0,0,0,1,6,6,1,
4228,2007,1,9,Roger,Duchow,465,0,1,1,0,7,7,1,
4228,2007,1,12,Harold,Balsiger,640,1,0,1,0,7,7,1,
4228,2007,1,13,Margo,Pufahl,659,1,1,1,0,7,7,1,
4228,2008,1,11,Becky,Levzow,585,1,1,1,0,8,8,1,
4228,2008,1,1,Terry,Billman,529,1,0,1,0,8,8,1,
4228,2008,1,2,Karla,Walker,550,1,1,1,0,8,8,1,
4228,2009,1,3,Victoria,Davel,568,1,1,1,0,9,9,1,
4228,2009,1,6,Gerald,Skaar,597,1,1,1,0,9,9,1,
4228,2010,1,13,Margo,Pufahl,795,1,1,1,0,10,10,1,
4228,2010,1,12,Harold,Balsiger,802,1,1,1,0,10,10,1,
4228,2011,1,2,Karla,Walker,1055,1,1,1,0,11,11,1,
4228,2011,1,11,Becky,Levzow,1145,1,1,1,0,11,11,1,
4228,2011,1,14,Lynette,Ives,966,1,0,0,0,11,11,1,
4228,2012,1,15,Kathy,Morrison,78,1,0,0,1,12,12,1,
4228,2012,1,16,Matthew,Smith,60,1,0,0,1,12,12,1,
