distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
4312,2002,1,1,Brian,Kammers,433,1,1,1,0,1,1,1,
4312,2002,1,2,Larry,Dux,469,1,0,0,0,1,1,1,
4312,2002,1,3,Mary Beth,Steffens,419,0,1,1,0,1,1,1,
4312,2003,1,4,Chris,Durski,1313,1,1,1,0,2,2,1,
4312,2003,1,5,Greg,Serafin,1263,1,0,0,0,2,2,1,
4312,2003,1,6,Frank,Goodwin,1325,1,1,1,0,2,2,1,
4312,2004,1,7,John,Blask,2019,1,0,0,0,3,3,1,
4312,2004,1,8,Betty,Thill,2011,1,1,1,0,3,3,1,
4312,2004,1,NA,Scatter,,45,0,0,0,1,3,3,1,
4312,2005,1,1,Brian,Kammers,994,1,1,1,0,4,4,1,
4312,2005,1,2,Larry,Dux,898,1,1,1,0,4,4,1,
4312,2005,1,NA,Scatter,,10,0,0,0,1,4,4,1,
4312,2006,1,9,Ann,Wells,1129,1,0,0,0,5,5,1,
4312,2006,1,6,Frank,Goodwin,1063,1,1,1,0,5,5,1,
4312,2006,1,10,Jim,Huismann,1066,1,0,0,0,5,5,1,
4312,2006,1,NA,Scatter,,8,0,0,0,1,5,5,1,
4312,2007,1,7,John,Blask,1477,1,1,1,0,6,6,1,
4312,2007,1,11,Jeff,Lewis,1599,1,0,0,0,6,6,1,
4312,2007,1,NA,Scatter,,10,0,0,0,1,6,6,1,
4312,2008,1,2,Larry,Dux,1065,1,1,1,0,7,7,1,
4312,2008,1,1,Brian,Kammers,1231,1,1,1,0,7,7,1,
4312,2009,1,10,Jim,Huismann,1303,1,1,1,0,8,8,1,
4312,2009,1,9,Ann,Wells,1169,1,1,1,0,8,8,1,
4312,2009,1,4,Chris,Durski,1106,1,0,1,0,8,8,1,
4312,2009,1,6,Frank,Goodwin,1012,0,1,1,0,8,8,1,
4312,2009,1,NA,Scatter,,13,0,0,0,1,8,8,1,
4312,2010,1,7,John,Blask,1527,1,1,1,0,9,9,1,
4312,2010,1,11,Jeff,Lewis,1679,1,1,1,0,9,9,1,
4312,2010,1,13,Robert,Goergen,1241,0,0,0,0,9,9,1,
4312,2011,1,1,Brian,Kammers,3193,1,1,1,0,10,10,1,
4312,2011,1,2,Larry,Dux,2453,1,1,1,0,10,10,1,
4312,2011,1,NA,Scatter,,58,0,0,0,1,10,10,1,
4312,2012,1,10,Jim,Huismann,2192,1,1,1,0,11,11,1,
4312,2012,1,14,Ron,Frea,1730,1,0,0,0,11,11,1,
4312,2012,1,15,Jeanne,Witthun,1607,1,0,0,0,11,11,1,
4312,2012,1,16,Dacia,Hopkins,1209,0,0,0,0,11,11,1,
