distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
4389,2002,1,1,John,Krogman,510,1,1,1,0,1,0,1,
4389,2002,1,2,Paul,Moriarty,468,1,1,1,0,1,0,1,
4389,2002,1,3,Lynn,Schlager,439,1,0,0,0,1,0,1,
4389,2002,1,4,Brian,Miesen,414,0,0,0,0,1,0,1,
4389,2002,1,NA,Scatter,,8,0,0,0,1,1,0,1,
4389,2003,1,5,Steve,Obershaw,1006,1,1,1,0,2,0,1,
4389,2003,1,6,Monie,Konecny,831,1,0,0,0,2,0,1,
4389,2003,1,7,Arlene,Siss,705,1,1,1,0,2,0,1,
4389,2003,1,8,Larry,Olson,574,0,0,0,0,2,0,1,
4389,2003,1,NA,Scatter,,17,0,0,0,1,2,0,1,
4389,2004,1,4,Brian,Miesen,875,1,0,1,0,3,0,1,
4389,2004,1,9,Gregory,Riley,433,0,0,0,0,3,0,1,
4389,2004,1,10,Barbara,Daus,1060,1,1,1,0,3,0,1,
4389,2004,1,11,Angela,Udelhofen,498,0,0,0,0,3,0,1,
4389,2004,1,12,Ann,Evenson,1081,1,0,0,0,3,0,1,
4389,2004,1,13,Abulkhair,Masoom,610,0,0,0,0,3,0,1,
4389,2004,1,14,Timothy,Murphy,843,0,0,0,0,3,0,1,
4389,2004,1,8,Larry,Olson,508,0,0,1,0,3,0,1,
4389,2004,1,NA,Scatter,,17,0,0,0,1,3,0,1,
4389,2005,1,8,Larry,Olson,574,0,0,1,0,4,0,1,
4389,2005,1,3,Lynn,Schlager,1078,1,1,1,0,4,0,1,
4389,2005,1,13,Abulkhair,Masoom,640,0,0,1,0,4,0,1,
4389,2005,1,14,Timothy,Murphy,1011,1,0,1,0,4,0,1,
4389,2005,1,15,Louis,Nzegwu,487,0,0,0,0,4,0,1,
4389,2005,1,1,John,Krogman,1181,1,1,1,0,4,0,1,
4389,2005,1,NA,Scatter,,14,0,0,0,1,4,0,1,
4389,2006,1,8,Larry,Olson,959,0,0,1,0,5,0,1,
4389,2006,1,6,Monie,Konecny,1662,1,1,1,0,5,0,1,
4389,2006,1,7,Arlene,Siss,1427,1,1,1,0,5,0,1,
4389,2006,1,5,Steve,Obershaw,1923,1,1,1,0,5,0,1,
4389,2006,1,NA,Scatter,,53,0,0,0,1,5,0,1,
4389,2007,1,4,Brian,Miesen,1193,1,1,1,0,6,0,1,
4389,2007,1,8,Larry,Olson,504,0,0,1,0,6,0,1,
4389,2007,1,16,Nancy,Bongers,1236,1,0,0,0,6,0,1,
4389,2007,1,13,Abulkhair,Masoom,919,1,0,1,0,6,0,1,
4389,2007,1,NA,Scatter,,12,0,0,0,1,6,0,1,
4389,2008,1,14,Timothy,Murphy,1219,1,1,1,0,7,0,1,
4389,2008,1,3,Lynn,Schlager,1204,1,1,1,0,7,0,1,
4389,2008,1,1,John,Krogman,1286,1,1,1,0,7,0,1,
4389,2008,1,NA,Scatter,,34,0,0,0,1,7,0,1,
4389,2009,1,6,Monie,Konecny,1684,1,1,1,0,8,0,1,
4389,2009,1,5,Steve,Obershaw,1894,1,1,1,0,8,0,1,
4389,2009,1,7,Arlene,Siss,1509,1,1,1,0,8,0,1,
4389,2009,1,NA,Scatter,,49,0,0,0,1,8,0,1,
4389,2010,1,16,Nancy,Bongers,790,1,1,1,0,9,0,1,
4389,2010,1,13,Abulkhair,Masoom,689,1,1,1,0,9,0,1,
4389,2010,1,4,Brian,Miesen,741,1,1,1,0,9,0,1,
4389,2010,1,17,Joshua,Grabandt,636,0,0,0,0,9,0,1,
4389,2010,1,NA,Scatter,,5,0,0,0,1,9,0,1,
4389,2011,1,18,Heather,Connoly,1873,1,0,0,0,10,0,1,
4389,2011,1,17,Joshua,Grabandt,1585,1,0,1,0,10,0,1,
4389,2011,1,14,Timothy,Murphy,1749,1,1,1,0,10,0,1,
4389,2011,1,NA,Scatter,,42,0,0,0,1,10,0,1,
4389,2012,1,19,David,Millsap,611,0,0,0,0,11,0,1,
4389,2012,1,5,Steve,Obershaw,1202,1,1,1,0,11,0,1,
4389,2012,1,20,Eric,Fatzinger,912,1,0,0,0,11,0,1,
4389,2012,1,6,Monie,Konecny,921,1,1,1,0,11,0,1,
4389,2012,1,7,Arlene,Siss,757,0,1,1,0,11,0,1,
4389,2012,1,NA,Scatter,,53,0,0,0,1,11,0,1,
4389,2013,1,16,Nancy,Bongers,1303,1,1,1,0,12,0,1,
4389,2013,1,4,Brian,Miesen,1212,1,1,1,0,12,0,1,
4389,2013,1,13,Abulkhair,Masoom,1094,1,1,1,0,12,0,1,
4389,2013,1,NA,Scatter,,31,0,0,0,1,12,0,1,
