distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
4606,2002,1,1,Patty,Wianecki,551,1,0,0,0,1,1,1,
4606,2002,1,2,Elaine,Leon,432,0,1,1,0,1,1,1,
4606,2002,1,3,Wayne,Belke,397,0,1,1,0,1,1,1,
4606,2002,1,4,Dan,Kuglin,443,1,0,0,0,1,1,1,
4606,2002,1,5,Cheryl,Sina,485,1,0,0,0,1,1,1,
4606,2003,1,6,Pamela,Waite,415,1,1,1,0,2,2,1,
4606,2003,1,7,Paul,Scherger,459,1,1,1,0,2,2,1,
4606,2003,1,NA,Scatter,,24,0,0,0,1,2,2,1,
4606,2004,1,8,William,Schmidt,345,0,1,1,0,3,3,1,
4606,2004,1,9,Tom,Wielgosh,132,0,0,0,0,3,3,1,
4606,2004,1,10,Deb,Washkoviak,379,1,1,1,0,3,3,1,
4606,2004,1,11,Connie,Seeliger,418,1,0,0,0,3,3,1,
4606,2004,1,12,Pam,Smith,19,0,0,0,1,3,3,1,
4606,2004,1,NA,Scatter,,5,0,0,0,1,3,3,1,
4606,2005,1,5,Cheryl,Sina,470,1,1,1,0,4,4,1,
4606,2005,1,1,Patty,Wianecki,518,1,1,1,0,4,4,1,
4606,2005,1,4,Dan,Kuglin,464,1,1,1,0,4,4,1,
4606,2005,1,NA,Scatter,,27,0,0,0,1,4,4,1,
4606,2006,1,7,Paul,Scherger,218,1,1,1,0,5,5,1,
4606,2006,1,13,Richard,Hebbe,260,1,0,0,0,5,5,1,
4606,2006,1,NA,Scatter,,11,0,0,0,1,5,5,1,
4606,2007,1,14,Lee,Moss,385,0,0,0,0,6,6,1,
4606,2007,1,2,Elaine,Leon,391,1,0,1,0,6,6,1,
4606,2007,1,15,Leigh,Mlodzik,436,1,0,0,0,6,6,1,
4606,2007,1,11,Connie,Seeliger,434,1,1,1,0,6,6,1,
4606,2007,1,NA,Scatter,,8,0,0,0,1,6,6,1,
4606,2008,1,14,Lee,Moss,569,1,0,1,0,7,7,1,
4606,2008,1,4,Dan,Kuglin,619,1,1,1,0,7,7,1,
4606,2008,1,5,Cheryl,Sina,610,1,1,1,0,7,7,1,
4606,2008,1,NA,Scatter,,13,0,0,0,1,7,7,1,
4606,2009,1,13,Richard,Hebbe,509,1,1,1,0,8,8,1,
4606,2009,1,2,Elaine,Leon,417,1,1,1,0,8,8,1,
4606,2010,1,16,,Dibelius,152,0,0,0,0,9,9,1,
4606,2010,1,15,Leigh,Mlodzik,228,1,1,1,0,9,9,1,
4606,2010,1,17,Melissa,Schueler,161,1,0,0,0,9,9,1,
4606,2010,1,18,,Wandersee,141,0,0,0,0,9,9,1,
4606,2011,1,4,Dan,Kuglin,821,1,1,1,0,10,10,1,
4606,2011,1,14,Lee,Moss,722,1,1,1,0,10,10,1,
4606,2011,1,19,Greg,Hardt,714,1,0,0,0,10,10,1,
4606,2012,1,13,Richard,Hebbe,560,1,1,1,0,11,11,1,
4606,2012,1,2,Elaine,Leon,37,0,1,1,0,11,11,1,
