distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Area ID,raceid,districtwide,notes
4613,2002,2,1,Jerry,Bannon,261,1,0,0,0,1,1,0,
4613,2002,2,2,Pat,Cooley,330,1,0,0,0,1,1,0,
4613,2002,2,3,Donna,Scattergood,103,0,0,0,0,1,1,0,
4613,2002,2,NA,Scatter,,3,0,0,0,1,1,1,0,
4613,2002,1,1,Jerry,Bannon,872,0,0,0,0,2,2,0,
4613,2002,1,2,Pat,Cooley,935,1,0,0,0,2,2,0,
4613,2002,1,4,Rick,Adamski,1533,1,0,0,0,4,4,0,
4613,2003,2,5,Steven,Gohr,493,1,0,0,0,5,5,0,
4613,2003,2,6,Jean,Pautz,479,1,0,0,0,5,5,0,
4613,2003,2,7,Todd,Karez,441,0,0,0,0,5,5,0,
4613,2003,1,6,Jean,Pautz,1556,0,0,0,0,6,6,0,
4613,2003,1,5,Steven,Gohr,2394,1,0,0,0,6,6,0,
4613,2003,1,8,,Remley,1707,0,0,0,0,7,7,0,
4613,2003,1,9,Cindy,Hendricks,2087,1,0,0,0,7,7,0,
4613,2003,1,10,Mark,Wernicke,1922,1,0,0,0,8,8,1,
4613,2003,1,11,,Dooley,1853,0,0,0,0,8,8,1,
4613,2004,1,12,Trina,Townsend,1889,1,0,0,0,9,9,0,
4613,2004,1,13,Barb,McKeefry,1151,1,0,0,0,9,9,0,
4613,2004,1,14,Nancy,Heykes,1055,0,0,0,0,9,9,0,
4613,2005,1,15,Pam,Denzer,261,1,0,0,0,10,10,0,
4613,2005,1,2,Pat,Cooley,2758,1,1,1,0,11,11,0,
4613,2006,1,5,Steven,Gohr,1671,1,1,1,0,12,12,0,
4613,2006,1,9,Cindy,Hendricks,1616,1,1,1,0,13,13,0,
4613,2006,1,16,Jeff,Molnar,1575,1,0,0,0,14,14,0,
4613,2006,1,11,,Dooley,879,0,0,0,0,15,15,1,
4613,2006,1,10,Mark,Wernicke,977,1,1,1,0,15,15,1,
4613,2006,1,NA,Scatter,,8,0,0,0,1,15,15,1,
4613,2007,1,12,Trina,Townsend,2332,1,1,1,0,16,16,0,
4613,2007,1,13,Barb,McKeefry,2336,1,1,1,0,17,17,0,
4613,2007,1,NA,Scatter,,15,0,0,0,1,17,17,0,
4613,2008,1,15,Pam,Denzer,1489,1,1,1,0,18,18,0,
4613,2008,1,16,Jeff,Molnar,857,0,1,1,0,19,19,0,
4613,2008,1,17,William,Hynes,869,1,0,0,0,19,19,0,
4613,2008,1,NA,Scatter,,8,0,0,0,1,19,19,0,
4613,2009,1,10,Mark,Wernicke,1982,1,1,1,0,20,20,0,
4613,2009,1,9,Cindy,Hendricks,1948,1,1,1,0,21,21,0,
4613,2009,1,18,Brian,Hickson,855,0,0,0,0,22,22,1,
4613,2009,1,19,Jeff,Rasmussen,1192,1,0,0,0,22,22,1,
4613,2009,1,NA,Scatter,,20,0,0,0,1,22,22,1,
4613,2010,1,12,Trina,Townsend,1208,1,1,1,0,23,23,0,
4613,2010,1,13,Barb,McKeefry,1230,1,1,1,0,24,24,0,
4613,2010,1,NA,Scatter,,21,0,0,0,1,24,24,0,
4613,2011,1,15,Pam,Denzer,3712,1,1,1,0,25,25,0,
4613,2011,1,20,Donsie,Stronghill,1233,0,0,0,0,25,25,0,
4613,2011,1,21,Christine,Vandenhouten,2763,1,0,0,0,25,25,0,
4613,2011,1,NA,Scatter,,30,0,0,0,1,25,25,0,
4613,2012,1,10,Mark,Wernicke,2200,1,1,1,0,26,26,0,
4613,2012,1,22,Robert,Skalitzky,2149,1,0,0,0,27,27,0,
4613,2012,1,23,Brian,Vanden Heuvel,2198,1,0,0,0,28,28,1,
4613,2012,1,NA,Scatter,,24,0,0,0,1,28,28,1,
