distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
4620,2002,2,1,Wally,Rendon,1981,1,0,0,0,1,1,1,
4620,2002,2,2,Russ,Carlsen,3072,1,1,1,0,1,1,1,
4620,2002,2,3,Elizabeth,Erven,2977,1,1,1,0,1,1,1,
4620,2002,2,4,Lawrence,Vance,1471,1,0,0,0,1,1,1,
4620,2002,2,5,Bridgette,Johnson,2265,1,0,0,0,1,1,1,
4620,2002,2,6,Angela,Bester-Lambert,983,0,0,0,0,1,1,1,
4620,2002,2,7,Keith,Heck,3416,1,1,1,0,1,1,1,
4620,2002,2,NA,Scatter,,16,0,0,0,1,1,1,1,
4620,2002,1,1,Wally,Rendon,3671,0,0,0,0,2,2,1,
4620,2002,1,3,Elizabeth,Erven,5927,0,1,1,0,2,2,1,
4620,2002,1,4,Lawrence,Vance,3664,0,0,0,0,2,2,1,
4620,2002,1,7,Keith,Heck,7979,1,1,1,0,2,2,1,
4620,2002,1,5,Bridgette,Johnson,6476,1,0,0,0,2,2,1,
4620,2002,1,2,Russ,Carlsen,6483,1,1,1,0,2,2,1,
4620,2002,1,NA,Scatter,,34,0,0,0,1,2,2,1,
4620,2003,1,8,Janet,Days,11990,1,0,0,0,3,3,1,
4620,2003,1,9,David,Isaacson,11655,1,1,1,0,3,3,1,
4620,2003,1,10,William,Schalk,12237,1,1,1,0,3,3,1,
4620,2003,1,11,Buddy,Collins,3665,0,0,0,0,3,3,1,
4620,2003,1,12,Susan,Kutz,10394,0,0,0,0,3,3,1,
4620,2003,1,13,Andrienne,Moore,7106,0,0,0,0,3,3,1,
4620,2003,1,NA,Scatter,,48,0,0,0,1,3,3,1,
4620,2004,2,14,Armin,Clobes,7075,1,1,1,0,4,4,1,
4620,2004,2,15,Karen,Albeck,8742,1,0,0,0,4,4,1,
4620,2004,2,16,Bob,Nemanich,5230,1,0,0,0,4,4,1,
4620,2004,2,12,Susan,Kutz,8955,1,0,1,0,4,4,1,
4620,2004,2,17,Julie,McKenna,10182,1,1,1,0,4,4,1,
4620,2004,2,18,Roberto,Garza,5136,0,0,0,0,4,4,1,
