distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,raceid,areaid,districtwide,notes
4627,2004,1,1,Bill,Jones,609,1,1,1,0,1,1,1,
4627,2004,1,2,Dan,Kozlowski,480,0,0,0,0,1,1,1,
4627,2004,1,NA,Scatter,,4,0,0,0,1,1,1,1,
4627,2005,1,3,Kimberley,Mackay,738,1,1,1,0,1,1,1,top two win
4627,2005,1,4,Renee,Gresenz,714,1,0,0,0,1,1,1,
4627,2005,1,5,Jan,Iselin,610,1,1,1,0,1,1,1,
4627,2005,1,2,Daniel,Kozlowski,565,0,0,1,0,1,1,1,
4627,2005,1,6,Peter,Dale,313,0,0,0,0,1,1,1,
4627,2005,1,NA,Scatter,,12,0,0,0,1,1,1,1,
4627,2007,1,1,Bill,Jones,892,1,0,1,0,1,1,1,
4627,2007,1,NA,Scatter,,7,0,0,0,1,1,1,1,
4627,2008,1,7,Randy,Nolan,433,1,0,0,0,1,1,1,
4627,2008,1,4,Renee,Gresenz,425,1,0,1,0,1,1,1,
4627,2008,1,NA,Scatter,,12,0,0,0,1,1,1,1,
4627,2009,1,5,Jan,Iselin,438,1,1,1,0,1,1,1,
4627,2009,1,8,Gary,Franzen,429,1,1,1,0,1,1,1,
4627,2009,1,9,Linda,Smith,394,0,0,0,0,1,1,1,
4627,2009,1,NA,Scatter,,62,0,0,0,1,1,1,1,
4627,2010,2,1,Bill,Jones,140,1,1,1,0,1,1,1,
4627,2010,2,10,James,O'Connell,85,1,0,0,0,1,1,1,
4627,2010,2,11,Janice,Brockway,68,1,0,0,0,1,1,1,
4627,2010,2,12,Shari,Kuwick,54,1,0,0,0,1,1,1,
4627,2010,2,9,Linda,Smith,36,0,0,1,0,1,1,1,
4627,2010,2,NA,Scatter,,2,0,0,0,1,1,1,1,
4627,2010,1,10,James,O'Connell,329,1,1,1,0,1,1,1,
4627,2010,1,1,Bill,Jones,260,1,1,1,0,1,1,1,
4627,2010,1,11,Jan,Brockway,246,0,0,0,0,1,1,1,
4627,2010,1,12,Sheri,Kuwick,129,0,0,0,0,1,1,1,
4627,2010,1,NA,Scatter,,3,0,0,0,1,1,1,1,
4627,2011,1,13,Valerie,Lass,596,1,0,0,0,1,1,1,
4627,2011,1,11,Janice,Brockway,553,1,0,1,0,1,1,1,
4627,2011,1,7,Randy,Nolan,534,0,1,1,0,1,1,1,
4627,2011,1,1,Bill,Jones,441,0,1,1,0,1,1,1,
4627,2011,1,NA,Scatter,,7,0,0,0,1,1,1,1,
4627,2012,1,14,Teresa,Mortensen,497,1,0,0,0,1,1,1,
4627,2012,1,7,Randy,Nolan,435,1,1,1,0,1,1,1,
4627,2012,1,15,Brandon,Jones,432,0,0,0,0,1,1,1,
4627,2012,1,16,Ed,Zender,214,0,0,0,0,1,1,1,
4627,2012,1,NA,Scatter,,97,0,0,0,1,1,1,1,
