distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
4641,2002,1,1,Judith,Longrie,503,0,0,0,0,1,1,1,
4641,2002,1,2,James,Bertram,676,1,1,1,0,1,1,1,
4641,2002,1,3,John,Hawley,522,1,1,1,0,1,1,1,
4641,2002,1,NA,Scatter,,25,0,0,0,1,1,1,1,
4641,2003,1,4,Jennifer,Stevens,722,1,0,0,0,2,2,1,
4641,2003,1,5,James,Steffen,783,1,1,1,0,2,2,1,
4641,2003,1,NA,Scatter,,20,0,0,0,1,2,2,1,
4641,2004,1,6,Jena,Schneider,485,1,1,1,0,3,3,1,
4641,2004,1,7,Tammy,Shaver,481,1,0,0,0,3,3,1,
4641,2004,1,8,Fred,Niffenegger,461,1,0,0,0,3,3,1,
4641,2004,1,NA,Scatter,,10,0,0,0,1,3,3,1,
4641,2005,1,3,John,Hawley,695,1,1,1,0,4,4,1,
4641,2005,1,9,Elizabeth,Kocher,715,1,0,0,0,4,4,1,
4641,2005,1,10,Jo-Ann,Decker,709,1,0,0,0,4,4,1,
4641,2005,1,NA,Scatter,,19,0,0,0,1,4,4,1,
4641,2006,1,4,Jennifer,Stevens,1237,1,1,1,0,5,5,1,
4641,2006,1,3,John,Hawley,1125,0,1,1,0,5,5,1,
4641,2006,1,11,Jayne,Davila,1146,1,0,0,0,5,5,1,
4641,2006,1,NA,Scatter,,63,0,0,0,1,5,5,1,
4641,2007,1,6,Jena,Schneider,823,1,1,1,0,6,6,1,
4641,2007,1,12,John,Nesvold,743,1,0,0,0,6,6,1,
4641,2007,1,13,Timothy,Phalen,449,0,0,0,0,6,6,1,
4641,2007,1,14,Mark,McMullen,802,1,0,0,0,6,6,1,
4641,2007,1,15,Lowell,Barrington,738,1,0,0,0,6,6,1,
4641,2007,1,NA,Scatter,,23,0,0,0,1,6,6,1,
4641,2008,1,10,Jo-Ann,Decker,752,1,1,1,0,7,7,1,
4641,2008,1,9,Elizabeth,Kocher,688,1,1,1,0,7,7,1,
4641,2008,1,NA,Scatter,,8,0,0,0,1,7,7,1,
4641,2009,1,16,Dominique,Houpt,637,1,0,0,0,8,8,1,
4641,2009,1,4,Jennifer,Stevens,745,1,1,1,0,8,8,1,
4641,2010,1,6,Jena,Schneider,358,1,1,1,0,9,9,1,
4641,2010,1,14,Mark,McMullen,339,1,1,1,0,9,9,1,
4641,2010,1,12,John,Nesvold,333,1,1,1,0,9,9,1,
4641,2010,1,NA,Scatter,,6,0,0,0,1,9,9,1,
4641,2011,1,10,Jo-Ann,Decker,1413,1,1,1,0,10,10,1,
4641,2011,1,9,Elizabeth,Kocher,1233,1,1,1,0,10,10,1,
4641,2011,1,NA,Scatter,,28,0,0,0,1,10,10,1,
4641,2012,1,4,Jennifer,Stevens,1055,1,1,1,0,11,11,1,
4641,2012,1,17,Jeffrey,Coeur,963,1,0,0,0,11,11,1,
4641,2012,1,NA,Scatter,,11,0,0,0,1,11,11,1,
