distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
4760,2002,1,1,Jerry,Verhagen,228,0,0,0,0,1,1,1,
4760,2002,1,2,Tom,Dvorachek,421,1,0,0,0,1,1,1,
4760,2002,1,3,John,Ebert,408,1,0,0,0,1,1,1,
4760,2002,1,NA,Scatter,,43,0,0,0,1,1,1,1,
4760,2003,1,4,Greg,Cummings,745,1,1,1,0,2,2,1,
4760,2003,1,5,Randall,Geiger,745,1,1,1,0,2,2,1,
4760,2003,1,NA,Scatter,,40,0,0,0,1,2,2,1,
4760,2004,1,6,Karen,Nienhaus,269,1,1,1,0,3,3,1,
4760,2004,1,NA,Scatter,,9,0,0,0,1,3,3,1,
4760,2005,1,7,Todd,Cavanaugh,712,1,0,0,0,4,4,1,
4760,2005,1,3,John,Ebert,607,1,1,1,0,4,4,1,
4760,2005,1,8,Steve,Webster,496,0,0,0,0,4,4,1,
4760,2005,1,NA,Scatter,,10,0,0,0,1,4,4,1,
4760,2006,1,9,Connie,Gilson,505,1,0,0,0,5,5,1,
4760,2006,1,5,Randall,Geiger,446,0,1,1,0,5,5,1,
4760,2006,1,10,Andrew,Maertz,400,0,0,0,0,5,5,1,
4760,2006,1,11,Dean,Fischer,592,1,0,0,0,5,5,1,
4760,2006,1,NA,Scatter,,5,0,0,0,1,5,5,1,
4760,2007,1,6,Karen,Nienhaus,775,1,1,1,0,6,6,1,
4760,2007,1,NA,Scatter,,24,0,0,0,1,6,6,1,
4760,2008,1,3,John,Ebert,388,0,1,1,0,7,7,1,
4760,2008,1,7,Todd,Cavanaugh,404,1,1,1,0,7,7,1,
4760,2008,1,10,Andrew,Maertz,432,1,0,1,0,7,7,1,
4760,2008,1,NA,Scatter,,9,0,0,0,1,7,7,1,
4760,2009,1,12,Robert,Campana,651,0,0,0,0,8,8,1,
4760,2009,1,11,Dean,Fischer,877,1,1,1,0,8,8,1,
4760,2009,1,9,Connie,Gilson,783,1,1,1,0,8,8,1,
4760,2009,1,NA,Scatter,,20,0,0,0,1,8,8,1,
4760,2010,1,3,John,Ebert,498,1,0,1,0,9,9,1,
4760,2010,1,6,Karen,Nienhaus,467,1,1,1,0,9,9,1,
4760,2010,1,13,Travis,Grimm,26,0,0,0,1,9,9,1,
4760,2010,1,NA,Scatter,,3,0,0,0,1,9,9,1,
4760,2011,1,10,Andrew,Maertz,893,1,1,1,0,10,10,1,
4760,2011,1,7,Todd,Cavanaugh,815,1,1,1,0,10,10,1,
4760,2011,1,NA,Scatter,,28,0,0,0,1,10,10,1,
4760,2012,2,14,Mary Jo,Campana,145,1,0,0,0,11,11,1,
4760,2012,2,15,Mike,VandenAvond,121,0,0,0,0,11,11,1,
4760,2012,2,16,Cory,Kiekhaefer,306,1,0,0,0,11,11,1,
4760,2012,2,17,Jeff,Deprez,301,1,0,0,0,11,11,1,
4760,2012,2,18,Ann Marie,Kulas,74,0,0,0,1,11,11,1,
4760,2012,2,19,Carrie,McGoldrick,138,0,0,0,0,11,11,1,
4760,2012,2,9,Connie,Gilson,149,1,1,1,0,11,11,1,
4760,2012,2,NA,Scatter,,9,0,0,0,1,11,11,1,
4760,2012,1,16,Cory,Kiekhaefer,751,1,0,0,0,12,12,1,
4760,2012,1,14,Mary Jo,Campana,339,0,0,0,0,12,12,1,
4760,2012,1,17,Jeff,Deprez,678,1,0,0,0,12,12,1,
4760,2012,1,9,Connie,Gilson,370,0,1,1,0,12,12,1,
4760,2012,1,NA,Scatter,,11,0,0,0,1,12,12,1,
