distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
4781,2006,1,1,Julie,Clark,2050,1,1,1,0,1,1,1,
4781,2006,1,2,Debra,Durchslag,1810,1,0,0,0,1,1,1,
4781,2006,1,3,Ken,Milender,1617,1,1,1,0,1,1,1,
4781,2006,1,4,David,Heck,1484,0,0,0,0,1,1,1,
4781,2006,1,5,Glenn,Sontag,1404,0,0,0,0,1,1,1,
4781,2006,1,6,Rick,Barcal,1274,0,0,0,0,1,1,1,
4781,2006,1,NA,Scatter,,18,0,0,0,1,1,1,1,
4781,2007,1,6,Rick,Barcal,1770,1,0,1,0,2,2,1,
4781,2007,1,7,Judith,Conlin,710,1,0,0,0,2,2,1,
4781,2007,1,8,Mary,Peterson,688,1,0,0,0,2,2,1,
4781,2007,1,9,Tim,Thorsen,551,0,0,0,0,2,2,1,
4781,2007,1,10,Dan,Kuzlik,473,0,0,0,0,2,2,1,
4781,2007,1,11,Kelly Jo,Herman,391,0,0,0,0,2,2,1,
4781,2007,1,NA,Scatter,,70,0,0,0,1,2,2,1,
4781,2008,1,12,Charles,Fitzgerald,3874,1,1,1,0,3,3,1,
4781,2008,1,13,Merri Lee,Orgeman,3590,1,1,1,0,3,3,1,
4781,2008,1,14,Debbie,Jones,3197,1,1,1,0,3,3,1,
4781,2008,1,15,Ron,Counter,829,1,0,0,0,3,3,1,
4781,2008,1,16,Jody,Doro,681,1,0,0,0,3,3,1,
4781,2008,1,17,Chet,Moore,628,0,0,0,0,3,3,1,
4781,2008,1,18,James,Jankowski,576,0,0,0,0,3,3,1,
4781,2009,1,2,Debra,Durchslag,1288,1,1,1,0,4,4,1,
4781,2009,1,15,Ron,Counter,1278,1,1,1,0,4,4,1,
4781,2009,1,19,Mike,Roberts,1429,1,0,0,0,4,4,1,
4781,2009,1,20,Jim,Winkler,1506,1,0,0,0,4,4,1,
4781,2009,1,NA,Scatter,,23,0,0,0,1,4,4,1,
4781,2010,1,8,Mary,Peterson,1537,1,1,1,0,5,5,1,
4781,2010,1,7,Judith,Conlin,1386,1,1,1,0,5,5,1,
4781,2010,1,9,Tim,Thorsen,1354,1,0,1,0,5,5,1,
4781,2010,1,11,Kelly Jo,Herman,1107,0,0,0,0,5,5,1,
4781,2010,1,NA,Scatter,,21,0,0,0,1,5,5,1,
4781,2011,1,19,Mike,Roberts,3261,1,1,1,0,6,6,1,
4781,2011,1,21,Merlin,Van Buren,2957,1,0,0,0,6,6,1,
4781,2011,1,16,Jody,Doro,2887,1,0,0,0,6,6,1,
4781,2011,1,NA,Scatter,,115,0,0,0,1,6,6,1,
4781,2012,1,15,Ron,Counter,2774,1,1,1,0,7,7,1,
4781,2012,1,22,David,Holperin,2496,1,0,0,0,7,7,1,
4781,2012,1,20,Jim,Winkler,2483,1,1,1,0,7,7,1,
4781,2012,1,23,Chris,Moran,2048,0,0,0,0,7,7,1,
4781,2012,1,NA,Scatter,,34,0,0,0,1,7,7,1,
