distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
4820,2007,1,1,Susan,Sawdey,530,1,1,1,0,1,1,1,
4820,2007,1,2,Howard,Wolf,608,1,0,0,0,1,1,1,
4820,2008,1,3,Brian,Gallitz,478,1,1,1,0,2,2,1,Cannot recognize the handwritten names
4820,2008,1,4,,Kiel,470,1,1,1,0,2,2,1,Cannot recognize the handwritten names
4820,2009,1,5,Michael,Shea,532,1,0,0,0,3,3,1,
4820,2010,1,2,Howard,Wolf,294,1,1,1,0,4,4,1,
4820,2010,1,6,Dawn,Sericati,182,1,0,0,0,4,4,1,
4820,2010,1,7,Blair,Rogacki,148,0,0,0,0,4,4,1,
4820,2011,1,3,Brian,Gallitz,1009,1,1,1,0,5,5,1,
4820,2011,1,7,Blair,Rogacki,806,1,0,1,0,5,5,1,
4820,2012,1,8,Philip,Neumann,969,1,0,0,0,6,6,1,
